Fecha,Categoría de dispositivo,Número de vistas de página
31 ene 2019,desktop,40
31 ene 2019,mobile,19
1 feb 2019,desktop,16
1 feb 2019,mobile,1
2 feb 2019,desktop,76
3 feb 2019,mobile,33
3 feb 2019,desktop,1
4 feb 2019,mobile,6
4 feb 2019,desktop,10
5 feb 2019,mobile,3
5 feb 2019,desktop,5
6 feb 2019,mobile,9
6 feb 2019,desktop,48
7 feb 2019,desktop,18
7 feb 2019,mobile,4
8 feb 2019,desktop,19
8 feb 2019,mobile,1
9 feb 2019,mobile,7
9 feb 2019,desktop,12
10 feb 2019,mobile,2
10 feb 2019,desktop,2
11 feb 2019,desktop,57
11 feb 2019,mobile,237
12 feb 2019,desktop,91
12 feb 2019,mobile,85
13 feb 2019,desktop,129
13 feb 2019,mobile,94
14 feb 2019,mobile,27
14 feb 2019,desktop,28
15 feb 2019,mobile,64
15 feb 2019,desktop,9
16 feb 2019,mobile,13
16 feb 2019,desktop,17
17 feb 2019,mobile,28
18 feb 2019,desktop,37
18 feb 2019,mobile,10
19 feb 2019,mobile,6
19 feb 2019,desktop,51
20 feb 2019,desktop,52
20 feb 2019,mobile,58
21 feb 2019,mobile,13
21 feb 2019,desktop,84
22 feb 2019,mobile,7
22 feb 2019,desktop,72
23 feb 2019,desktop,26
23 feb 2019,mobile,7
24 feb 2019,desktop,72
24 feb 2019,mobile,5
25 feb 2019,desktop,47
25 feb 2019,mobile,13
26 feb 2019,mobile,18
26 feb 2019,desktop,59
27 feb 2019,desktop,88
27 feb 2019,mobile,7
28 feb 2019,desktop,57
28 feb 2019,mobile,23
1 mar 2019,mobile,33
1 mar 2019,desktop,16
2 mar 2019,mobile,4
3 mar 2019,desktop,13
3 mar 2019,mobile,2
4 mar 2019,desktop,20
4 mar 2019,mobile,1
5 mar 2019,mobile,4
5 mar 2019,desktop,32
6 mar 2019,mobile,9
6 mar 2019,desktop,41
7 mar 2019,mobile,30
7 mar 2019,desktop,41
8 mar 2019,mobile,7
8 mar 2019,desktop,107
9 mar 2019,desktop,55
9 mar 2019,mobile,10
10 mar 2019,desktop,44
10 mar 2019,mobile,14
11 mar 2019,mobile,84
11 mar 2019,desktop,81
12 mar 2019,mobile,101
12 mar 2019,desktop,45
13 mar 2019,desktop,89
13 mar 2019,mobile,14
14 mar 2019,desktop,75
14 mar 2019,mobile,18
15 mar 2019,desktop,110
15 mar 2019,mobile,19
16 mar 2019,desktop,6
16 mar 2019,mobile,8
17 mar 2019,mobile,2
17 mar 2019,desktop,42
18 mar 2019,desktop,69
