Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
29 may 2023,240,41,53,1.0754716981132075,57
30 may 2023,145,43,52,1.0576923076923077,55
31 may 2023,294,40,57,1.105263157894737,63
1 jun 2023,202,45,56,1.0714285714285714,60
2 jun 2023,143,27,33,1.0606060606060606,35
3 jun 2023,68,28,30,1.1333333333333333,34
4 jun 2023,66,21,29,1.103448275862069,32
5 jun 2023,316,39,53,1.1132075471698113,59
6 jun 2023,175,41,55,1.2,66
7 jun 2023,139,36,47,1.148936170212766,54
8 jun 2023,330,58,78,1.1794871794871795,92
9 jun 2023,120,19,31,1.2580645161290323,39
10 jun 2023,59,25,31,1.032258064516129,32
11 jun 2023,64,22,32,1.125,36
12 jun 2023,140,32,43,1.186046511627907,51
13 jun 2023,88,37,52,1.0576923076923077,55
14 jun 2023,144,31,48,1.1666666666666667,56
15 jun 2023,163,49,61,1.098360655737705,67
16 jun 2023,70,26,36,1.0555555555555556,38
17 jun 2023,48,18,23,1.0869565217391304,25
18 jun 2023,86,13,17,1.1176470588235294,19
19 jun 2023,50,21,25,1.12,28
20 jun 2023,97,38,45,1.0222222222222221,46
21 jun 2023,119,35,46,1.065217391304348,49
22 jun 2023,129,41,52,1.1538461538461537,60
23 jun 2023,156,21,35,1.1142857142857143,39
24 jun 2023,57,27,29,1.206896551724138,35
25 jun 2023,185,20,25,1.08,27
26 jun 2023,122,40,55,1.0545454545454545,58
27 jun 2023,117,45,56,1.125,63
28 jun 2023,182,30,47,1.1063829787234043,52
29 jun 2023,198,44,54,1.2037037037037037,65
30 jun 2023,167,57,75,1.1466666666666667,86
1 jul 2023,34,11,15,1.1333333333333333,17
2 jul 2023,46,26,33,1.0303030303030303,34
3 jul 2023,126,30,42,1.1904761904761905,50
4 jul 2023,171,31,48,1.2291666666666667,59
5 jul 2023,104,33,43,1.069767441860465,46
6 jul 2023,111,34,37,1.054054054054054,39
7 jul 2023,141,27,39,1.205128205128205,47
8 jul 2023,66,18,26,1.0769230769230769,28
9 jul 2023,92,13,18,1.3333333333333333,24
10 jul 2023,80,31,36,1.0277777777777777,37
11 jul 2023,56,15,21,1.1428571428571428,24
12 jul 2023,79,28,32,1.1875,38
13 jul 2023,94,32,36,1.0833333333333333,39
14 jul 2023,104,18,22,1.0454545454545454,23
15 jul 2023,25,16,17,1.0588235294117647,18
16 jul 2023,26,8,10,1.2,12
17 jul 2023,155,42,48,1.0625,51
18 jul 2023,110,25,33,1,33
19 jul 2023,50,22,27,1.037037037037037,28
20 jul 2023,18,10,14,1,14
21 jul 2023,65,14,19,1.0526315789473684,20
22 jul 2023,53,16,19,1.0526315789473684,20
23 jul 2023,64,20,26,1.0384615384615385,27
24 jul 2023,177,34,46,1.1304347826086956,52
25 jul 2023,92,24,39,1.1025641025641026,43
26 jul 2023,237,52,70,1.1571428571428573,81
27 jul 2023,211,54,66,1.0606060606060606,70
28 jul 2023,153,34,46,1.108695652173913,51
29 jul 2023,89,21,27,1.1111111111111112,30
30 jul 2023,31,19,22,1.0454545454545454,23
31 jul 2023,182,44,58,1.0344827586206897,60
1 ago 2023,216,66,79,1.1265822784810127,89
2 ago 2023,322,73,89,1.146067415730337,102
3 ago 2023,151,37,53,1.2264150943396226,65
4 ago 2023,80,28,37,1.1891891891891893,44
5 ago 2023,63,14,18,1.0555555555555556,19
6 ago 2023,82,22,26,1.0384615384615385,27
