,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
25,2 nov 2018,179,13,20,1.4,28,178,1,145,34,0,59.66666666666666,61.91571331702121,19,30,4,125,1,0,0,0,0,17.9,37.01202507294082,35,93,51,0,44.75,33.40939239196068
26,3 nov 2018,17,8,8,1.0,8,13,4,11,6,0,5.666666666666668,4.496912521077348,0,6,0,10,1,0,0,0,0,1.7,3.28785644455472,9,8,0,0,4.25,4.264680527307995
27,4 nov 2018,7,4,4,1.0,4,7,0,7,0,0,2.333333333333333,3.2998316455372216,0,0,0,7,0,0,0,0,0,0.7,2.1,2,5,0,0,1.75,2.0463381929681126
28,5 nov 2018,301,25,35,1.3142857142857145,46,301,0,245,56,0,100.33333333333331,104.81836141100895,56,56,0,189,0,0,0,0,0,30.1,57.38719369336681,82,130,89,0,75.25,47.15599113580373
29,6 nov 2018,424,12,21,1.4285714285714286,30,422,2,420,4,0,141.33333333333334,197.0538561465424,193,4,0,227,0,0,0,0,0,42.4,84.15248065268189,234,68,122,0,106.0,85.61541917201598
30,7 nov 2018,384,43,52,1.0769230769230769,56,382,2,286,98,0,128.0,118.67041192591634,109,96,2,177,0,0,0,0,0,38.4,61.387620901937545,148,116,80,40,96.0,40.29888335921977
31,8 nov 2018,290,23,28,1.25,35,277,13,256,34,0,96.66666666666669,113.51749742758699,32,34,0,224,0,0,0,0,0,29.0,66.29177927918363,61,123,91,15,72.5,39.78379066906521
32,9 nov 2018,280,8,15,1.3333333333333333,20,279,1,272,8,0,93.33333333333331,126.37861985144305,166,7,1,106,0,0,0,0,0,28.0,55.67943965235282,168,51,61,0,70.0,61.126917147849035
33,10 nov 2018,87,10,12,1.1666666666666667,14,87,0,75,11,1,29.0,32.782108941717986,0,11,1,75,0,0,0,0,0,8.7,22.338531733307804,12,65,0,10,21.75,25.380849079571785
34,11 nov 2018,126,4,6,2.0,12,126,0,125,1,0,42.0,58.69128271444292,0,1,0,125,0,0,0,0,0,12.6,37.46785288750878,0,126,0,0,31.5,54.559600438419636
35,12 nov 2018,100,12,15,1.4,21,99,1,82,18,0,33.333333333333336,35.188381921057726,7,9,9,61,14,0,0,0,0,10.0,17.686152775547317,18,44,38,0,25.0,17.349351572897472
36,13 nov 2018,165,23,29,1.1724137931034482,34,159,6,158,7,0,55.0,72.88804200050009,2,7,0,156,0,0,0,0,0,16.5,46.547287783500344,5,141,15,4,41.25,57.7510822409416
37,14 nov 2018,214,16,18,1.3333333333333333,24,206,8,180,33,1,71.33333333333333,77.94157355923015,0,33,0,181,0,0,0,0,0,21.4,54.10212565140116,26,41,147,0,53.5,55.9396996774205
38,15 nov 2018,271,16,24,1.2083333333333333,29,268,3,236,35,0,90.33333333333331,103.98824719916936,10,35,0,226,0,0,0,0,0,27.1,67.12443668292497,51,69,150,1,67.75,53.62543706115597
39,16 nov 2018,172,17,26,1.2307692307692308,32,163,9,169,3,0,57.33333333333334,78.96975511056256,23,3,0,146,0,0,0,0,0,17.2,43.469069463240174,45,64,63,0,43.0,25.95187854472196
40,17 nov 2018,26,8,12,1.0,12,22,4,6,20,0,8.666666666666666,8.379870059984357,0,18,2,6,0,0,0,0,0,2.6,5.444263035526481,13,13,0,0,6.5,6.5
41,18 nov 2018,28,13,13,1.0,13,20,8,24,4,0,9.333333333333334,10.498677165349081,0,3,0,25,0,0,0,0,0,2.8,7.45385806143369,18,10,0,0,7.0,7.549834435270751
42,19 nov 2018,2,2,2,1.0,2,2,0,1,1,0,0.6666666666666666,0.4714045207910317,0,1,0,1,0,0,0,0,0,0.2,0.4000000000000001,1,1,0,0,0.5,0.5
43,20 nov 2018,365,12,18,1.4444444444444444,26,351,14,350,15,0,121.66666666666669,161.57213731196214,73,15,0,265,12,0,0,0,0,36.5,79.12047775386597,109,91,165,0,91.25,59.33116803165096
44,21 nov 2018,61,9,13,1.3076923076923077,17,61,0,48,13,0,20.33333333333333,20.27039439401436,0,13,0,48,0,0,0,0,0,6.1,14.494481708567575,13,35,0,13,15.25,12.577261228105266
45,22 nov 2018,57,8,14,1.1428571428571428,16,57,0,54,3,0,19.0,24.77902338672773,25,3,0,29,0,0,0,0,0,5.7,10.724271537032248,35,22,0,0,14.25,14.972892172189045
46,23 nov 2018,31,6,10,1.0,10,30,1,25,6,0,10.333333333333334,10.656244908763853,1,6,0,23,1,0,0,0,0,3.1,6.862215385719105,9,22,0,0,7.75,9.010410645470051
47,24 nov 2018,52,9,9,1.2222222222222223,11,47,5,37,15,0,17.333333333333332,15.195028426721974,0,15,0,37,0,0,0,0,0,5.2,11.504781614615725,5,47,0,0,13.0,19.73575435599055
48,25 nov 2018,7,3,4,1.0,4,7,0,5,2,0,2.333333333333333,2.0548046676563256,0,2,0,5,0,0,0,0,0,0.7,1.552417469626002,2,4,0,1,1.75,1.4790199457749043
49,26 nov 2018,65,11,12,1.0833333333333333,13,55,10,47,10,8,21.66666666666667,17.93197020841702,0,18,0,47,0,0,0,0,0,6.5,14.527560015363903,9,56,0,0,16.25,23.24193408475293
50,27 nov 2018,214,14,18,1.3333333333333333,24,213,1,211,3,0,71.33333333333333,98.76684103933307,58,3,0,153,0,0,0,0,0,21.4,47.11942274688856,15,161,38,0,53.5,63.523617655168216
51,28 nov 2018,258,19,30,1.3666666666666667,41,258,0,230,28,0,86.0,102.46300145255684,6,28,0,224,0,0,0,0,0,25.8,66.58798690454607,38,126,84,10,64.5,44.25776767980961
52,29 nov 2018,153,13,21,1.2380952380952381,26,143,10,140,13,0,51.0,63.155891781105154,1,11,2,139,0,0,0,0,0,15.3,41.35952127382521,7,88,5,53,38.25,34.549782922617624
53,30 nov 2018,35,8,12,1.25,15,34,1,17,18,0,11.666666666666664,8.259674462242577,10,18,0,7,0,0,0,0,0,3.5,5.920304046246272,4,19,0,12,8.75,7.327175444876423
54,1 dic 2018,31,4,4,1.0,4,2,29,28,3,0,10.333333333333334,12.552113589175153,0,1,2,28,0,0,0,0,0,3.1,8.324061508662702,1,30,0,0,7.75,12.852528934026955
55,2 dic 2018,43,8,9,1.0,9,25,18,36,7,0,14.333333333333336,15.58489297008128,1,6,1,35,0,0,0,0,0,4.3,10.383159442096614,10,33,0,0,10.75,13.479150566708569
56,3 dic 2018,126,16,21,1.0952380952380951,23,124,2,108,18,0,42.0,47.24404724407086,7,18,0,101,0,0,0,0,0,12.6,29.97732476389446,35,60,1,30,31.5,20.958291915134687
57,4 dic 2018,56,7,11,1.0909090909090908,12,55,1,54,2,0,18.666666666666668,24.997777679003573,8,2,0,46,0,0,0,0,0,5.6,13.676256797823005,3,44,8,1,14.0,17.507141400011598
58,5 dic 2018,112,10,13,1.2307692307692308,16,105,7,31,81,0,37.333333333333336,33.369979855486214,4,73,8,27,0,0,0,0,0,11.2,22.098868749327416,55,57,0,0,28.0,28.008927148321835
59,6 dic 2018,89,12,15,1.2,18,79,10,74,15,0,29.66666666666667,31.940917679713305,14,10,5,60,0,0,0,0,0,8.9,17.688696955965977,2,81,1,5,22.25,33.951251817863806
60,7 dic 2018,273,21,31,1.1935483870967742,37,266,7,194,79,0,91.0,79.65341591335972,38,78,1,156,0,0,0,0,0,27.3,49.40860248984989,34,137,54,48,68.25,40.350805444253524
61,8 dic 2018,38,14,15,1.0666666666666669,16,23,15,6,19,13,12.666666666666664,5.312459150169743,0,18,14,5,1,0,0,0,0,3.8,6.337191807101942,14,1,0,23,9.5,9.552486587271401
62,9 dic 2018,9,7,8,1.125,9,9,0,2,7,0,3.0,2.943920288775949,1,7,0,1,0,0,0,0,0,0.9,2.0712315177207983,3,1,0,5,2.25,1.9202864369671517
63,10 dic 2018,58,12,15,1.0,15,57,1,37,21,0,19.33333333333333,15.15109090315135,0,20,1,37,0,0,0,0,0,5.8,11.973303637676615,9,35,0,14,14.5,12.854960132182438
64,11 dic 2018,92,9,12,1.0,12,92,0,60,32,0,30.66666666666667,24.513035081133648,0,32,0,60,0,0,0,0,0,9.2,19.436048981210142,6,85,0,1,23.0,35.8678128689219
65,12 dic 2018,46,9,14,1.0714285714285714,15,46,0,23,23,0,15.333333333333336,10.842303978193726,0,23,0,23,0,0,0,0,0,4.6,9.2,3,20,0,23,11.5,10.111874208078342
66,13 dic 2018,92,12,16,1.125,18,85,7,26,66,0,30.66666666666667,27.145697428669767,0,65,1,20,6,0,0,0,0,9.2,19.533560863293715,5,79,6,2,23.0,32.36510466536452
67,14 dic 2018,84,11,15,1.1333333333333333,17,68,16,76,8,0,28.0,34.09789827345179,1,8,0,60,15,0,0,0,0,8.4,17.844887222955485,9,38,37,0,21.0,16.80773631397161
68,15 dic 2018,3,1,1,1.0,1,3,0,3,0,0,1.0,1.4142135623730951,3,0,0,0,0,0,0,0,0,0.3,0.9,0,3,0,0,0.75,1.299038105676658
69,16 dic 2018,57,3,4,1.0,4,57,0,56,1,0,19.0,26.166135875720485,0,1,0,56,0,0,0,0,0,5.7,16.76931721925493,0,57,0,0,14.25,24.681724007856502
70,17 dic 2018,72,19,24,1.0,24,64,8,54,18,0,24.0,22.44994432064365,5,16,2,48,1,0,0,0,0,7.2,14.393053880257654,3,53,0,16,18.0,21.08316864230801
71,18 dic 2018,25,11,13,1.0769230769230769,14,20,5,21,4,0,8.333333333333334,9.10433352249844,1,4,0,20,0,0,0,0,0,2.5,5.953990258641679,4,9,8,4,6.25,2.2776083947860752
72,19 dic 2018,60,7,8,1.125,9,46,14,58,2,0,20.0,26.8824602048746,0,2,0,44,14,0,0,0,0,6.0,13.326664999166145,14,24,0,22,15.0,9.433981132056603
73,20 dic 2018,72,7,10,1.0,10,72,0,69,3,0,24.0,31.84336665618132,0,3,0,69,0,0,0,0,0,7.2,20.6194083329275,3,67,1,1,18.0,28.30194339616981
74,21 dic 2018,16,4,6,1.0,6,9,7,16,0,0,5.333333333333333,7.542472332656508,0,0,0,16,0,0,0,0,0,1.6,4.800000000000002,7,3,6,0,4.0,2.7386127875258306
75,22 dic 2018,24,4,5,1.0,5,24,0,13,11,0,8.0,5.715476066494082,0,11,0,13,0,0,0,0,0,2.4,4.82078831727758,0,24,0,0,6.0,10.392304845413264
76,23 dic 2018,40,3,4,1.0,4,37,3,5,35,0,13.333333333333336,15.456030825826172,0,2,0,5,0,33,0,0,0,4.0,9.787747442593725,0,40,0,0,10.0,17.320508075688775
77,24 dic 2018,1,1,1,1.0,1,1,0,1,0,0,0.3333333333333333,0.4714045207910317,0,0,0,1,0,0,0,0,0,0.1,0.30000000000000004,0,1,0,0,0.25,0.4330127018922193
78,25 dic 2018,9,3,3,1.0,3,8,1,7,2,0,3.0,2.943920288775949,0,1,1,7,0,0,0,0,0,0.9,2.0712315177207983,1,8,0,0,2.25,3.344772040064913
