Fecha,Grupo de canales predeterminado de la sesión,Vistas
16 feb 2024,Organic Social,1
17 feb 2024,Organic Search,8
17 feb 2024,Direct,1
18 feb 2024,Direct,9
18 feb 2024,Organic Search,1
18 feb 2024,Unassigned,0
19 feb 2024,Direct,7
19 feb 2024,Organic Search,6
19 feb 2024,Unassigned,0
20 feb 2024,Organic Search,11
20 feb 2024,Organic Social,6
20 feb 2024,Direct,2
21 feb 2024,Organic Search,32
21 feb 2024,Direct,7
21 feb 2024,Organic Social,3
22 feb 2024,Organic Search,22
22 feb 2024,Direct,2
23 feb 2024,Organic Search,21
23 feb 2024,Direct,6
24 feb 2024,Organic Search,16
24 feb 2024,Direct,5
25 feb 2024,Organic Search,7
25 feb 2024,Direct,2
26 feb 2024,Organic Search,22
26 feb 2024,Direct,9
26 feb 2024,Unassigned,1
27 feb 2024,Organic Search,46
27 feb 2024,Direct,6
27 feb 2024,Referral,1
27 feb 2024,Unassigned,0
28 feb 2024,Organic Search,26
28 feb 2024,Direct,5
28 feb 2024,Organic Social,3
28 feb 2024,Unassigned,0
29 feb 2024,Organic Search,16
29 feb 2024,Direct,3
29 feb 2024,Referral,2
1 mar 2024,Organic Search,15
1 mar 2024,Direct,2
1 mar 2024,Organic Social,1
1 mar 2024,Unassigned,0
2 mar 2024,Organic Search,13
2 mar 2024,Direct,12
2 mar 2024,Referral,1
2 mar 2024,Unassigned,0
3 mar 2024,Organic Search,7
3 mar 2024,Direct,4
3 mar 2024,Referral,1
3 mar 2024,Unassigned,0
4 mar 2024,Organic Search,28
4 mar 2024,Direct,19
4 mar 2024,Organic Social,3
4 mar 2024,Unassigned,0
5 mar 2024,Organic Search,21
5 mar 2024,Direct,15
5 mar 2024,Unassigned,0
6 mar 2024,Organic Search,28
6 mar 2024,Direct,11
6 mar 2024,Organic Social,1
6 mar 2024,Referral,1
7 mar 2024,Direct,25
7 mar 2024,Organic Search,24
7 mar 2024,Organic Video,6
7 mar 2024,Unassigned,0
8 mar 2024,Organic Search,25
8 mar 2024,Direct,10
9 mar 2024,Organic Search,58
9 mar 2024,Direct,4
9 mar 2024,Organic Social,2
9 mar 2024,Referral,1
9 mar 2024,Unassigned,0
10 mar 2024,Organic Search,9
10 mar 2024,Direct,2
10 mar 2024,Unassigned,2
11 mar 2024,Organic Search,36
11 mar 2024,Direct,14
11 mar 2024,Organic Social,3
11 mar 2024,Unassigned,0
12 mar 2024,Organic Search,33
12 mar 2024,Direct,4
12 mar 2024,Organic Social,4
12 mar 2024,Unassigned,0
13 mar 2024,Organic Search,26
13 mar 2024,Direct,16
13 mar 2024,Organic Social,1
14 mar 2024,Direct,13
14 mar 2024,Organic Search,13
15 mar 2024,Organic Search,28
15 mar 2024,Direct,13
15 mar 2024,Organic Social,1
15 mar 2024,Unassigned,0
16 mar 2024,Organic Search,43
16 mar 2024,Organic Social,2
16 mar 2024,Referral,2
16 mar 2024,Direct,1
16 mar 2024,Unassigned,0
17 mar 2024,Organic Search,10
17 mar 2024,Referral,3
17 mar 2024,Unassigned,0
18 mar 2024,Organic Search,32
18 mar 2024,Direct,15
18 mar 2024,Organic Social,3
18 mar 2024,Referral,2
19 mar 2024,Organic Search,33
19 mar 2024,Organic Social,10
19 mar 2024,Direct,3
19 mar 2024,Referral,3
19 mar 2024,Unassigned,0
20 mar 2024,Organic Search,30
20 mar 2024,Organic Social,14
20 mar 2024,Direct,8
20 mar 2024,Referral,2
20 mar 2024,Unassigned,0
21 mar 2024,Organic Search,12
21 mar 2024,Direct,1
21 mar 2024,Referral,1
21 mar 2024,Unassigned,0
22 mar 2024,Organic Search,47
22 mar 2024,Direct,17
22 mar 2024,Organic Social,8
22 mar 2024,Unassigned,1
23 mar 2024,Organic Search,23
23 mar 2024,Direct,6
23 mar 2024,Unassigned,2
23 mar 2024,Referral,1
24 mar 2024,Organic Search,9
24 mar 2024,Organic Social,5
24 mar 2024,Direct,4
24 mar 2024,Unassigned,0
25 mar 2024,Organic Search,17
25 mar 2024,Direct,7
25 mar 2024,Organic Social,2
26 mar 2024,Organic Search,24
26 mar 2024,Direct,1
26 mar 2024,Organic Social,1
26 mar 2024,Unassigned,0
27 mar 2024,Organic Search,32
27 mar 2024,Direct,5
27 mar 2024,Unassigned,0
28 mar 2024,Organic Search,7
28 mar 2024,Direct,5
28 mar 2024,Unassigned,0
29 mar 2024,Direct,7
29 mar 2024,Organic Search,3
29 mar 2024,Organic Social,1
29 mar 2024,Unassigned,0
30 mar 2024,Organic Search,25
30 mar 2024,Direct,10
30 mar 2024,Organic Social,3
30 mar 2024,Unassigned,0
31 mar 2024,Organic Search,8
31 mar 2024,Direct,1
1 abr 2024,Organic Search,18
1 abr 2024,Direct,13
1 abr 2024,Organic Social,1
1 abr 2024,Unassigned,0
2 abr 2024,Direct,18
2 abr 2024,Organic Search,9
2 abr 2024,Unassigned,0
