Fecha,Categoría de dispositivo,Vistas
25 sept 2022,desktop,41
25 sept 2022,mobile,30
25 sept 2022,tablet,2
26 sept 2022,desktop,74
26 sept 2022,mobile,33
26 sept 2022,tablet,1
27 sept 2022,desktop,107
27 sept 2022,mobile,29
28 sept 2022,desktop,211
28 sept 2022,mobile,35
28 sept 2022,tablet,2
29 sept 2022,desktop,130
29 sept 2022,mobile,43
30 sept 2022,desktop,52
30 sept 2022,mobile,40
1 oct 2022,mobile,41
1 oct 2022,desktop,12
2 oct 2022,desktop,18
2 oct 2022,mobile,13
3 oct 2022,mobile,54
3 oct 2022,desktop,46
4 oct 2022,desktop,46
4 oct 2022,mobile,44
5 oct 2022,desktop,87
5 oct 2022,mobile,20
6 oct 2022,desktop,60
6 oct 2022,mobile,42
7 oct 2022,mobile,27
7 oct 2022,desktop,16
8 oct 2022,desktop,0
9 oct 2022,desktop,3
9 oct 2022,mobile,1
10 oct 2022,desktop,80
10 oct 2022,mobile,23
11 oct 2022,desktop,76
11 oct 2022,mobile,42
12 oct 2022,desktop,56
12 oct 2022,mobile,38
13 oct 2022,desktop,67
13 oct 2022,mobile,14
14 oct 2022,desktop,52
14 oct 2022,mobile,37
14 oct 2022,tablet,1
15 oct 2022,desktop,31
15 oct 2022,mobile,11
16 oct 2022,desktop,12
16 oct 2022,mobile,8
17 oct 2022,desktop,65
17 oct 2022,mobile,21
18 oct 2022,desktop,79
18 oct 2022,mobile,20
18 oct 2022,tablet,2
19 oct 2022,desktop,89
19 oct 2022,mobile,23
20 oct 2022,desktop,74
20 oct 2022,mobile,58
21 oct 2022,desktop,66
21 oct 2022,mobile,18
22 oct 2022,desktop,23
22 oct 2022,mobile,23
23 oct 2022,mobile,16
23 oct 2022,desktop,12
24 oct 2022,desktop,54
24 oct 2022,mobile,20
25 oct 2022,desktop,178
25 oct 2022,mobile,140
26 oct 2022,desktop,182
26 oct 2022,mobile,73
26 oct 2022,tablet,10
27 oct 2022,desktop,73
27 oct 2022,mobile,21
28 oct 2022,mobile,45
28 oct 2022,desktop,21
29 oct 2022,mobile,92
29 oct 2022,desktop,16
29 oct 2022,tablet,1
30 oct 2022,desktop,17
30 oct 2022,mobile,12
31 oct 2022,desktop,4
31 oct 2022,mobile,2
1 nov 2022,desktop,49
1 nov 2022,mobile,7
2 nov 2022,desktop,74
2 nov 2022,mobile,18
2 nov 2022,tablet,1
3 nov 2022,desktop,46
3 nov 2022,mobile,18
4 nov 2022,desktop,58
4 nov 2022,mobile,41
5 nov 2022,desktop,57
5 nov 2022,mobile,28
6 nov 2022,desktop,5
6 nov 2022,mobile,14
7 nov 2022,desktop,105
7 nov 2022,mobile,25
8 nov 2022,desktop,91
8 nov 2022,mobile,27
8 nov 2022,tablet,4
9 nov 2022,desktop,131
9 nov 2022,mobile,33
9 nov 2022,tablet,2
10 nov 2022,desktop,58
10 nov 2022,mobile,27
10 nov 2022,tablet,1
11 nov 2022,desktop,59
11 nov 2022,mobile,48
12 nov 2022,desktop,38
12 nov 2022,mobile,19
13 nov 2022,desktop,24
13 nov 2022,mobile,18
14 nov 2022,desktop,94
14 nov 2022,mobile,45
14 nov 2022,tablet,1
15 nov 2022,desktop,102
15 nov 2022,mobile,61
16 nov 2022,desktop,81
16 nov 2022,mobile,39
17 nov 2022,desktop,96
17 nov 2022,mobile,10
18 nov 2022,desktop,59
18 nov 2022,mobile,42
18 nov 2022,tablet,5
19 nov 2022,mobile,1
23 nov 2022,desktop,99
23 nov 2022,mobile,33
24 nov 2022,desktop,64
24 nov 2022,mobile,25
25 nov 2022,mobile,31
25 nov 2022,desktop,24
26 nov 2022,mobile,13
26 nov 2022,desktop,12
27 nov 2022,mobile,16
27 nov 2022,desktop,12
28 nov 2022,desktop,80
28 nov 2022,mobile,16
29 nov 2022,desktop,178
29 nov 2022,mobile,20
30 nov 2022,desktop,136
30 nov 2022,mobile,7
1 dic 2022,desktop,139
1 dic 2022,mobile,19
2 dic 2022,desktop,65
2 dic 2022,mobile,45
3 dic 2022,mobile,16
3 dic 2022,desktop,9
4 dic 2022,mobile,31
4 dic 2022,desktop,25
5 dic 2022,desktop,129
5 dic 2022,mobile,24
5 dic 2022,tablet,1
6 dic 2022,desktop,192
6 dic 2022,mobile,63
6 dic 2022,tablet,2
7 dic 2022,desktop,187
7 dic 2022,mobile,15
8 dic 2022,mobile,14
8 dic 2022,desktop,9
9 dic 2022,desktop,19
9 dic 2022,mobile,5
10 dic 2022,desktop,11
10 dic 2022,mobile,3
11 dic 2022,desktop,31
11 dic 2022,mobile,10
12 dic 2022,desktop,357
12 dic 2022,mobile,30
13 dic 2022,desktop,93
13 dic 2022,mobile,12
14 dic 2022,desktop,46
14 dic 2022,mobile,8
14 dic 2022,tablet,1
15 dic 2022,desktop,26
15 dic 2022,mobile,14
16 dic 2022,desktop,62
16 dic 2022,mobile,44
17 dic 2022,desktop,16
17 dic 2022,mobile,15
18 dic 2022,desktop,7
18 dic 2022,mobile,4
19 dic 2022,desktop,95
19 dic 2022,mobile,16
20 dic 2022,desktop,41
20 dic 2022,mobile,37
21 dic 2022,desktop,84
21 dic 2022,mobile,37
22 dic 2022,desktop,21
22 dic 2022,mobile,16
23 dic 2022,desktop,15
23 dic 2022,mobile,4
24 dic 2022,mobile,3
24 dic 2022,desktop,2
25 dic 2022,mobile,23
25 dic 2022,desktop,5
26 dic 2022,mobile,36
26 dic 2022,desktop,23
27 dic 2022,desktop,14
27 dic 2022,mobile,4
28 dic 2022,mobile,105
28 dic 2022,desktop,46
29 dic 2022,mobile,85
29 dic 2022,desktop,73
30 dic 2022,desktop,17
30 dic 2022,mobile,11
31 dic 2022,mobile,79
31 dic 2022,desktop,6
1 ene 2023,mobile,10
1 ene 2023,desktop,6
2 ene 2023,desktop,26
2 ene 2023,mobile,8
3 ene 2023,mobile,18
3 ene 2023,desktop,16
4 ene 2023,desktop,26
4 ene 2023,mobile,18
5 ene 2023,desktop,16
5 ene 2023,mobile,15
5 ene 2023,tablet,5
6 ene 2023,mobile,17
6 ene 2023,desktop,9
7 ene 2023,mobile,32
7 ene 2023,desktop,20
8 ene 2023,mobile,11
8 ene 2023,desktop,3
9 ene 2023,desktop,45
9 ene 2023,mobile,4
10 ene 2023,desktop,21
10 ene 2023,mobile,10
11 ene 2023,mobile,18
11 ene 2023,desktop,14
12 ene 2023,mobile,13
12 ene 2023,desktop,11
13 ene 2023,desktop,25
13 ene 2023,mobile,7
13 ene 2023,tablet,1
14 ene 2023,desktop,9
14 ene 2023,mobile,5
14 ene 2023,tablet,1
15 ene 2023,desktop,9
15 ene 2023,mobile,4
16 ene 2023,desktop,21
16 ene 2023,mobile,3
17 ene 2023,desktop,21
17 ene 2023,mobile,19
18 ene 2023,desktop,15
18 ene 2023,mobile,10
19 ene 2023,desktop,33
19 ene 2023,mobile,11
20 ene 2023,mobile,21
20 ene 2023,desktop,7
21 ene 2023,desktop,15
21 ene 2023,mobile,10
22 ene 2023,mobile,45
22 ene 2023,desktop,2
23 ene 2023,desktop,32
23 ene 2023,mobile,7
24 ene 2023,desktop,18
24 ene 2023,mobile,7
25 ene 2023,desktop,18
25 ene 2023,mobile,9
26 ene 2023,desktop,32
26 ene 2023,mobile,13
27 ene 2023,desktop,50
27 ene 2023,mobile,25
28 ene 2023,desktop,11
28 ene 2023,mobile,6
29 ene 2023,mobile,13
29 ene 2023,desktop,4
30 ene 2023,mobile,33
30 ene 2023,desktop,23
31 ene 2023,desktop,32
31 ene 2023,mobile,28
1 feb 2023,desktop,31
1 feb 2023,mobile,27
2 feb 2023,desktop,14
2 feb 2023,mobile,9
2 feb 2023,tablet,1
3 feb 2023,desktop,30
3 feb 2023,mobile,8
4 feb 2023,mobile,28
4 feb 2023,desktop,18
5 feb 2023,mobile,42
5 feb 2023,desktop,14
6 feb 2023,desktop,98
6 feb 2023,mobile,23
7 feb 2023,desktop,102
7 feb 2023,mobile,40
8 feb 2023,desktop,109
8 feb 2023,mobile,40
9 feb 2023,desktop,163
9 feb 2023,mobile,31
10 feb 2023,desktop,73
10 feb 2023,mobile,15
11 feb 2023,desktop,6
11 feb 2023,mobile,4
12 feb 2023,desktop,11
12 feb 2023,mobile,5
13 feb 2023,desktop,90
13 feb 2023,mobile,22
14 feb 2023,desktop,79
14 feb 2023,mobile,16
15 feb 2023,desktop,419
15 feb 2023,mobile,34
16 feb 2023,desktop,231
16 feb 2023,mobile,45
17 feb 2023,desktop,84
17 feb 2023,mobile,6
18 feb 2023,mobile,19
18 feb 2023,desktop,9
19 feb 2023,mobile,106
19 feb 2023,desktop,15
20 feb 2023,desktop,23
20 feb 2023,mobile,23
21 feb 2023,desktop,51
21 feb 2023,mobile,16
22 feb 2023,desktop,353
22 feb 2023,mobile,28
23 feb 2023,desktop,119
23 feb 2023,mobile,75
23 feb 2023,tablet,9
24 feb 2023,desktop,99
24 feb 2023,mobile,25
25 feb 2023,mobile,29
25 feb 2023,desktop,14
26 feb 2023,mobile,12
26 feb 2023,desktop,11
26 feb 2023,tablet,1
27 feb 2023,desktop,127
27 feb 2023,mobile,17
28 feb 2023,desktop,260
28 feb 2023,mobile,94
1 mar 2023,desktop,180
1 mar 2023,mobile,105
2 mar 2023,desktop,169
2 mar 2023,mobile,80
3 mar 2023,desktop,32
3 mar 2023,mobile,30
4 mar 2023,desktop,58
4 mar 2023,mobile,10
5 mar 2023,mobile,32
5 mar 2023,desktop,19
6 mar 2023,desktop,105
6 mar 2023,mobile,44
7 mar 2023,desktop,170
7 mar 2023,mobile,38
8 mar 2023,desktop,65
8 mar 2023,mobile,30
9 mar 2023,mobile,122
9 mar 2023,desktop,94
9 mar 2023,tablet,1
10 mar 2023,desktop,75
10 mar 2023,mobile,27
10 mar 2023,tablet,6
11 mar 2023,desktop,35
11 mar 2023,mobile,21
12 mar 2023,desktop,23
12 mar 2023,mobile,11
13 mar 2023,desktop,126
13 mar 2023,mobile,58
14 mar 2023,desktop,135
14 mar 2023,mobile,102
15 mar 2023,desktop,128
15 mar 2023,mobile,87
15 mar 2023,tablet,3
16 mar 2023,desktop,93
16 mar 2023,mobile,57
16 mar 2023,tablet,1
17 mar 2023,desktop,37
17 mar 2023,mobile,30
17 mar 2023,tablet,1
18 mar 2023,desktop,109
18 mar 2023,mobile,43
19 mar 2023,desktop,49
19 mar 2023,mobile,17
20 mar 2023,desktop,576
