Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
2 jun 2023,143,27,34,1.3333333333333333,40
3 jun 2023,70,28,31,1.1935483870967742,37
4 jun 2023,65,20,29,1.2692307692307692,33
5 jun 2023,313,39,54,1.1923076923076923,62
6 jun 2023,173,40,55,1.3653846153846154,71
7 jun 2023,138,34,47,1.4047619047619047,59
8 jun 2023,303,35,55,1.4339622641509433,76
9 jun 2023,120,20,33,1.5,42
10 jun 2023,58,25,32,1.2142857142857142,34
11 jun 2023,64,23,33,1.3333333333333333,40
12 jun 2023,144,32,43,1.3095238095238095,55
13 jun 2023,88,36,54,1.1176470588235294,57
14 jun 2023,143,30,48,1.4390243902439024,59
15 jun 2023,159,48,61,1.180327868852459,72
16 jun 2023,62,19,30,1.3333333333333333,32
17 jun 2023,45,14,21,1.3333333333333333,24
18 jun 2023,61,10,16,1.1333333333333333,17
19 jun 2023,48,19,23,1.173913043478261,27
20 jun 2023,93,32,41,1.125,45
21 jun 2023,124,34,46,1.2926829268292683,53
22 jun 2023,128,38,49,1.1666666666666667,56
23 jun 2023,154,21,36,1.2941176470588236,44
24 jun 2023,56,25,29,1.3846153846153846,36
25 jun 2023,185,20,25,1.16,29
26 jun 2023,122,39,56,1.2549019607843137,64
27 jun 2023,116,42,56,1.2641509433962264,67
28 jun 2023,180,29,47,1.288888888888889,58
29 jun 2023,197,44,54,1.2830188679245282,68
30 jun 2023,165,54,76,1.2608695652173914,87
1 jul 2023,34,11,15,1.3076923076923077,17
2 jul 2023,46,26,33,1.1333333333333333,34
3 jul 2023,126,30,43,1.4210526315789473,54
4 jul 2023,170,31,48,1.5116279069767442,65
5 jul 2023,100,29,41,1.2162162162162162,45
6 jul 2023,110,32,35,1.1764705882352942,40
7 jul 2023,139,25,40,1.4857142857142858,52
8 jul 2023,66,16,27,1.380952380952381,29
9 jul 2023,87,12,17,1.5714285714285714,22
10 jul 2023,79,31,37,1.1470588235294117,39
11 jul 2023,55,14,20,1.2105263157894737,23
12 jul 2023,79,28,32,1.2666666666666666,38
13 jul 2023,92,29,35,1.0571428571428572,37
14 jul 2023,104,18,22,1.2105263157894737,23
15 jul 2023,22,13,14,1.2307692307692308,16
16 jul 2023,26,8,10,1.2,12
17 jul 2023,153,41,47,1.1555555555555554,52
18 jul 2023,110,24,32,1.103448275862069,32
19 jul 2023,49,21,28,1.1538461538461537,30
20 jul 2023,17,10,14,1,14
21 jul 2023,66,14,20,1.1666666666666667,21
22 jul 2023,68,15,19,1.1666666666666667,21
23 jul 2023,63,19,25,1.2380952380952381,26
24 jul 2023,174,32,45,1.3095238095238095,55
25 jul 2023,91,23,39,1.3611111111111112,49
26 jul 2023,241,48,68,1.1911764705882353,81
27 jul 2023,204,46,65,1.1639344262295082,71
28 jul 2023,148,30,48,1.25,55
29 jul 2023,89,21,27,1.2916666666666667,31
30 jul 2023,30,18,23,1.173913043478261,27
31 jul 2023,175,39,61,1.2280701754385965,70
1 ago 2023,211,59,77,1.1710526315789473,89
2 ago 2023,318,67,90,1.255813953488372,108
3 ago 2023,146,31,51,1.297872340425532,61
4 ago 2023,79,27,38,1.3529411764705883,46
5 ago 2023,62,13,19,1.25,20
