Fecha,Grupo de canales predeterminado de la sesión,Vistas
10 ago 2022,Organic Video,4
10 ago 2022,Referral,2
11 ago 2022,Organic Search,135
11 ago 2022,Direct,54
11 ago 2022,Organic Social,8
11 ago 2022,Organic Video,2
11 ago 2022,Referral,1
12 ago 2022,Direct,59
12 ago 2022,Organic Search,54
12 ago 2022,Organic Social,12
12 ago 2022,Referral,1
13 ago 2022,Organic Search,36
13 ago 2022,Direct,19
13 ago 2022,Referral,4
13 ago 2022,Organic Social,2
14 ago 2022,Organic Search,77
14 ago 2022,Direct,14
15 ago 2022,Organic Search,74
15 ago 2022,Direct,11
15 ago 2022,Organic Social,2
15 ago 2022,Referral,2
16 ago 2022,Organic Search,389
16 ago 2022,Direct,220
16 ago 2022,Referral,13
16 ago 2022,Organic Social,5
17 ago 2022,Organic Search,221
17 ago 2022,Organic Social,49
17 ago 2022,Direct,38
17 ago 2022,Referral,4
18 ago 2022,Organic Search,70
18 ago 2022,Direct,59
18 ago 2022,Organic Social,16
18 ago 2022,Referral,1
19 ago 2022,Organic Search,67
19 ago 2022,Direct,38
19 ago 2022,Organic Social,3
19 ago 2022,Referral,2
19 ago 2022,Organic Video,1
20 ago 2022,Organic Search,66
20 ago 2022,Organic Social,5
20 ago 2022,Direct,3
20 ago 2022,Referral,1
21 ago 2022,Organic Search,43
21 ago 2022,Direct,2
21 ago 2022,Organic Video,0
22 ago 2022,Organic Search,86
22 ago 2022,Direct,53
22 ago 2022,Organic Social,2
22 ago 2022,Organic Video,1
22 ago 2022,Referral,1
23 ago 2022,Organic Search,224
23 ago 2022,Direct,184
23 ago 2022,Organic Social,57
24 ago 2022,Organic Search,133
24 ago 2022,Direct,30
24 ago 2022,Organic Social,26
24 ago 2022,Referral,1
25 ago 2022,Organic Search,158
25 ago 2022,Direct,33
25 ago 2022,Organic Social,2
25 ago 2022,Referral,2
26 ago 2022,Organic Search,47
26 ago 2022,Direct,13
27 ago 2022,Organic Search,36
27 ago 2022,Organic Social,13
27 ago 2022,Direct,8
27 ago 2022,Organic Video,5
28 ago 2022,Organic Search,15
28 ago 2022,Direct,6
28 ago 2022,Organic Video,1
29 ago 2022,Organic Search,169
29 ago 2022,Direct,12
29 ago 2022,Referral,3
29 ago 2022,Organic Video,1
30 ago 2022,Organic Search,158
30 ago 2022,Direct,11
30 ago 2022,Organic Social,1
31 ago 2022,Organic Search,40
31 ago 2022,Direct,16
31 ago 2022,Organic Social,1
31 ago 2022,Referral,1
31 ago 2022,Unassigned,1
1 sept 2022,Direct,39
1 sept 2022,Organic Search,27
1 sept 2022,Organic Social,8
2 sept 2022,Organic Search,43
2 sept 2022,Direct,6
2 sept 2022,Organic Social,1
2 sept 2022,Referral,1
3 sept 2022,Organic Search,25
3 sept 2022,Direct,2
3 sept 2022,Referral,1
4 sept 2022,Organic Search,30
4 sept 2022,Direct,7
4 sept 2022,Organic Social,5
4 sept 2022,Referral,1
5 sept 2022,Organic Search,114
5 sept 2022,Direct,71
5 sept 2022,Organic Social,5
5 sept 2022,Organic Video,1
5 sept 2022,Referral,1
6 sept 2022,Organic Search,60
6 sept 2022,Direct,37
6 sept 2022,Referral,1
7 sept 2022,Organic Search,120
7 sept 2022,Organic Social,14
7 sept 2022,Direct,8
7 sept 2022,Referral,2
8 sept 2022,Organic Search,29
8 sept 2022,Direct,26
8 sept 2022,Organic Social,7
8 sept 2022,Referral,1
9 sept 2022,Organic Search,18
9 sept 2022,Direct,15
9 sept 2022,Organic Social,14
9 sept 2022,Unassigned,1
10 sept 2022,Organic Search,55
10 sept 2022,Direct,2
11 sept 2022,Organic Search,68
11 sept 2022,Direct,21
11 sept 2022,Organic Social,1
11 sept 2022,Referral,1
12 sept 2022,Organic Search,117
12 sept 2022,Direct,7
12 sept 2022,Referral,1
13 sept 2022,Organic Search,75
13 sept 2022,Direct,41
13 sept 2022,Referral,3
13 sept 2022,Organic Social,2
14 sept 2022,Organic Search,113
14 sept 2022,Direct,24
14 sept 2022,Organic Social,5
14 sept 2022,Unassigned,1
15 sept 2022,Organic Search,98
15 sept 2022,Organic Social,15
15 sept 2022,Direct,10
15 sept 2022,Referral,1
16 sept 2022,Organic Search,58
16 sept 2022,Direct,11
16 sept 2022,Referral,1
17 sept 2022,Organic Search,59
17 sept 2022,Direct,57
18 sept 2022,Organic Search,32
18 sept 2022,Direct,2
18 sept 2022,Organic Social,1
19 sept 2022,Organic Search,78
19 sept 2022,Organic Social,15
19 sept 2022,Direct,9
19 sept 2022,Referral,7
20 sept 2022,Organic Search,68
20 sept 2022,Direct,48
20 sept 2022,Organic Social,1
20 sept 2022,Referral,1
21 sept 2022,Organic Search,44
21 sept 2022,Direct,32
21 sept 2022,Organic Social,10
21 sept 2022,Unassigned,1
22 sept 2022,Organic Search,48
22 sept 2022,Direct,10
22 sept 2022,Organic Social,3
22 sept 2022,Referral,1
23 sept 2022,Organic Search,35
23 sept 2022,Direct,10
23 sept 2022,Referral,1
24 sept 2022,Organic Search,32
24 sept 2022,Direct,13
25 sept 2022,Organic Search,40
25 sept 2022,Direct,22
25 sept 2022,Organic Social,8
25 sept 2022,Organic Video,2
25 sept 2022,Referral,1
26 sept 2022,Organic Search,78
26 sept 2022,Direct,20
26 sept 2022,Organic Video,6
26 sept 2022,Referral,2
26 sept 2022,Organic Social,1
26 sept 2022,Unassigned,1
27 sept 2022,Organic Search,94
27 sept 2022,Direct,39
27 sept 2022,Organic Social,3
28 sept 2022,Organic Search,124
28 sept 2022,Direct,111
28 sept 2022,Organic Social,10
28 sept 2022,Referral,2
28 sept 2022,Organic Video,1
29 sept 2022,Organic Search,121
29 sept 2022,Direct,39
29 sept 2022,Organic Social,10
29 sept 2022,Referral,3
30 sept 2022,Organic Search,62
30 sept 2022,Direct,28
30 sept 2022,Organic Social,1
30 sept 2022,Referral,1
1 oct 2022,Organic Search,39
1 oct 2022,Direct,13
1 oct 2022,Referral,1
2 oct 2022,Organic Search,26
2 oct 2022,Direct,2
2 oct 2022,Organic Video,2
2 oct 2022,Organic Social,1
3 oct 2022,Organic Search,65
3 oct 2022,Direct,33
3 oct 2022,Referral,2
4 oct 2022,Organic Search,72
4 oct 2022,Direct,14
4 oct 2022,Organic Social,3
4 oct 2022,Referral,1
5 oct 2022,Organic Search,84
5 oct 2022,Direct,16
5 oct 2022,Organic Social,4
5 oct 2022,Referral,3
6 oct 2022,Organic Search,54
6 oct 2022,Direct,33
6 oct 2022,Organic Social,12
6 oct 2022,Referral,3
7 oct 2022,Organic Search,28
7 oct 2022,Direct,8
7 oct 2022,Organic Social,7
8 oct 2022,Direct,0
9 oct 2022,Organic Search,3
9 oct 2022,Direct,1
10 oct 2022,Organic Search,79
