,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
48,9 oct 2018,133,17,34,36,6,17,97,11,17,0.0,0.0,0.0,0.0,0.0
49,10 oct 2018,83,34,49,59,22,36,22,11,12,2.0,1.0,0.0,0.0,1.0
50,11 oct 2018,51,11,26,20,4,10,31,7,16,0.0,0.0,0.0,0.0,0.0
51,12 oct 2018,49,15,22,29,4,7,20,11,15,0.0,0.0,0.0,0.0,0.0
52,13 oct 2018,14,7,12,6,2,4,8,5,8,0.0,0.0,0.0,0.0,0.0
53,14 oct 2018,19,3,11,9,2,9,10,1,2,0.0,0.0,0.0,0.0,0.0
54,15 oct 2018,19,6,9,12,3,4,7,3,5,0.0,0.0,0.0,0.0,0.0
55,16 oct 2018,69,21,30,41,12,17,28,9,13,0.0,0.0,0.0,0.0,0.0
56,17 oct 2018,92,27,36,76,20,27,16,7,9,0.0,0.0,0.0,0.0,0.0
57,18 oct 2018,56,22,31,33,14,20,23,8,11,0.0,0.0,0.0,0.0,0.0
58,19 oct 2018,45,16,25,26,6,14,19,10,11,0.0,0.0,0.0,0.0,0.0
59,20 oct 2018,23,7,14,14,2,6,9,5,8,0.0,0.0,0.0,0.0,0.0
60,21 oct 2018,17,5,11,11,3,8,6,2,3,0.0,0.0,0.0,0.0,0.0
61,22 oct 2018,39,11,18,11,5,7,28,6,11,0.0,0.0,0.0,0.0,0.0
62,23 oct 2018,112,36,50,77,18,28,35,18,22,0.0,0.0,0.0,0.0,0.0
63,24 oct 2018,40,11,19,25,6,11,15,5,8,0.0,0.0,0.0,0.0,0.0
64,25 oct 2018,42,11,19,18,5,8,24,6,11,0.0,0.0,0.0,0.0,0.0
65,26 oct 2018,73,14,26,28,6,9,45,8,17,0.0,0.0,0.0,0.0,0.0
66,27 oct 2018,37,7,19,23,3,9,14,4,10,0.0,0.0,0.0,0.0,0.0
67,28 oct 2018,26,6,15,19,2,10,7,4,5,0.0,0.0,0.0,0.0,0.0
68,29 oct 2018,25,12,17,12,5,8,13,7,9,0.0,0.0,0.0,0.0,0.0
69,30 oct 2018,116,26,48,70,13,25,46,13,23,0.0,0.0,0.0,0.0,0.0
70,31 oct 2018,23,4,9,8,1,4,15,3,5,0.0,0.0,0.0,0.0,0.0
