,Todos los usuarios,Sesiones con rebote,Sesiones sin rebote,Tráfico de búsqueda,Tráfico de equipos de escritorio y tablet,Tráfico de móviles,Tráfico de tablets,Tráfico directo,Tráfico móvil y de tablet,Tráfico orgánico,Tráfico referido,Usuarios nuevos,Usuarios recurrentes
102,111.0,49.0,62.0,45.0,23.0,88.0,0.0,40.0,88.0,45.0,26.0,75.0,36.0
103,45.0,28.0,17.0,23.0,15.0,30.0,0.0,20.0,30.0,23.0,2.0,27.0,18.0
104,38.0,26.0,12.0,15.0,13.0,25.0,0.0,7.0,25.0,15.0,16.0,35.0,3.0
105,43.0,31.0,12.0,17.0,18.0,25.0,1.0,14.0,26.0,17.0,12.0,40.0,3.0
106,61.0,33.0,28.0,11.0,29.0,32.0,0.0,35.0,32.0,11.0,15.0,54.0,7.0
107,58.0,38.0,20.0,15.0,50.0,8.0,0.0,11.0,8.0,15.0,32.0,44.0,14.0
108,37.0,27.0,10.0,13.0,26.0,11.0,0.0,15.0,11.0,13.0,9.0,32.0,5.0
109,53.0,41.0,12.0,21.0,20.0,33.0,6.0,31.0,39.0,21.0,1.0,45.0,8.0
110,71.0,44.0,27.0,15.0,47.0,24.0,1.0,48.0,25.0,15.0,8.0,57.0,14.0
111,70.0,46.0,24.0,23.0,38.0,32.0,0.0,31.0,32.0,23.0,16.0,65.0,5.0
112,64.0,40.0,24.0,25.0,38.0,26.0,0.0,32.0,26.0,25.0,7.0,49.0,15.0
113,42.0,27.0,15.0,13.0,25.0,17.0,0.0,25.0,17.0,13.0,4.0,36.0,6.0
114,180.0,71.0,109.0,66.0,89.0,91.0,0.0,74.0,91.0,66.0,40.0,134.0,46.0
115,208.0,97.0,111.0,102.0,114.0,94.0,0.0,77.0,94.0,102.0,29.0,140.0,68.0
116,242.0,100.0,142.0,120.0,105.0,137.0,0.0,81.0,137.0,120.0,41.0,208.0,34.0
117,179.0,92.0,87.0,94.0,77.0,102.0,7.0,57.0,109.0,94.0,28.0,140.0,39.0
118,253.0,104.0,149.0,89.0,117.0,136.0,2.0,121.0,138.0,89.0,43.0,178.0,75.0
119,108.0,55.0,53.0,28.0,43.0,65.0,0.0,70.0,65.0,28.0,10.0,83.0,25.0
120,197.0,96.0,101.0,55.0,70.0,127.0,0.0,85.0,127.0,55.0,57.0,114.0,83.0
121,240.0,102.0,138.0,65.0,103.0,137.0,0.0,141.0,137.0,65.0,34.0,169.0,71.0
122,287.0,96.0,191.0,114.0,143.0,144.0,0.0,132.0,144.0,114.0,41.0,183.0,104.0
123,198.0,91.0,107.0,85.0,91.0,107.0,0.0,74.0,107.0,85.0,39.0,152.0,46.0
124,141.0,82.0,59.0,41.0,58.0,83.0,0.0,58.0,83.0,41.0,42.0,94.0,47.0
125,251.0,95.0,156.0,72.0,102.0,149.0,0.0,126.0,149.0,72.0,53.0,178.0,73.0
126,245.0,124.0,121.0,103.0,80.0,165.0,1.0,101.0,166.0,103.0,41.0,176.0,69.0
127,214.0,97.0,117.0,111.0,114.0,100.0,0.0,63.0,100.0,111.0,40.0,152.0,62.0
128,240.0,93.0,147.0,107.0,89.0,151.0,0.0,103.0,151.0,107.0,30.0,142.0,98.0
129,219.0,89.0,130.0,74.0,73.0,146.0,0.0,119.0,146.0,74.0,26.0,157.0,62.0
130,247.0,138.0,109.0,83.0,69.0,178.0,0.0,127.0,178.0,83.0,37.0,170.0,77.0
131,343.0,118.0,225.0,124.0,260.0,83.0,2.0,209.0,85.0,124.0,10.0,156.0,187.0
132,53.0,27.0,26.0,24.0,27.0,26.0,0.0,29.0,26.0,24.0,0.0,48.0,5.0
133,83.0,38.0,45.0,43.0,42.0,41.0,0.0,39.0,41.0,43.0,1.0,76.0,7.0
134,100.0,42.0,58.0,35.0,44.0,56.0,0.0,20.0,56.0,35.0,45.0,82.0,18.0
135,210.0,101.0,109.0,115.0,84.0,126.0,0.0,54.0,126.0,115.0,41.0,131.0,79.0
136,330.0,116.0,214.0,117.0,163.0,167.0,0.0,162.0,167.0,117.0,51.0,182.0,148.0
