Fecha,País,Número de vistas de página
23 sept 2019,Peru,30
23 sept 2019,Argentina,243
24 sept 2019,Brazil,4
24 sept 2019,Mexico,41
24 sept 2019,Argentina,184
24 sept 2019,Chile,65
24 sept 2019,United States,4
24 sept 2019,Peru,53
24 sept 2019,Costa Rica,4
25 sept 2019,Peru,35
25 sept 2019,Argentina,130
25 sept 2019,United States,8
25 sept 2019,Mexico,9
25 sept 2019,Chile,27
25 sept 2019,Brazil,1
26 sept 2019,France,1
26 sept 2019,United States,3
26 sept 2019,Mexico,93
26 sept 2019,Uruguay,5
26 sept 2019,Peru,157
26 sept 2019,Brazil,4
26 sept 2019,Chile,1
26 sept 2019,Costa Rica,1
26 sept 2019,Argentina,161
27 sept 2019,Peru,5
27 sept 2019,United States,11
27 sept 2019,Mexico,17
27 sept 2019,Brazil,1
27 sept 2019,South Korea,1
27 sept 2019,Argentina,59
27 sept 2019,Chile,1
28 sept 2019,Mexico,1
28 sept 2019,Argentina,15
28 sept 2019,United States,5
28 sept 2019,Chile,5
28 sept 2019,Peru,1
29 sept 2019,United States,1
29 sept 2019,Mexico,1
29 sept 2019,Chile,6
29 sept 2019,Peru,1
29 sept 2019,Argentina,7
30 sept 2019,Brazil,1
30 sept 2019,Mexico,1
30 sept 2019,Paraguay,1
30 sept 2019,Peru,5
30 sept 2019,Chile,7
30 sept 2019,Argentina,82
1 oct 2019,Chile,1
1 oct 2019,Mexico,1
1 oct 2019,Peru,1
1 oct 2019,Brazil,1
1 oct 2019,Argentina,61
1 oct 2019,United States,1
2 oct 2019,Argentina,91
2 oct 2019,Peru,1
3 oct 2019,Colombia,1
3 oct 2019,Chile,1
3 oct 2019,Spain,1
3 oct 2019,Argentina,25
4 oct 2019,Peru,2
4 oct 2019,Chile,1
4 oct 2019,South Korea,1
4 oct 2019,Argentina,20
5 oct 2019,India,2
5 oct 2019,Argentina,13
6 oct 2019,Paraguay,1
6 oct 2019,Mexico,1
6 oct 2019,Chile,1
6 oct 2019,Argentina,3
7 oct 2019,Argentina,46
7 oct 2019,Cuba,1
7 oct 2019,Chile,1
8 oct 2019,Argentina,118
8 oct 2019,Mexico,1
9 oct 2019,Argentina,16
9 oct 2019,South Korea,1
10 oct 2019,Argentina,30
10 oct 2019,Chile,1
11 oct 2019,Argentina,31
11 oct 2019,Chile,3
11 oct 2019,South Korea,1
11 oct 2019,Philippines,1
12 oct 2019,Argentina,8
12 oct 2019,United States,2
12 oct 2019,Mexico,3
13 oct 2019,United Kingdom,1
13 oct 2019,Argentina,2
14 oct 2019,Argentina,38
14 oct 2019,France,1
15 oct 2019,United States,1
15 oct 2019,Argentina,80
16 oct 2019,South Korea,1
16 oct 2019,China,1
16 oct 2019,United States,1
16 oct 2019,Argentina,74
17 oct 2019,Peru,1
17 oct 2019,Argentina,132
17 oct 2019,United States,9
17 oct 2019,Chile,1
18 oct 2019,South Korea,1
18 oct 2019,Argentina,19
19 oct 2019,Argentina,14
20 oct 2019,Argentina,9
20 oct 2019,Chile,3
21 oct 2019,Chile,1
21 oct 2019,United States,1
21 oct 2019,Argentina,30
22 oct 2019,United Kingdom,3
22 oct 2019,Argentina,41
22 oct 2019,South Korea,1
22 oct 2019,Chile,3
22 oct 2019,United States,1
23 oct 2019,Spain,2
23 oct 2019,Argentina,71
24 oct 2019,Argentina,52
24 oct 2019,South Korea,1
25 oct 2019,Argentina,24
25 oct 2019,Spain,4
25 oct 2019,Costa Rica,1
26 oct 2019,Brazil,1
26 oct 2019,Argentina,10
27 oct 2019,Paraguay,5
27 oct 2019,Chile,1
28 oct 2019,Argentina,24
28 oct 2019,United States,1
28 oct 2019,Spain,19
28 oct 2019,Chile,1
28 oct 2019,Netherlands,1
29 oct 2019,Germany,1
29 oct 2019,Argentina,21
29 oct 2019,United States,2
30 oct 2019,United States,1
30 oct 2019,South Korea,1
30 oct 2019,Argentina,14
31 oct 2019,Argentina,12
1 nov 2019,Brazil,1
1 nov 2019,South Korea,1
1 nov 2019,United States,2
1 nov 2019,Argentina,35
2 nov 2019,Argentina,20
2 nov 2019,United Kingdom,1
3 nov 2019,Mexico,1
3 nov 2019,Argentina,23
3 nov 2019,Paraguay,1
4 nov 2019,Argentina,72
4 nov 2019,United States,3
4 nov 2019,Brazil,4
5 nov 2019,Argentina,29
6 nov 2019,South Korea,1
6 nov 2019,Chile,1
6 nov 2019,Paraguay,1
6 nov 2019,Argentina,10
7 nov 2019,Chile,2
7 nov 2019,Argentina,122
7 nov 2019,Singapore,2
8 nov 2019,Argentina,116
8 nov 2019,Uzbekistan,2
9 nov 2019,Brazil,2
9 nov 2019,Argentina,184
10 nov 2019,Argentina,97
10 nov 2019,Brazil,1
11 nov 2019,Argentina,76
12 nov 2019,Argentina,50
13 nov 2019,Poland,4
13 nov 2019,Argentina,77
14 nov 2019,Argentina,30
14 nov 2019,United States,1
15 nov 2019,Cuba,1
15 nov 2019,South Korea,1
15 nov 2019,Argentina,13
16 nov 2019,Argentina,10
17 nov 2019,South Korea,1
17 nov 2019,Argentina,12
18 nov 2019,Argentina,23
18 nov 2019,Germany,1
18 nov 2019,Chile,1
18 nov 2019,United States,8
19 nov 2019,Argentina,37
19 nov 2019,Chile,1
20 nov 2019,Colombia,1
20 nov 2019,Mexico,10
20 nov 2019,Argentina,28
21 nov 2019,Argentina,40
22 nov 2019,Mexico,5
22 nov 2019,Argentina,16
22 nov 2019,South Korea,1
23 nov 2019,Argentina,17
23 nov 2019,(not set),12
24 nov 2019,Argentina,3
25 nov 2019,Argentina,8
26 nov 2019,Argentina,16
26 nov 2019,South Korea,1
27 nov 2019,Argentina,9
28 nov 2019,Argentina,38
29 nov 2019,South Korea,1
29 nov 2019,China,1
29 nov 2019,Argentina,32
29 nov 2019,United States,1
30 nov 2019,Argentina,13
30 nov 2019,United States,1
1 dic 2019,Argentina,10
2 dic 2019,Argentina,31
3 dic 2019,Argentina,42
4 dic 2019,South Korea,1
4 dic 2019,Argentina,34
5 dic 2019,Argentina,7
5 dic 2019,China,1
6 dic 2019,South Korea,1
6 dic 2019,United States,6
6 dic 2019,Argentina,26
7 dic 2019,Brazil,1
7 dic 2019,Argentina,12
7 dic 2019,United States,1
8 dic 2019,Argentina,3
8 dic 2019,Mexico,1
9 dic 2019,Argentina,9
9 dic 2019,Brazil,1
9 dic 2019,United States,1
10 dic 2019,Argentina,18
11 dic 2019,Argentina,15
11 dic 2019,South Korea,1
12 dic 2019,United States,1
12 dic 2019,Argentina,10
13 dic 2019,South Korea,1
13 dic 2019,Argentina,10
14 dic 2019,Argentina,16
14 dic 2019,United States,2
15 dic 2019,Ireland,1
15 dic 2019,Argentina,7
16 dic 2019,India,1
16 dic 2019,Argentina,16
17 dic 2019,United States,1
17 dic 2019,Argentina,14
18 dic 2019,Argentina,17
18 dic 2019,South Korea,1
19 dic 2019,Argentina,22
19 dic 2019,United States,8
19 dic 2019,China,1
20 dic 2019,South Korea,1
20 dic 2019,Argentina,14
20 dic 2019,Ecuador,1
21 dic 2019,Argentina,10
22 dic 2019,Paraguay,1
22 dic 2019,Argentina,4
23 dic 2019,United States,1
23 dic 2019,South Korea,1
23 dic 2019,Argentina,16
23 dic 2019,Netherlands,1
24 dic 2019,Argentina,1
25 dic 2019,Argentina,1
26 dic 2019,Mexico,1
26 dic 2019,Argentina,6
27 dic 2019,South Korea,1
27 dic 2019,Mexico,1
27 dic 2019,Argentina,7
28 dic 2019,Argentina,7
29 dic 2019,Argentina,3
30 dic 2019,Argentina,12
30 dic 2019,Brazil,1
31 dic 2019,United States,2
31 dic 2019,Peru,1
1 ene 2020,Argentina,2
2 ene 2020,Netherlands,1
2 ene 2020,Argentina,43
3 ene 2020,Uruguay,1
3 ene 2020,Netherlands,3
3 ene 2020,Argentina,31
3 ene 2020,South Korea,1
4 ene 2020,Argentina,6
5 ene 2020,United States,1
5 ene 2020,Brazil,11
5 ene 2020,Argentina,11
6 ene 2020,Argentina,28
7 ene 2020,Argentina,3
7 ene 2020,United States,1
8 ene 2020,United States,1
8 ene 2020,Brazil,31
8 ene 2020,Argentina,6
9 ene 2020,Mexico,3
9 ene 2020,Argentina,8
9 ene 2020,China,1
10 ene 2020,Argentina,3
11 ene 2020,Argentina,1
11 ene 2020,Brazil,8
12 ene 2020,Argentina,18
12 ene 2020,Brazil,6
13 ene 2020,Argentina,4
13 ene 2020,United States,1
13 ene 2020,Brazil,2
14 ene 2020,Argentina,14
15 ene 2020,United States,1
15 ene 2020,Argentina,8
16 ene 2020,Argentina,10
17 ene 2020,Argentina,4
17 ene 2020,United States,1
18 ene 2020,Argentina,5
18 ene 2020,Brazil,3
19 ene 2020,China,1
19 ene 2020,Argentina,1
20 ene 2020,Argentina,6
21 ene 2020,Brazil,58
21 ene 2020,Argentina,25
21 ene 2020,Colombia,1
21 ene 2020,China,1
22 ene 2020,Argentina,14
22 ene 2020,Brazil,7
22 ene 2020,United States,8
23 ene 2020,Argentina,7
23 ene 2020,Mexico,1
24 ene 2020,Brazil,9
24 ene 2020,Argentina,17
24 ene 2020,Colombia,1
25 ene 2020,United States,1
25 ene 2020,Argentina,15
26 ene 2020,Argentina,2
27 ene 2020,Argentina,10
28 ene 2020,Argentina,7
29 ene 2020,Argentina,13
30 ene 2020,United States,1
30 ene 2020,Argentina,3
31 ene 2020,South Korea,1
31 ene 2020,United States,3
1 feb 2020,Argentina,11
1 feb 2020,Mexico,1
2 feb 2020,Argentina,4
3 feb 2020,Argentina,13
4 feb 2020,Argentina,9
5 feb 2020,Argentina,5
6 feb 2020,Argentina,3
7 feb 2020,Argentina,13
8 feb 2020,Brazil,27
8 feb 2020,Argentina,8
9 feb 2020,Argentina,14
10 feb 2020,Paraguay,1
10 feb 2020,Argentina,29
11 feb 2020,Argentina,29
11 feb 2020,Brazil,1
12 feb 2020,United States,2
12 feb 2020,Argentina,44
12 feb 2020,China,1
12 feb 2020,Brazil,5
12 feb 2020,Mexico,2
13 feb 2020,United States,3
13 feb 2020,Argentina,35
13 feb 2020,Venezuela,2
14 feb 2020,South Korea,1
14 feb 2020,Mexico,1
14 feb 2020,Argentina,6
15 feb 2020,Argentina,7
15 feb 2020,United States,2
15 feb 2020,Brazil,1
16 feb 2020,United States,3
16 feb 2020,Argentina,5
17 feb 2020,Argentina,36
17 feb 2020,United States,1
18 feb 2020,United States,2
18 feb 2020,Argentina,15
19 feb 2020,United States,5
19 feb 2020,Argentina,30
20 feb 2020,United States,7
20 feb 2020,Argentina,22
21 feb 2020,South Korea,1
21 feb 2020,United States,2
21 feb 2020,Argentina,39
22 feb 2020,Argentina,4
22 feb 2020,United States,4
23 feb 2020,United States,4
23 feb 2020,Argentina,4
23 feb 2020,(not set),1
24 feb 2020,United States,1
24 feb 2020,Argentina,4
25 feb 2020,Argentina,11
25 feb 2020,Netherlands,1
26 feb 2020,Panama,1
26 feb 2020,Argentina,17
27 feb 2020,Argentina,14
28 feb 2020,Argentina,16
28 feb 2020,United States,1
29 feb 2020,Argentina,11
1 mar 2020,Argentina,4
2 mar 2020,Argentina,34
3 mar 2020,United States,2
3 mar 2020,Argentina,37
4 mar 2020,Argentina,49
5 mar 2020,Argentina,15
6 mar 2020,South Korea,1
6 mar 2020,Ecuador,1
6 mar 2020,Argentina,15
7 mar 2020,Paraguay,1
7 mar 2020,Austria,2
7 mar 2020,Argentina,7
8 mar 2020,United States,1
8 mar 2020,Brazil,3
8 mar 2020,Argentina,10
9 mar 2020,Argentina,16
9 mar 2020,Brazil,11
10 mar 2020,Argentina,24
10 mar 2020,China,1
10 mar 2020,Brazil,1
11 mar 2020,Argentina,36
12 mar 2020,United States,1
12 mar 2020,Argentina,36
13 mar 2020,Argentina,15
13 mar 2020,Brazil,1
14 mar 2020,Mexico,1
14 mar 2020,United States,1
14 mar 2020,Argentina,12
15 mar 2020,Argentina,11
16 mar 2020,Argentina,15
17 mar 2020,Mexico,1
17 mar 2020,Argentina,15
18 mar 2020,Argentina,14
18 mar 2020,Mexico,1
18 mar 2020,Colombia,1
19 mar 2020,Argentina,10
20 mar 2020,Chile,3
20 mar 2020,United States,1
20 mar 2020,Argentina,25
21 mar 2020,United States,1
21 mar 2020,Argentina,14
22 mar 2020,Argentina,38
22 mar 2020,United States,1
23 mar 2020,Argentina,16
24 mar 2020,Argentina,20
25 mar 2020,Mexico,1
25 mar 2020,Argentina,10
25 mar 2020,Brazil,3
26 mar 2020,Spain,1
26 mar 2020,Argentina,18
26 mar 2020,France,1
26 mar 2020,Paraguay,1
27 mar 2020,South Korea,1
27 mar 2020,Brazil,5
27 mar 2020,France,2
27 mar 2020,Argentina,62
28 mar 2020,Brazil,1
28 mar 2020,Argentina,160
29 mar 2020,Brazil,12
29 mar 2020,Argentina,1002
30 mar 2020,Argentina,166
30 mar 2020,Brazil,1
30 mar 2020,Spain,3
31 mar 2020,Argentina,251
31 mar 2020,United States,1
1 abr 2020,United States,1
1 abr 2020,Argentina,57
2 abr 2020,Argentina,150
2 abr 2020,Spain,1
2 abr 2020,United States,2
2 abr 2020,Brazil,1
2 abr 2020,Denmark,1
3 abr 2020,United States,3
3 abr 2020,Argentina,44
4 abr 2020,Argentina,95
4 abr 2020,Spain,1
5 abr 2020,Argentina,49
5 abr 2020,Spain,1
5 abr 2020,United States,1
6 abr 2020,Argentina,67
7 abr 2020,Argentina,28
8 abr 2020,Argentina,50
9 abr 2020,Ukraine,1
9 abr 2020,Argentina,429
9 abr 2020,Colombia,1
10 abr 2020,South Korea,1
10 abr 2020,Argentina,60
11 abr 2020,Argentina,22
11 abr 2020,Brazil,1
12 abr 2020,Argentina,18
13 abr 2020,United States,1
13 abr 2020,Argentina,21
14 abr 2020,Argentina,129
14 abr 2020,Peru,2
15 abr 2020,Argentina,54
16 abr 2020,Argentina,34
16 abr 2020,Germany,1
17 abr 2020,United Arab Emirates,1
17 abr 2020,Argentina,29
17 abr 2020,South Korea,1
18 abr 2020,Argentina,32
18 abr 2020,Brazil,2
19 abr 2020,Argentina,5
20 abr 2020,(not set),1
20 abr 2020,Brazil,1
20 abr 2020,Argentina,35
20 abr 2020,Germany,2
20 abr 2020,Mexico,1
21 abr 2020,Argentina,23
22 abr 2020,Argentina,22
23 abr 2020,Argentina,30
24 abr 2020,Argentina,65
24 abr 2020,South Korea,1
25 abr 2020,Argentina,9
26 abr 2020,United States,1
26 abr 2020,Argentina,18
27 abr 2020,Argentina,30
27 abr 2020,Ireland,1
27 abr 2020,United States,6
28 abr 2020,Brazil,5
28 abr 2020,Colombia,1
28 abr 2020,Argentina,25
29 abr 2020,Argentina,27
29 abr 2020,Mexico,1
29 abr 2020,Brazil,1
30 abr 2020,Argentina,12
1 may 2020,Argentina,41
1 may 2020,United States,1
1 may 2020,South Korea,1
2 may 2020,Argentina,18
3 may 2020,Argentina,20
4 may 2020,Argentina,33
4 may 2020,Brazil,2
5 may 2020,Argentina,30
6 may 2020,Argentina,70
6 may 2020,Mexico,1
7 may 2020,Argentina,46
8 may 2020,Paraguay,4
8 may 2020,Argentina,392
8 may 2020,Spain,12
8 may 2020,Colombia,3
8 may 2020,South Korea,1
9 may 2020,Argentina,203
10 may 2020,Argentina,80
10 may 2020,Spain,1
10 may 2020,Mexico,1
11 may 2020,United States,1
11 may 2020,Argentina,62
12 may 2020,Italy,6
12 may 2020,Argentina,48
12 may 2020,Brazil,2
13 may 2020,Argentina,26
14 may 2020,Argentina,24
14 may 2020,United States,2
14 may 2020,Mexico,1
15 may 2020,Argentina,24
15 may 2020,South Korea,1
16 may 2020,Argentina,15
16 may 2020,China,1
17 may 2020,Ireland,1
17 may 2020,Panama,1
17 may 2020,Argentina,10
18 may 2020,Argentina,26
18 may 2020,Canada,12
19 may 2020,Argentina,26
20 may 2020,Mexico,1
20 may 2020,United States,1
20 may 2020,Argentina,35
21 may 2020,Argentina,17
21 may 2020,Colombia,1
22 may 2020,Colombia,6
22 may 2020,South Korea,1
22 may 2020,Argentina,23
23 may 2020,Argentina,9
24 may 2020,China,3
24 may 2020,Argentina,5
25 may 2020,Argentina,13
25 may 2020,China,1
26 may 2020,(not set),1
26 may 2020,Mexico,11
26 may 2020,Argentina,37
27 may 2020,Argentina,13
27 may 2020,Guatemala,1
28 may 2020,Brazil,24
28 may 2020,Argentina,17
29 may 2020,Argentina,5
29 may 2020,South Korea,1
30 may 2020,Argentina,8
30 may 2020,United States,1
31 may 2020,Argentina,29
1 jun 2020,Argentina,9
2 jun 2020,Argentina,31
3 jun 2020,Peru,2
3 jun 2020,Brazil,3
3 jun 2020,United States,1
3 jun 2020,Argentina,27
4 jun 2020,Argentina,6
5 jun 2020,United States,1
5 jun 2020,Argentina,15
5 jun 2020,South Korea,1
5 jun 2020,China,1
6 jun 2020,Argentina,20
7 jun 2020,Argentina,23
8 jun 2020,Nicaragua,3
8 jun 2020,China,1
8 jun 2020,Argentina,16
9 jun 2020,Argentina,12
10 jun 2020,Argentina,22
10 jun 2020,United States,2
11 jun 2020,United States,1
11 jun 2020,Argentina,11
12 jun 2020,Paraguay,1
12 jun 2020,South Korea,1
12 jun 2020,Argentina,5
12 jun 2020,Spain,1
13 jun 2020,Argentina,15
14 jun 2020,Argentina,12
14 jun 2020,China,3
15 jun 2020,Argentina,3
16 jun 2020,Argentina,25
17 jun 2020,United States,1
17 jun 2020,China,2
17 jun 2020,Argentina,20
18 jun 2020,United States,1
18 jun 2020,Argentina,13
19 jun 2020,Argentina,9
19 jun 2020,South Korea,1
19 jun 2020,Panama,1
20 jun 2020,China,2
20 jun 2020,Argentina,3
21 jun 2020,Argentina,5
21 jun 2020,Paraguay,1
22 jun 2020,United States,1
22 jun 2020,China,2
22 jun 2020,Argentina,10
23 jun 2020,Argentina,7
23 jun 2020,China,1
24 jun 2020,Argentina,3
24 jun 2020,Mexico,1
25 jun 2020,Argentina,26
25 jun 2020,United States,1
26 jun 2020,South Korea,1
26 jun 2020,Argentina,20
27 jun 2020,Argentina,13
28 jun 2020,Paraguay,1
28 jun 2020,Argentina,20
29 jun 2020,Paraguay,2
29 jun 2020,Argentina,26
30 jun 2020,Uruguay,1
30 jun 2020,Argentina,2
1 jul 2020,Uruguay,1
1 jul 2020,Argentina,20
2 jul 2020,Argentina,11
3 jul 2020,South Korea,1
3 jul 2020,Argentina,20
4 jul 2020,Argentina,6
5 jul 2020,Argentina,8
6 jul 2020,Argentina,15
6 jul 2020,Uruguay,1
7 jul 2020,Argentina,3
8 jul 2020,Argentina,25
10 jul 2020,Argentina,2
10 jul 2020,South Korea,1
10 jul 2020,United States,4
11 jul 2020,Argentina,3
12 jul 2020,Argentina,8
13 jul 2020,Argentina,24
14 jul 2020,Argentina,10
15 jul 2020,Argentina,6
16 jul 2020,Serbia,1
16 jul 2020,Argentina,6
16 jul 2020,United States,1
17 jul 2020,Argentina,5
17 jul 2020,South Korea,1
18 jul 2020,Argentina,5
19 jul 2020,Argentina,1
20 jul 2020,Argentina,2
21 jul 2020,Argentina,10
22 jul 2020,Argentina,6
23 jul 2020,Argentina,2
24 jul 2020,South Korea,1
24 jul 2020,Argentina,11
25 jul 2020,Argentina,21
26 jul 2020,Argentina,4
27 jul 2020,Argentina,12
28 jul 2020,Argentina,6
28 jul 2020,United States,1
29 jul 2020,Brazil,1
29 jul 2020,Argentina,6
30 jul 2020,Argentina,10
30 jul 2020,Mexico,2
31 jul 2020,South Korea,1
31 jul 2020,Argentina,7
1 ago 2020,United States,4
1 ago 2020,Argentina,13
2 ago 2020,United States,1
2 ago 2020,Australia,1
3 ago 2020,Argentina,7
4 ago 2020,Argentina,14
5 ago 2020,Argentina,22
6 ago 2020,Argentina,25
6 ago 2020,Peru,2
7 ago 2020,Argentina,13
7 ago 2020,South Korea,1
8 ago 2020,Argentina,8
9 ago 2020,Argentina,21
9 ago 2020,United States,2
10 ago 2020,United States,2
10 ago 2020,Argentina,36
11 ago 2020,Greece,1
11 ago 2020,Peru,3
11 ago 2020,United States,2
11 ago 2020,(not set),3
11 ago 2020,Argentina,31
12 ago 2020,Argentina,21
13 ago 2020,Argentina,21
14 ago 2020,Argentina,15
14 ago 2020,South Korea,1
15 ago 2020,Argentina,10
16 ago 2020,Argentina,3
17 ago 2020,Argentina,4
18 ago 2020,Mexico,4
18 ago 2020,Argentina,9
19 ago 2020,United States,1
19 ago 2020,Argentina,4
20 ago 2020,Argentina,9
20 ago 2020,Mexico,2
21 ago 2020,Argentina,14
21 ago 2020,South Korea,1
22 ago 2020,Argentina,7
23 ago 2020,Argentina,9
24 ago 2020,Argentina,14
25 ago 2020,Argentina,38
25 ago 2020,Kuwait,1
25 ago 2020,Spain,2
26 ago 2020,Argentina,60
26 ago 2020,United States,1
27 ago 2020,Argentina,7
28 ago 2020,Argentina,14
28 ago 2020,South Korea,1
29 ago 2020,Argentina,11
30 ago 2020,Argentina,6
31 ago 2020,Argentina,3
1 sept 2020,Argentina,29
2 sept 2020,Argentina,11
2 sept 2020,United States,2
2 sept 2020,El Salvador,4
2 sept 2020,Spain,1
3 sept 2020,Ecuador,1
3 sept 2020,Argentina,10
3 sept 2020,Bulgaria,1
4 sept 2020,Argentina,27
5 sept 2020,Argentina,17
5 sept 2020,United States,1
6 sept 2020,Brazil,1
6 sept 2020,Argentina,7
7 sept 2020,Argentina,24
8 sept 2020,Mexico,2
8 sept 2020,Argentina,19
9 sept 2020,Argentina,6
9 sept 2020,Mexico,2
10 sept 2020,Argentina,16
10 sept 2020,United States,1
10 sept 2020,Canada,2
11 sept 2020,Argentina,25
12 sept 2020,Argentina,11
13 sept 2020,Argentina,20
13 sept 2020,United States,1
14 sept 2020,Argentina,14
14 sept 2020,United States,2
15 sept 2020,Argentina,9
16 sept 2020,Argentina,26
16 sept 2020,Brazil,1
17 sept 2020,Argentina,20
18 sept 2020,Argentina,12
19 sept 2020,Argentina,11
19 sept 2020,Brazil,1
20 sept 2020,Argentina,18
21 sept 2020,Argentina,7
22 sept 2020,Argentina,7
22 sept 2020,United Kingdom,1
23 sept 2020,Argentina,14
24 sept 2020,Argentina,8
25 sept 2020,Argentina,14
25 sept 2020,Costa Rica,1
25 sept 2020,El Salvador,1
26 sept 2020,United States,2
26 sept 2020,Argentina,14
27 sept 2020,United States,1
27 sept 2020,Argentina,2
28 sept 2020,Brazil,10
28 sept 2020,Argentina,17
29 sept 2020,Argentina,10
30 sept 2020,United States,2
30 sept 2020,Argentina,22
30 sept 2020,Germany,3
30 sept 2020,Mexico,1
1 oct 2020,Argentina,15
2 oct 2020,Argentina,8
3 oct 2020,United States,2
3 oct 2020,Argentina,5
4 oct 2020,Argentina,15
4 oct 2020,United States,10
5 oct 2020,Peru,4
5 oct 2020,Germany,2
5 oct 2020,United States,2
5 oct 2020,Argentina,62
6 oct 2020,Mexico,1
6 oct 2020,Argentina,38
7 oct 2020,Argentina,13
8 oct 2020,Argentina,17
9 oct 2020,Argentina,18
9 oct 2020,United States,1
10 oct 2020,Argentina,4
11 oct 2020,Argentina,1
12 oct 2020,Dominican Republic,1
12 oct 2020,Argentina,13
13 oct 2020,Argentina,40
14 oct 2020,Argentina,16
15 oct 2020,Germany,9
15 oct 2020,Argentina,265
16 oct 2020,Colombia,2
16 oct 2020,Germany,9
16 oct 2020,Argentina,14
17 oct 2020,Brazil,1
17 oct 2020,Argentina,24
18 oct 2020,Argentina,5
19 oct 2020,United States,1
19 oct 2020,Argentina,14
20 oct 2020,Argentina,4
20 oct 2020,Spain,1
21 oct 2020,United States,2
21 oct 2020,Argentina,28
21 oct 2020,Mexico,1
21 oct 2020,Italy,1
22 oct 2020,Colombia,2
22 oct 2020,Argentina,20
23 oct 2020,Argentina,11
24 oct 2020,Argentina,6
24 oct 2020,United States,1
25 oct 2020,United States,1
25 oct 2020,Argentina,3
26 oct 2020,Argentina,15
27 oct 2020,Argentina,55
28 oct 2020,Argentina,60
29 oct 2020,Argentina,50
30 oct 2020,Argentina,9
30 oct 2020,Peru,1
31 oct 2020,Argentina,15
1 nov 2020,Argentina,6
2 nov 2020,Argentina,33
2 nov 2020,United States,1
3 nov 2020,Argentina,39
3 nov 2020,United States,1
4 nov 2020,Colombia,1
4 nov 2020,United States,1
4 nov 2020,Argentina,22
5 nov 2020,Spain,2
5 nov 2020,Argentina,47
5 nov 2020,Brazil,2
6 nov 2020,United States,1
6 nov 2020,Argentina,19
7 nov 2020,Argentina,16
8 nov 2020,Argentina,8
9 nov 2020,Argentina,33
9 nov 2020,Spain,1
10 nov 2020,Argentina,27
11 nov 2020,United States,1
11 nov 2020,Argentina,35
12 nov 2020,Argentina,56
12 nov 2020,Brazil,12
12 nov 2020,United States,1
12 nov 2020,Colombia,2
13 nov 2020,Argentina,11
14 nov 2020,United States,2
14 nov 2020,Argentina,7
15 nov 2020,Argentina,1
16 nov 2020,Brazil,1
16 nov 2020,Argentina,239
16 nov 2020,United States,7
17 nov 2020,United States,4
17 nov 2020,Canada,1
17 nov 2020,Mexico,1
17 nov 2020,Argentina,33
18 nov 2020,Argentina,34
19 nov 2020,Argentina,36
19 nov 2020,United States,1
20 nov 2020,Argentina,51
20 nov 2020,United States,2
21 nov 2020,Argentina,34
22 nov 2020,Peru,1
22 nov 2020,Argentina,10
23 nov 2020,Argentina,3
24 nov 2020,United States,1
24 nov 2020,Argentina,101
25 nov 2020,Argentina,20
25 nov 2020,United States,2
26 nov 2020,United States,1
26 nov 2020,Argentina,6
27 nov 2020,Brazil,1
27 nov 2020,Argentina,3
27 nov 2020,Paraguay,2
28 nov 2020,Argentina,4
29 nov 2020,Argentina,8
30 nov 2020,Argentina,19
1 dic 2020,Argentina,4
2 dic 2020,Brazil,1
2 dic 2020,Argentina,6
3 dic 2020,Argentina,14
4 dic 2020,Argentina,12
5 dic 2020,Argentina,2
6 dic 2020,Argentina,2
6 dic 2020,Paraguay,6
7 dic 2020,Mexico,1
7 dic 2020,Argentina,10
7 dic 2020,United States,2
8 dic 2020,Mexico,1
8 dic 2020,Argentina,8
8 dic 2020,United States,5
9 dic 2020,United States,1
9 dic 2020,Argentina,19
10 dic 2020,Argentina,11
11 dic 2020,Argentina,4
12 dic 2020,Malta,3
12 dic 2020,Argentina,10
13 dic 2020,Argentina,4
14 dic 2020,Argentina,14
14 dic 2020,Germany,1
15 dic 2020,Argentina,31
15 dic 2020,United States,1
15 dic 2020,Peru,1
15 dic 2020,Colombia,1
16 dic 2020,Argentina,7
17 dic 2020,Argentina,6
18 dic 2020,United States,1
18 dic 2020,Argentina,2
19 dic 2020,Argentina,19
20 dic 2020,Argentina,13
21 dic 2020,Argentina,3
21 dic 2020,Colombia,1
21 dic 2020,Peru,2
22 dic 2020,Argentina,8
23 dic 2020,Bolivia,1
23 dic 2020,Argentina,10
23 dic 2020,United States,2
25 dic 2020,Argentina,1
26 dic 2020,Peru,2
26 dic 2020,Argentina,7
27 dic 2020,Argentina,5
28 dic 2020,Argentina,1
29 dic 2020,Mexico,3
29 dic 2020,Argentina,3
29 dic 2020,Colombia,1
30 dic 2020,Argentina,1
31 dic 2020,Argentina,8
1 ene 2021,Argentina,2
2 ene 2021,Argentina,6
3 ene 2021,Argentina,11
4 ene 2021,Argentina,16
4 ene 2021,United States,1
4 ene 2021,Mexico,1
4 ene 2021,Ukraine,1
5 ene 2021,Argentina,1
7 ene 2021,Argentina,5
8 ene 2021,Argentina,4
8 ene 2021,Mexico,1
8 ene 2021,Romania,3
9 ene 2021,Argentina,7
10 ene 2021,Canada,1
10 ene 2021,Mexico,2
10 ene 2021,Argentina,4
11 ene 2021,Dominican Republic,1
11 ene 2021,Argentina,2
12 ene 2021,Argentina,6
13 ene 2021,Argentina,4
13 ene 2021,United States,1
14 ene 2021,Argentina,5
15 ene 2021,Argentina,4
16 ene 2021,Bolivia,2
16 ene 2021,Argentina,4
17 ene 2021,United States,5
