Fecha,País,Número de vistas de página
14 nov 2018,Brazil,3
14 nov 2018,Argentina,43
15 nov 2018,Argentina,23
15 nov 2018,Colombia,1
16 nov 2018,South Korea,1
16 nov 2018,Mexico,1
16 nov 2018,Argentina,38
17 nov 2018,Brazil,3
17 nov 2018,Argentina,24
18 nov 2018,Argentina,23
18 nov 2018,United States,1
19 nov 2018,Argentina,20
20 nov 2018,United Kingdom,13
20 nov 2018,Argentina,55
20 nov 2018,Brazil,2
20 nov 2018,South Korea,1
20 nov 2018,Spain,1
21 nov 2018,Argentina,68
22 nov 2018,Argentina,40
22 nov 2018,United States,1
23 nov 2018,Argentina,51
23 nov 2018,South Korea,1
23 nov 2018,Peru,1
24 nov 2018,Brazil,4
24 nov 2018,Argentina,29
25 nov 2018,Argentina,10
25 nov 2018,United States,2
26 nov 2018,Argentina,31
26 nov 2018,Brazil,2
27 nov 2018,South Korea,1
27 nov 2018,Argentina,52
28 nov 2018,Brazil,1
28 nov 2018,Argentina,23
29 nov 2018,Argentina,29
30 nov 2018,South Korea,1
30 nov 2018,Argentina,27
1 dic 2018,Colombia,1
1 dic 2018,Argentina,12
2 dic 2018,Argentina,15
3 dic 2018,Brazil,1
3 dic 2018,Argentina,56
4 dic 2018,Brazil,1
4 dic 2018,Argentina,25
4 dic 2018,South Korea,1
5 dic 2018,Argentina,18
5 dic 2018,Brazil,1
6 dic 2018,Argentina,11
7 dic 2018,United States,2
7 dic 2018,Argentina,26
7 dic 2018,South Korea,1
8 dic 2018,Argentina,23
9 dic 2018,United States,1
9 dic 2018,Argentina,18
10 dic 2018,Nigeria,1
10 dic 2018,Argentina,47
11 dic 2018,Mexico,1
11 dic 2018,Argentina,128
11 dic 2018,South Korea,1
11 dic 2018,Brazil,15
12 dic 2018,Argentina,21
13 dic 2018,Mexico,1
13 dic 2018,Argentina,15
14 dic 2018,Argentina,39
14 dic 2018,South Korea,1
14 dic 2018,Spain,1
15 dic 2018,Argentina,17
15 dic 2018,Uruguay,1
16 dic 2018,Argentina,4
16 dic 2018,Peru,1
17 dic 2018,Argentina,31
17 dic 2018,United States,2
18 dic 2018,Argentina,9
18 dic 2018,South Korea,1
18 dic 2018,Spain,4
18 dic 2018,Greece,1
19 dic 2018,Argentina,16
19 dic 2018,United States,1
20 dic 2018,United States,1
20 dic 2018,Argentina,5
21 dic 2018,United States,1
