Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
6 jul 2021,27,13,17,1.0588235294117647,18
7 jul 2021,81,37,46,1.1304347826086956,52
8 jul 2021,38,17,23,1.0434782608695652,24
9 jul 2021,15,10,11,1.0909090909090908,12
10 jul 2021,22,7,11,1,11
11 jul 2021,6,2,5,1,5
12 jul 2021,19,12,13,1,13
13 jul 2021,19,6,9,1.1111111111111112,10
14 jul 2021,25,9,14,1,14
15 jul 2021,10,7,8,1.125,9
16 jul 2021,20,6,8,1,8
17 jul 2021,10,4,6,1,6
18 jul 2021,4,2,4,1,4
19 jul 2021,18,5,6,1.3333333333333333,8
20 jul 2021,7,5,7,1,7
21 jul 2021,11,4,6,1,6
22 jul 2021,2,1,2,1,2
23 jul 2021,2,1,2,1,2
24 jul 2021,4,3,4,1,4
25 jul 2021,11,5,7,1.1428571428571428,8
26 jul 2021,17,13,17,1,17
27 jul 2021,32,5,7,1.1428571428571428,8
28 jul 2021,18,5,8,1.375,11
29 jul 2021,36,26,27,1.0740740740740742,29
30 jul 2021,11,3,7,1.1428571428571428,8
31 jul 2021,16,7,7,1.2857142857142858,9
1 ago 2021,3,2,2,1.5,3
2 ago 2021,21,4,5,2.4,12
3 ago 2021,8,5,6,1,6
4 ago 2021,35,15,21,1,21
5 ago 2021,67,22,27,1.037037037037037,28
6 ago 2021,168,20,24,1.0416666666666667,25
7 ago 2021,5,4,5,1,5
8 ago 2021,18,4,7,1.1428571428571428,8
9 ago 2021,44,16,22,1.1363636363636365,25
10 ago 2021,212,14,17,1.0588235294117647,18
11 ago 2021,46,13,23,1.1304347826086956,26
12 ago 2021,41,20,23,1.0869565217391304,25
13 ago 2021,67,26,30,1.0333333333333334,31
14 ago 2021,8,2,4,1,4
15 ago 2021,4,3,3,1,3
16 ago 2021,35,5,7,1.1428571428571428,8
17 ago 2021,22,10,14,1.1428571428571428,16
18 ago 2021,76,37,44,1.0909090909090908,48
19 ago 2021,25,10,12,1.0833333333333333,13
20 ago 2021,23,8,11,1.0909090909090908,12
21 ago 2021,43,21,23,1.2173913043478262,28
22 ago 2021,25,2,6,1.6666666666666667,10
23 ago 2021,17,10,15,1,15
24 ago 2021,44,12,20,1.15,23
25 ago 2021,92,30,41,1.146341463414634,47
26 ago 2021,147,59,65,1.123076923076923,73
27 ago 2021,20,8,11,1.0909090909090908,12
28 ago 2021,10,4,7,1.1428571428571428,8
29 ago 2021,5,4,4,1,4
30 ago 2021,26,14,18,1.1111111111111112,20
31 ago 2021,63,32,39,1.0512820512820513,41
1 sept 2021,69,34,48,1.0833333333333333,52
2 sept 2021,108,35,47,1.148936170212766,54
3 sept 2021,26,15,17,1,17
4 sept 2021,21,9,11,1,11
5 sept 2021,2,1,2,1,2
6 sept 2021,34,13,16,1,16
7 sept 2021,17,12,15,1,15
8 sept 2021,74,38,52,1.0961538461538463,57
9 sept 2021,83,19,25,1.08,27
10 sept 2021,52,16,25,1.04,26
11 sept 2021,15,8,9,1.2222222222222223,11
12 sept 2021,13,5,6,1.1666666666666667,7
13 sept 2021,17,11,14,1,14
14 sept 2021,126,47,52,1.0576923076923077,55
15 sept 2021,109,21,34,1.088235294117647,37
16 sept 2021,39,21,25,1.08,27
17 sept 2021,34,12,19,1.2105263157894737,23
18 sept 2021,8,5,7,1,7
19 sept 2021,19,13,15,1.0666666666666667,16
20 sept 2021,49,23,28,1.1428571428571428,32
21 sept 2021,23,16,18,1.0555555555555556,19
