Fecha,Agrupación de canales predeterminada,Número de vistas de página
2 nov 2018,Social,3
3 nov 2018,Organic Search,25
3 nov 2018,Direct,46
3 nov 2018,Social,7
4 nov 2018,Organic Search,11
4 nov 2018,Social,1
4 nov 2018,Direct,5
5 nov 2018,Direct,31
5 nov 2018,Social,56
5 nov 2018,Organic Search,23
5 nov 2018,Referral,2
6 nov 2018,Organic Search,54
6 nov 2018,Social,5
6 nov 2018,Direct,33
7 nov 2018,Direct,12
7 nov 2018,Organic Search,20
7 nov 2018,Social,2
8 nov 2018,Organic Search,8
8 nov 2018,Direct,10
9 nov 2018,Direct,3
9 nov 2018,Organic Search,18
9 nov 2018,Social,3
10 nov 2018,Direct,5
10 nov 2018,Organic Search,20
11 nov 2018,Direct,5
11 nov 2018,Organic Search,3
11 nov 2018,Social,1
12 nov 2018,Direct,9
12 nov 2018,Social,5
12 nov 2018,Organic Search,16
13 nov 2018,Direct,35
13 nov 2018,Organic Search,48
13 nov 2018,Social,11
14 nov 2018,Social,18
14 nov 2018,Organic Search,7
14 nov 2018,Direct,23
15 nov 2018,Organic Search,12
15 nov 2018,Direct,11
15 nov 2018,Social,1
16 nov 2018,Organic Search,12
16 nov 2018,Social,15
16 nov 2018,Direct,13
17 nov 2018,Organic Search,11
17 nov 2018,Social,10
17 nov 2018,Direct,6
18 nov 2018,Referral,1
18 nov 2018,Social,2
18 nov 2018,Direct,5
18 nov 2018,Organic Search,16
19 nov 2018,Social,2
19 nov 2018,Direct,4
19 nov 2018,Organic Search,14
20 nov 2018,Direct,32
20 nov 2018,Referral,2
20 nov 2018,Social,5
20 nov 2018,Organic Search,33
21 nov 2018,Organic Search,7
21 nov 2018,Direct,34
21 nov 2018,Social,27
22 nov 2018,Organic Search,16
22 nov 2018,Social,5
22 nov 2018,Direct,20
23 nov 2018,Social,15
23 nov 2018,Direct,22
23 nov 2018,Organic Search,16
24 nov 2018,Social,7
24 nov 2018,Organic Search,15
24 nov 2018,Direct,10
24 nov 2018,Referral,1
25 nov 2018,Referral,1
25 nov 2018,Direct,2
25 nov 2018,Organic Search,5
25 nov 2018,Social,4
26 nov 2018,Referral,3
26 nov 2018,Social,5
26 nov 2018,Direct,13
26 nov 2018,Organic Search,12
27 nov 2018,Referral,3
27 nov 2018,Organic Search,37
27 nov 2018,Direct,13
28 nov 2018,Social,1
28 nov 2018,Organic Search,6
28 nov 2018,Direct,15
28 nov 2018,Referral,2
29 nov 2018,Organic Search,20
29 nov 2018,Direct,9
30 nov 2018,Organic Search,17
30 nov 2018,Direct,11
1 dic 2018,Social,1
1 dic 2018,Organic Search,6
1 dic 2018,Direct,6
2 dic 2018,Organic Search,7
2 dic 2018,Direct,8
3 dic 2018,Referral,1
3 dic 2018,Social,8
3 dic 2018,Organic Search,24
3 dic 2018,Direct,24
4 dic 2018,Referral,2
4 dic 2018,Social,4
4 dic 2018,Organic Search,14
4 dic 2018,Direct,7
5 dic 2018,Organic Search,2
5 dic 2018,Direct,17
6 dic 2018,Organic Search,8
6 dic 2018,Direct,3
7 dic 2018,Social,4
7 dic 2018,Organic Search,18
7 dic 2018,Direct,7
8 dic 2018,Organic Search,14
8 dic 2018,Direct,9
9 dic 2018,Organic Search,12
9 dic 2018,Direct,4
9 dic 2018,Social,3
10 dic 2018,Direct,6
10 dic 2018,Organic Search,10
10 dic 2018,Social,32
11 dic 2018,Social,126
11 dic 2018,Organic Search,11
11 dic 2018,Direct,8
12 dic 2018,Organic Search,11
12 dic 2018,Social,3
12 dic 2018,Direct,7
13 dic 2018,Organic Search,10
13 dic 2018,Direct,6
14 dic 2018,Direct,11
14 dic 2018,Referral,3
14 dic 2018,Social,2
14 dic 2018,Organic Search,25
15 dic 2018,Direct,4
15 dic 2018,Social,2
15 dic 2018,Organic Search,12
16 dic 2018,Direct,4
16 dic 2018,Social,1
17 dic 2018,Direct,13
17 dic 2018,Organic Search,13
17 dic 2018,Social,7
18 dic 2018,Social,2
18 dic 2018,Direct,12
18 dic 2018,Organic Search,1
19 dic 2018,Direct,11
19 dic 2018,Organic Search,3
19 dic 2018,Social,3
20 dic 2018,Organic Search,3
20 dic 2018,Direct,2
20 dic 2018,Social,1
21 dic 2018,Organic Search,18
21 dic 2018,Direct,7
22 dic 2018,Social,2
22 dic 2018,Direct,37
22 dic 2018,Organic Search,9
23 dic 2018,Organic Search,1
