Fecha,Sistema operativo,Número de vistas de página
22 oct 2018,Windows,13
22 oct 2018,Android,11
22 oct 2018,(not set),1
23 oct 2018,(not set),2
23 oct 2018,Windows,30
23 oct 2018,Android,71
23 oct 2018,iOS,6
23 oct 2018,Linux,3
24 oct 2018,Windows,15
24 oct 2018,Android,25
25 oct 2018,Windows Phone,1
25 oct 2018,Windows,23
25 oct 2018,Android,13
25 oct 2018,Linux,1
25 oct 2018,iOS,4
26 oct 2018,Linux,1
26 oct 2018,iOS,1
26 oct 2018,Windows,43
26 oct 2018,Macintosh,1
26 oct 2018,Android,27
27 oct 2018,Windows,14
27 oct 2018,Android,23
28 oct 2018,Android,19
28 oct 2018,Windows,7
29 oct 2018,Linux,3
29 oct 2018,Windows,10
29 oct 2018,Android,5
29 oct 2018,iOS,7
30 oct 2018,Linux,1
30 oct 2018,(not set),1
30 oct 2018,Macintosh,1
30 oct 2018,Android,70
30 oct 2018,Windows,43
31 oct 2018,Windows,5
31 oct 2018,Linux,10
31 oct 2018,Android,8
1 nov 2018,Windows,50
1 nov 2018,Macintosh,1
1 nov 2018,iOS,1
1 nov 2018,Android,19
2 nov 2018,Android,15
2 nov 2018,iOS,1
2 nov 2018,Windows,38
2 nov 2018,Tizen,1
3 nov 2018,iOS,12
3 nov 2018,Linux,1
3 nov 2018,Windows,15
3 nov 2018,Android,50
4 nov 2018,Windows,8
4 nov 2018,iOS,2
4 nov 2018,Android,7
5 nov 2018,iOS,2
5 nov 2018,Android,15
5 nov 2018,(not set),1
5 nov 2018,Windows,88
5 nov 2018,Linux,6
6 nov 2018,Windows,36
6 nov 2018,Android,52
6 nov 2018,Linux,4
7 nov 2018,Windows,20
7 nov 2018,iOS,1
7 nov 2018,Android,13
8 nov 2018,Android,4
8 nov 2018,Linux,1
8 nov 2018,Windows,12
8 nov 2018,Macintosh,1
9 nov 2018,Windows,15
9 nov 2018,iOS,1
9 nov 2018,Android,8
10 nov 2018,Android,20
10 nov 2018,Windows,5
11 nov 2018,Android,3
11 nov 2018,Windows,5
11 nov 2018,Linux,1
12 nov 2018,Windows,20
12 nov 2018,Android,10
13 nov 2018,Windows,37
13 nov 2018,Linux,3
13 nov 2018,Macintosh,10
13 nov 2018,iOS,2
13 nov 2018,Android,41
13 nov 2018,(not set),1
14 nov 2018,Linux,3
14 nov 2018,Android,20
14 nov 2018,Windows,25
15 nov 2018,Android,8
15 nov 2018,Macintosh,1
15 nov 2018,Linux,2
15 nov 2018,Windows,13
16 nov 2018,iOS,6
16 nov 2018,Android,8
16 nov 2018,Windows,22
16 nov 2018,Macintosh,4
17 nov 2018,Android,24
17 nov 2018,iOS,1
17 nov 2018,Windows,2
18 nov 2018,Android,13
18 nov 2018,Linux,4
18 nov 2018,Windows,7
19 nov 2018,iOS,2
19 nov 2018,Android,9
19 nov 2018,Windows,9
20 nov 2018,(not set),1
20 nov 2018,Windows,17
20 nov 2018,Macintosh,14
20 nov 2018,Android,40
21 nov 2018,Windows,45
21 nov 2018,Macintosh,1
21 nov 2018,Android,22
22 nov 2018,Android,13
22 nov 2018,Windows,17
22 nov 2018,Macintosh,1
22 nov 2018,iOS,7
22 nov 2018,Linux,3
23 nov 2018,iOS,2
23 nov 2018,Linux,2
23 nov 2018,Android,20
23 nov 2018,Windows,29
24 nov 2018,Android,25
24 nov 2018,Macintosh,4
24 nov 2018,Windows,4
25 nov 2018,Android,2
25 nov 2018,Linux,1
25 nov 2018,Windows,9
26 nov 2018,Macintosh,2
26 nov 2018,Windows,16
26 nov 2018,Android,15
27 nov 2018,Macintosh,2
27 nov 2018,Windows,21
27 nov 2018,Android,28
27 nov 2018,Linux,1
27 nov 2018,(not set),1
28 nov 2018,Windows,18
28 nov 2018,Android,6
29 nov 2018,Linux,3
29 nov 2018,Windows,8
29 nov 2018,Android,15
29 nov 2018,Macintosh,3
30 nov 2018,iOS,1
30 nov 2018,Windows,10
30 nov 2018,Android,17
1 dic 2018,Windows,3
1 dic 2018,Android,9
1 dic 2018,Macintosh,1
2 dic 2018,Windows,5
2 dic 2018,Android,10
3 dic 2018,iOS,4
3 dic 2018,Android,33
3 dic 2018,Windows,20
4 dic 2018,Macintosh,1
4 dic 2018,Windows,18
4 dic 2018,Android,8
5 dic 2018,Windows,17
5 dic 2018,Android,2
6 dic 2018,Windows,11
7 dic 2018,iOS,2
7 dic 2018,Android,15
7 dic 2018,Windows,11
7 dic 2018,Macintosh,1
8 dic 2018,iOS,2
8 dic 2018,Windows,10
8 dic 2018,Android,11
9 dic 2018,iOS,2
9 dic 2018,Android,13
9 dic 2018,Windows,4
10 dic 2018,Android,7
10 dic 2018,Windows,38
10 dic 2018,Macintosh,1
10 dic 2018,Windows Phone,1
10 dic 2018,Linux,1
11 dic 2018,Macintosh,16
11 dic 2018,Windows,124
11 dic 2018,Android,5
12 dic 2018,Windows,15
12 dic 2018,Android,6
13 dic 2018,Windows,14
13 dic 2018,Android,2
14 dic 2018,Windows,25
14 dic 2018,iOS,1
14 dic 2018,Android,11
14 dic 2018,Linux,4
15 dic 2018,Windows,4
15 dic 2018,Android,14
16 dic 2018,Windows,2
16 dic 2018,iOS,1
16 dic 2018,Android,2
17 dic 2018,Windows,21
17 dic 2018,Macintosh,3
17 dic 2018,Android,9
18 dic 2018,Windows,13
18 dic 2018,Android,1
18 dic 2018,Macintosh,1
19 dic 2018,(not set),1
19 dic 2018,Macintosh,1
19 dic 2018,Windows,15
20 dic 2018,(not set),1
20 dic 2018,Macintosh,1
20 dic 2018,Android,4
21 dic 2018,Windows,19
21 dic 2018,Android,6
22 dic 2018,Windows,6
22 dic 2018,Android,42
23 dic 2018,Windows,1
23 dic 2018,Android,2
24 dic 2018,Android,8
24 dic 2018,Windows,1
25 dic 2018,Windows,3
26 dic 2018,Android,1
26 dic 2018,iOS,2
26 dic 2018,Windows,15
27 dic 2018,iOS,4
27 dic 2018,Macintosh,11
27 dic 2018,Windows,5
27 dic 2018,Android,5
28 dic 2018,iOS,1
28 dic 2018,Android,2
28 dic 2018,BlackBerry,1
28 dic 2018,Windows,78
29 dic 2018,Windows,47
29 dic 2018,Android,10
30 dic 2018,Android,2
30 dic 2018,Windows,1
31 dic 2018,Windows,18
1 ene 2019,Windows,2
2 ene 2019,Windows,18
2 ene 2019,Android,3
3 ene 2019,Android,2
3 ene 2019,Windows,54
4 ene 2019,Windows,5
4 ene 2019,iOS,1
5 ene 2019,Macintosh,2
5 ene 2019,Linux,1
5 ene 2019,Android,1
5 ene 2019,Windows,3
6 ene 2019,Android,5
6 ene 2019,Windows,7
7 ene 2019,Linux,1
7 ene 2019,Windows,9
8 ene 2019,Windows,18
8 ene 2019,Android,1
9 ene 2019,Windows,7
9 ene 2019,Android,2
10 ene 2019,Windows,1
11 ene 2019,Android,3
11 ene 2019,Windows,6
11 ene 2019,iOS,1
12 ene 2019,Windows,11
13 ene 2019,Android,2
13 ene 2019,Windows,7
13 ene 2019,Macintosh,1
14 ene 2019,Windows,27
14 ene 2019,Android,4
15 ene 2019,Windows,49
15 ene 2019,Android,3
16 ene 2019,Windows,16
16 ene 2019,Android,1
16 ene 2019,iOS,1
17 ene 2019,Android,2
17 ene 2019,Windows,49
18 ene 2019,Windows,29
18 ene 2019,Android,3
18 ene 2019,iOS,1
19 ene 2019,Windows,1
19 ene 2019,Android,12
20 ene 2019,Windows,8
20 ene 2019,Android,3
21 ene 2019,Android,2
21 ene 2019,Macintosh,5
21 ene 2019,Windows,8
22 ene 2019,Windows,47
22 ene 2019,Android,6
23 ene 2019,Android,11
23 ene 2019,Windows,10
23 ene 2019,iOS,5
24 ene 2019,Windows,26
24 ene 2019,Android,5
24 ene 2019,Linux,2
24 ene 2019,Macintosh,5
25 ene 2019,Windows,5
25 ene 2019,Android,11
25 ene 2019,iOS,1
25 ene 2019,Macintosh,1
26 ene 2019,Windows,6
26 ene 2019,Android,5
27 ene 2019,Android,4
28 ene 2019,Android,18
28 ene 2019,Windows,8
29 ene 2019,Windows,16
29 ene 2019,Android,7
30 ene 2019,Windows,5
30 ene 2019,Android,9
31 ene 2019,Linux,1
31 ene 2019,Windows,1
31 ene 2019,Android,5
1 feb 2019,iOS,1
1 feb 2019,Android,14
1 feb 2019,Windows,9
2 feb 2019,Android,11
2 feb 2019,Windows,1
3 feb 2019,Windows,1
3 feb 2019,Android,2
4 feb 2019,Windows,29
4 feb 2019,Linux,1
4 feb 2019,iOS,1
4 feb 2019,Android,13
5 feb 2019,Android,8
5 feb 2019,Linux,1
5 feb 2019,Windows,3
6 feb 2019,Android,5
6 feb 2019,Windows,16
7 feb 2019,Android,2
7 feb 2019,Windows,115
8 feb 2019,Windows,10
8 feb 2019,Android,3
8 feb 2019,iOS,5
9 feb 2019,Android,8
9 feb 2019,Windows,9
10 feb 2019,Windows,7
10 feb 2019,Android,4
10 feb 2019,Macintosh,1
11 feb 2019,Android,4
11 feb 2019,Linux,1
11 feb 2019,Windows,16
12 feb 2019,Android,5
12 feb 2019,Windows,15
12 feb 2019,Linux,1
12 feb 2019,Macintosh,2
13 feb 2019,Windows,7
13 feb 2019,Android,4
13 feb 2019,Macintosh,1
14 feb 2019,Windows,4
14 feb 2019,iOS,1
14 feb 2019,Linux,6
14 feb 2019,Android,5
15 feb 2019,Linux,1
15 feb 2019,Windows,8
15 feb 2019,Android,12
16 feb 2019,Android,7
16 feb 2019,Windows,6
16 feb 2019,Linux,1
17 feb 2019,Windows,6
17 feb 2019,Android,6
18 feb 2019,Android,11
18 feb 2019,Windows,14
18 feb 2019,Linux,6
19 feb 2019,Windows,10
19 feb 2019,iOS,2
19 feb 2019,Android,2
20 feb 2019,Windows,13
20 feb 2019,Android,7
21 feb 2019,iOS,1
21 feb 2019,Android,3
21 feb 2019,Windows,16
22 feb 2019,Windows,5
22 feb 2019,Android,9
22 feb 2019,Macintosh,2
23 feb 2019,Windows,6
23 feb 2019,Android,8
24 feb 2019,Linux,1
24 feb 2019,Windows,2
24 feb 2019,Android,1
25 feb 2019,Android,6
25 feb 2019,Windows,13
25 feb 2019,Macintosh,2
25 feb 2019,Linux,3
26 feb 2019,Android,6
26 feb 2019,Windows,12
26 feb 2019,iOS,1
27 feb 2019,iOS,2
27 feb 2019,Windows,4
27 feb 2019,Android,1
27 feb 2019,Linux,1
28 feb 2019,Linux,6
28 feb 2019,Macintosh,7
28 feb 2019,Windows,7
28 feb 2019,Android,3
28 feb 2019,iOS,1
1 mar 2019,Android,1
1 mar 2019,Windows,5
2 mar 2019,Android,22
2 mar 2019,Windows,3
3 mar 2019,Android,4
3 mar 2019,Windows,1
4 mar 2019,Windows,5
4 mar 2019,Android,8
5 mar 2019,Windows,4
5 mar 2019,Linux,1
5 mar 2019,Android,6
6 mar 2019,Android,5
6 mar 2019,Macintosh,1
6 mar 2019,Windows,19
7 mar 2019,Windows,11
7 mar 2019,Android,10
8 mar 2019,iOS,1
8 mar 2019,Windows,5
8 mar 2019,Android,2
8 mar 2019,Macintosh,2
9 mar 2019,iOS,1
9 mar 2019,Android,4
9 mar 2019,Macintosh,4
9 mar 2019,Windows,22
10 mar 2019,Windows,3
10 mar 2019,iOS,1
10 mar 2019,Android,2
11 mar 2019,Android,10
11 mar 2019,Linux,3
11 mar 2019,iOS,1
11 mar 2019,Windows,21
12 mar 2019,Windows,20
12 mar 2019,Android,8
13 mar 2019,Android,15
13 mar 2019,Windows,12
14 mar 2019,Android,6
14 mar 2019,Windows,12
14 mar 2019,Macintosh,2
15 mar 2019,iOS,1
15 mar 2019,Android,17
15 mar 2019,Windows,22
16 mar 2019,Macintosh,1
16 mar 2019,Windows,11
16 mar 2019,(not set),1
16 mar 2019,Android,7
17 mar 2019,Windows,1
17 mar 2019,Android,6
18 mar 2019,Windows,19
18 mar 2019,Android,8
18 mar 2019,iOS,1
19 mar 2019,Android,3
19 mar 2019,Windows,5
19 mar 2019,Macintosh,2
19 mar 2019,iOS,1
20 mar 2019,Android,21
20 mar 2019,Windows,21
20 mar 2019,Macintosh,5
21 mar 2019,Android,14
21 mar 2019,iOS,3
21 mar 2019,Windows,18
22 mar 2019,Windows,15
22 mar 2019,Android,9
22 mar 2019,iOS,1
23 mar 2019,(not set),8
23 mar 2019,iOS,1
23 mar 2019,Android,3
23 mar 2019,Windows,6
24 mar 2019,Windows,2
24 mar 2019,Android,6
24 mar 2019,iOS,16
25 mar 2019,Macintosh,1
25 mar 2019,iOS,3
25 mar 2019,(not set),3
25 mar 2019,Android,39
25 mar 2019,Windows,22
26 mar 2019,Windows,220
26 mar 2019,Android,17
26 mar 2019,iOS,5
26 mar 2019,Linux,3
27 mar 2019,Windows,31
27 mar 2019,Macintosh,7
27 mar 2019,Android,13
27 mar 2019,Linux,6
28 mar 2019,Linux,90
28 mar 2019,Android,12
28 mar 2019,Windows,14
28 mar 2019,(not set),1
28 mar 2019,iOS,2
29 mar 2019,Android,28
29 mar 2019,iOS,4
29 mar 2019,Windows,12
30 mar 2019,Android,2
30 mar 2019,Windows,4
30 mar 2019,Macintosh,1
31 mar 2019,Windows,13
31 mar 2019,Android,4
1 abr 2019,Windows,3
1 abr 2019,Android,6
1 abr 2019,Linux,2
1 abr 2019,iOS,2
2 abr 2019,iOS,1
2 abr 2019,Windows,5
2 abr 2019,Linux,3
2 abr 2019,Android,5
3 abr 2019,Android,12
3 abr 2019,iOS,2
3 abr 2019,Windows,11
3 abr 2019,Macintosh,2
4 abr 2019,Android,5
4 abr 2019,Windows,10
5 abr 2019,iOS,1
5 abr 2019,Windows,9
5 abr 2019,Android,3
6 abr 2019,Android,25
6 abr 2019,Windows,5
6 abr 2019,iOS,1
6 abr 2019,Macintosh,1
7 abr 2019,Macintosh,2
7 abr 2019,Android,17
7 abr 2019,Windows,19
7 abr 2019,iOS,1
8 abr 2019,Macintosh,2
8 abr 2019,Android,6
8 abr 2019,Windows,15
9 abr 2019,Linux,2
9 abr 2019,Windows,19
9 abr 2019,(not set),8
9 abr 2019,Android,4
10 abr 2019,Windows,18
10 abr 2019,Macintosh,5
10 abr 2019,Android,20
10 abr 2019,iOS,1
10 abr 2019,Linux,2
11 abr 2019,Linux,1
11 abr 2019,Windows,18
11 abr 2019,Android,8
12 abr 2019,Linux,5
12 abr 2019,Android,12
12 abr 2019,Windows,24
13 abr 2019,Windows,7
13 abr 2019,Android,14
13 abr 2019,iOS,2
14 abr 2019,iOS,1
14 abr 2019,Linux,1
14 abr 2019,(not set),1
14 abr 2019,Windows,5
14 abr 2019,Android,10
15 abr 2019,Windows,12
15 abr 2019,Android,10
15 abr 2019,iOS,4
15 abr 2019,Macintosh,1
15 abr 2019,Linux,1
16 abr 2019,Windows,37
16 abr 2019,Android,5
16 abr 2019,iOS,1
16 abr 2019,(not set),8
17 abr 2019,Android,1
17 abr 2019,Windows,7
17 abr 2019,Windows Phone,1
18 abr 2019,Windows,1
18 abr 2019,Android,1
19 abr 2019,iOS,3
19 abr 2019,Android,30
19 abr 2019,Windows,4
20 abr 2019,(not set),8
20 abr 2019,Windows,4
20 abr 2019,Android,3
21 abr 2019,Windows,10
21 abr 2019,Android,12
22 abr 2019,iOS,8
22 abr 2019,Windows,9
22 abr 2019,Android,11
23 abr 2019,Android,9
23 abr 2019,Linux,1
23 abr 2019,Windows,18
23 abr 2019,iOS,2
24 abr 2019,Windows,31
24 abr 2019,Android,28
24 abr 2019,iOS,3
25 abr 2019,iOS,1
25 abr 2019,Linux,1
25 abr 2019,Android,16
25 abr 2019,Windows,8
26 abr 2019,Windows,29
26 abr 2019,Android,10
26 abr 2019,iOS,1
27 abr 2019,iOS,1
27 abr 2019,Windows,20
27 abr 2019,Macintosh,1
28 abr 2019,Android,8
28 abr 2019,iOS,1
28 abr 2019,Windows,17
29 abr 2019,iOS,1
29 abr 2019,Android,4
29 abr 2019,Windows,17
30 abr 2019,Macintosh,1
30 abr 2019,Android,2
30 abr 2019,Windows,39
1 may 2019,Windows,2
1 may 2019,Android,15
2 may 2019,Linux,1
2 may 2019,Android,35
2 may 2019,Windows,24
3 may 2019,Android,10
3 may 2019,Windows,9
4 may 2019,Android,2
4 may 2019,iOS,1
4 may 2019,Windows,28
4 may 2019,Linux,1
5 may 2019,Android,4
5 may 2019,Windows,9
6 may 2019,Windows,26
6 may 2019,Android,4
6 may 2019,Macintosh,6
6 may 2019,Linux,1
7 may 2019,Android,11
7 may 2019,iOS,1
7 may 2019,Windows,35
8 may 2019,Android,68
8 may 2019,Windows,166
9 may 2019,Linux,16
9 may 2019,Android,50
9 may 2019,Windows,69
10 may 2019,Linux,3
10 may 2019,iOS,10
10 may 2019,Windows,135
10 may 2019,Android,26
11 may 2019,Android,11
11 may 2019,Windows,6
11 may 2019,iOS,4
12 may 2019,Windows,15
12 may 2019,(not set),8
12 may 2019,iOS,1
12 may 2019,Android,12
13 may 2019,Android,13
13 may 2019,Windows,35
13 may 2019,Linux,1
14 may 2019,iOS,2
14 may 2019,Macintosh,3
14 may 2019,Android,24
14 may 2019,(not set),8
14 may 2019,Windows,17
14 may 2019,Windows Phone,2
15 may 2019,Android,7
15 may 2019,Windows,11
16 may 2019,Macintosh,5
