,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Linux,iOS,Macintosh,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Socials,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
30,3 ene 2024,30,7,12,1.0,12,28,2,17,13,0,10.0,7.25718035235908,16,13,0,1,0,0,4.285714285714286,6.518419740885619,18,12,0,0,7.5,7.794228634059948
31,4 ene 2024,12,7,11,1.1,11,5,7,4,8,0,4.0,3.2659863237109037,4,7,1,0,0,0,1.7142857142857142,2.5475077857324298,7,5,0,0,3.0,3.0822070014844885
32,5 ene 2024,14,5,10,1.375,11,12,2,5,9,0,4.666666666666667,3.6817870057290873,5,9,0,0,0,0,2.0,3.3380918415851206,6,8,0,0,3.5,3.570714214271425
33,6 ene 2024,38,7,15,1.3076923076923077,17,37,1,31,7,0,12.666666666666664,13.27487183449325,31,6,0,0,1,0,5.428571428571429,10.634944325962712,18,12,3,5,9.5,5.937171043518957
34,7 ene 2024,20,6,8,1.1428571428571428,8,17,3,17,3,0,6.666666666666668,7.4087035902976215,17,1,1,0,1,0,2.8571428571428568,5.792324266489513,6,13,1,0,5.0,5.1478150704935
35,8 ene 2024,9,2,6,1.5,6,7,2,7,2,0,3.0,2.943920288775949,7,2,0,0,0,0,1.2857142857142858,2.4327694808466287,7,0,2,0,2.25,2.8613807855648994
36,9 ene 2024,10,6,9,1.0,9,4,6,4,6,0,3.333333333333333,2.494438257849294,3,6,0,1,0,0,1.4285714285714286,2.1285234893930487,7,3,0,0,2.5,2.8722813232690143
37,10 ene 2024,10,3,4,1.0,4,1,9,9,1,0,3.333333333333333,4.027681991198191,6,1,0,3,0,0,1.4285714285714286,2.1285234893930487,10,0,0,0,2.5,4.330127018922194
38,11 ene 2024,5,1,3,1.5,3,4,1,4,1,0,1.6666666666666667,1.699673171197595,4,1,0,0,0,0,0.7142857142857143,1.385051387833237,4,1,0,0,1.25,1.6393596310754999
39,12 ene 2024,5,2,5,1.25,5,4,1,2,3,0,1.6666666666666667,1.247219128924647,2,3,0,0,0,0,0.7142857142857143,1.1605769149479943,1,4,0,0,1.25,1.6393596310754999
