,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,smart tv,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,iOS,Macintosh,Linux,Tizen,Windows Phone,Playstation 4,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Social,Referral,Organic Video,Unassigned,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
21,5 jul 2022,23,8,11,1.2727272727272727,14,21,2,5,17,1,0,5.75,6.759252917297888,3,15,3,1,1,0,0,0,0,2.555555555555556,4.54877544232416,5.0,18.0,0.0,0.0,0.0,0.0,3.8333333333333335,6.593346814950829
22,6 jul 2022,12,9,11,1.0909090909090908,12,11,1,6,6,0,0,3.0,3.0,6,6,0,0,0,0,0,0,0,1.3333333333333333,2.494438257849294,5.0,6.0,1.0,0.0,0.0,0.0,2.0,2.516611478423583
23,7 jul 2022,107,65,70,1.2285714285714286,86,103,4,45,61,1,0,26.75,26.854934369683352,45,49,1,1,11,0,0,0,0,11.888888888888891,19.081372210407164,30.0,71.0,5.0,0.0,1.0,0.0,17.833333333333332,26.009079611209284
24,8 jul 2022,26,12,16,1.4375,23,25,1,9,17,0,0,6.5,7.088723439378913,6,16,3,0,1,0,0,0,0,2.888888888888889,5.020943790086667,20.0,6.0,0.0,0.0,0.0,0.0,4.333333333333333,7.340905181848414
25,9 jul 2022,5,4,5,1.0,5,3,2,2,3,0,0,1.25,1.299038105676658,2,3,0,0,0,0,0,0,0,0.5555555555555556,1.0657403385139381,2.0,3.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.21335164821342
26,10 jul 2022,6,2,2,1.0,2,6,0,6,0,0,0,1.5,2.598076211353316,6,0,0,0,0,0,0,0,0,0.6666666666666666,1.8856180831641265,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.23606797749979
27,11 jul 2022,1,0,1,1.0,1,1,0,1,0,0,0,0.25,0.4330127018922193,1,0,0,0,0,0,0,0,0,0.1111111111111111,0.3142696805273545,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649
28,12 jul 2022,17,9,9,1.0,9,6,11,5,12,0,0,4.25,4.9180788932265,5,3,0,3,6,0,0,0,0,1.8888888888888888,2.2825153982415705,9.0,8.0,0.0,0.0,0.0,0.0,2.833333333333333,4.017323597731317
29,13 jul 2022,15,8,9,1.1111111111111112,10,12,3,9,6,0,0,3.75,3.897114317029974,7,3,2,1,2,0,0,0,0,1.6666666666666667,2.160246899469287,5.0,10.0,0.0,0.0,0.0,0.0,2.5,3.8188130791298662
30,14 jul 2022,4,2,4,1.0,4,3,1,3,1,0,0,1.0,1.224744871391589,3,0,0,1,0,0,0,0,0,0.4444444444444444,0.955813918560292,1.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1055415967851332
31,15 jul 2022,1,1,1,1.0,1,0,1,1,0,0,0,0.25,0.4330127018922193,1,0,0,0,0,0,0,0,0,0.1111111111111111,0.3142696805273545,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649
32,16 jul 2022,3,2,3,1.0,3,3,0,0,3,0,0,0.75,1.299038105676658,0,3,0,0,0,0,0,0,0,0.3333333333333333,0.9428090415820632,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.7637626158259734
33,17 jul 2022,9,6,6,1.1666666666666667,7,6,3,3,6,0,0,2.25,2.48746859276655,3,6,0,0,0,0,0,0,0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,1.5,2.565800719723442
34,18 jul 2022,14,4,4,1.0,4,13,1,6,8,0,0,3.5,3.570714214271425,0,8,6,0,0,0,0,0,0,1.5555555555555556,2.9481109247603547,6.0,8.0,0.0,0.0,0.0,0.0,2.333333333333333,3.34995854037363
35,19 jul 2022,6,2,4,1.0,4,5,1,3,3,0,0,1.5,1.5,3,3,0,0,0,0,0,0,0,0.6666666666666666,1.247219128924647,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8257418583505536
36,20 jul 2022,14,8,8,1.25,10,8,6,8,6,0,0,3.5,3.570714214271425,8,5,0,1,0,0,0,0,0,1.5555555555555556,2.7532248207475263,5.0,9.0,0.0,0.0,0.0,0.0,2.333333333333333,3.4960294939005045
37,21 jul 2022,5,5,5,1.0,5,3,2,5,0,0,0,1.25,2.165063509461097,4,0,1,0,0,0,0,0,0,0.5555555555555556,1.2570787221094182,3.0,2.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.21335164821342
38,22 jul 2022,10,8,9,1.1111111111111112,10,7,3,2,8,0,0,2.5,3.2787192621509997,2,6,0,1,1,0,0,0,0,1.1111111111111112,1.8525924445036743,7.0,2.0,1.0,0.0,0.0,0.0,1.6666666666666667,2.494438257849294
39,23 jul 2022,16,8,8,1.0,8,11,5,10,6,0,0,4.0,4.242640687119285,6,6,4,0,0,0,0,0,0,1.7777777777777777,2.5724082006200497,6.0,10.0,0.0,0.0,0.0,0.0,2.6666666666666665,3.944053188733077
40,24 jul 2022,1,1,1,1.0,1,1,0,1,0,0,0,0.25,0.4330127018922193,1,0,0,0,0,0,0,0,0,0.1111111111111111,0.3142696805273545,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649
41,25 jul 2022,12,6,6,1.1666666666666667,7,12,0,6,6,0,0,3.0,3.0,6,6,0,0,0,0,0,0,0,1.3333333333333333,2.494438257849294,10.0,2.0,0.0,0.0,0.0,0.0,2.0,3.651483716701108
42,26 jul 2022,2,2,3,1.0,3,1,1,1,1,0,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0.2222222222222222,0.41573970964154905,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
43,27 jul 2022,14,8,9,1.0,9,12,2,3,11,0,0,3.5,4.5,2,11,1,0,0,0,0,0,0,1.5555555555555556,3.4029761846919007,10.0,4.0,0.0,0.0,0.0,0.0,2.333333333333333,3.7267799624996494
44,28 jul 2022,50,15,17,1.1176470588235294,19,48,2,40,10,0,0,12.5,16.393596310755,36,10,4,0,0,0,0,0,0,5.5555555555555545,11.226071946946744,9.0,7.0,34.0,0.0,0.0,0.0,8.333333333333334,12.036980056845193
45,29 jul 2022,10,9,9,1.0,9,8,2,4,6,0,0,2.5,2.598076211353316,3,4,1,0,2,0,0,0,0,1.1111111111111112,1.4487116456005888,4.0,4.0,1.0,1.0,0.0,0.0,1.6666666666666667,1.699673171197595
46,30 jul 2022,5,4,4,1.0,4,5,0,2,3,0,0,1.25,1.299038105676658,2,3,0,0,0,0,0,0,0,0.5555555555555556,1.0657403385139381,1.0,2.0,0.0,2.0,0.0,0.0,0.8333333333333334,0.8975274678557508
47,31 jul 2022,2,2,3,1.0,3,1,1,2,0,0,0,0.5,0.8660254037844386,2,0,0,0,0,0,0,0,0,0.2222222222222222,0.6285393610547091,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7453559924999298
48,1 ago 2022,36,14,17,1.1176470588235294,19,35,1,29,7,0,0,9.0,11.895377253370318,29,6,0,1,0,0,0,0,0,4.0,9.030811456096043,14.0,9.0,12.0,1.0,0.0,0.0,6.0,5.859465277082316
49,2 ago 2022,37,15,24,1.380952380952381,29,35,2,25,12,0,0,9.25,10.328964130056796,25,8,0,0,4,0,0,0,0,4.111111111111111,7.837863150465955,20.0,8.0,8.0,0.0,0.0,1.0,6.166666666666668,7.080881928749333
50,3 ago 2022,61,21,33,1.3571428571428572,38,61,0,42,19,0,0,15.25,17.282577932704367,31,16,11,3,0,0,0,0,0,6.777777777777778,10.18471379380532,31.0,17.0,13.0,0.0,0.0,0.0,10.166666666666666,11.538582620447318
51,4 ago 2022,33,15,20,1.1578947368421053,22,32,1,9,24,0,0,8.25,9.807522622966516,5,20,4,3,1,0,0,0,0,3.6666666666666665,6.055300708194983,17.0,16.0,0.0,0.0,0.0,0.0,5.5,7.783529619223745
52,5 ago 2022,18,14,14,1.0,14,14,4,9,9,0,0,4.5,4.5,5,9,4,0,0,0,0,0,0,2.0,3.0912061651652345,11.0,5.0,1.0,1.0,0.0,0.0,3.0,3.958114029012639
53,6 ago 2022,8,6,6,1.0,6,4,4,1,7,0,0,2.0,2.9154759474226504,1,7,0,0,0,0,0,0,0,0.8888888888888888,2.1829869671542785,1.0,7.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.560381915956203
54,7 ago 2022,7,4,5,1.25,5,6,1,6,1,0,0,1.75,2.48746859276655,3,1,0,0,0,3,0,0,0,0.7777777777777778,1.227262335243029,2.0,5.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.8633899812498247
55,8 ago 2022,76,12,21,1.3,26,70,6,29,47,0,0,19.0,20.03746490951388,24,47,5,0,0,0,0,0,0,8.444444444444445,15.5213910538622,29.0,31.0,16.0,0.0,0.0,0.0,12.666666666666664,13.511312133007493
56,9 ago 2022,57,17,22,1.1428571428571428,24,53,4,6,51,0,0,14.25,21.35854629884721,6,50,0,1,0,0,0,0,0,6.333333333333332,15.549205052920804,41.0,15.0,1.0,0.0,0.0,0.0,9.5,15.0858653491715
57,10 ago 2022,94,37,42,1.146341463414634,47,18,76,79,15,0,0,23.5,32.62284475639732,76,15,3,0,0,0,0,0,0,10.444444444444443,23.636652851550092,4.0,81.0,9.0,0.0,0.0,0.0,15.666666666666664,29.397656747132448
58,11 ago 2022,48,18,27,1.2608695652173914,29,40,8,27,21,0,0,12.0,12.186057606953941,27,20,0,0,1,0,0,0,0,5.333333333333333,9.854496999396321,18.0,19.0,11.0,0.0,0.0,0.0,8.0,8.386497083606082
59,12 ago 2022,32,13,18,1.3333333333333333,20,30,2,11,21,0,0,8.0,8.74642784226795,8,18,3,3,0,0,0,0,0,3.555555555555556,5.698169513314705,16.0,13.0,3.0,0.0,0.0,0.0,5.333333333333333,6.6248689714505975
60,13 ago 2022,6,6,6,1.0,6,5,1,5,1,0,0,1.5,2.0615528128088303,5,0,0,1,0,0,0,0,0,0.6666666666666666,1.5634719199411429,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.5275252316519468
