Fecha,Categoría de dispositivo,Vistas
12 oct 2022,mobile,45
12 oct 2022,desktop,9
13 oct 2022,mobile,22
13 oct 2022,desktop,12
14 oct 2022,mobile,9
14 oct 2022,desktop,5
15 oct 2022,mobile,15
15 oct 2022,desktop,2
16 oct 2022,mobile,6
16 oct 2022,desktop,2
17 oct 2022,desktop,5
17 oct 2022,mobile,4
18 oct 2022,mobile,13
18 oct 2022,desktop,9
19 oct 2022,mobile,41
19 oct 2022,desktop,11
20 oct 2022,desktop,14
20 oct 2022,mobile,13
21 oct 2022,mobile,34
21 oct 2022,desktop,13
22 oct 2022,mobile,19
22 oct 2022,desktop,4
23 oct 2022,desktop,7
23 oct 2022,mobile,1
24 oct 2022,desktop,16
24 oct 2022,mobile,6
25 oct 2022,desktop,16
25 oct 2022,mobile,13
26 oct 2022,mobile,21
26 oct 2022,desktop,18
27 oct 2022,mobile,17
27 oct 2022,desktop,7
28 oct 2022,desktop,14
28 oct 2022,mobile,5
29 oct 2022,mobile,5
29 oct 2022,desktop,4
30 oct 2022,mobile,12
30 oct 2022,desktop,10
31 oct 2022,desktop,11
31 oct 2022,mobile,9
1 nov 2022,desktop,19
1 nov 2022,mobile,8
2 nov 2022,mobile,36
2 nov 2022,desktop,8
3 nov 2022,mobile,8
3 nov 2022,desktop,6
4 nov 2022,desktop,3
4 nov 2022,mobile,3
5 nov 2022,mobile,3
5 nov 2022,desktop,1
6 nov 2022,desktop,4
6 nov 2022,mobile,1
7 nov 2022,mobile,21
7 nov 2022,desktop,8
8 nov 2022,desktop,5
8 nov 2022,mobile,5
9 nov 2022,mobile,36
9 nov 2022,desktop,8
10 nov 2022,mobile,14
10 nov 2022,desktop,3
11 nov 2022,mobile,13
11 nov 2022,desktop,4
12 nov 2022,desktop,7
12 nov 2022,mobile,4
13 nov 2022,mobile,6
14 nov 2022,desktop,9
14 nov 2022,mobile,8
15 nov 2022,mobile,12
15 nov 2022,desktop,6
16 nov 2022,desktop,13
16 nov 2022,mobile,12
17 nov 2022,mobile,16
17 nov 2022,desktop,4
18 nov 2022,mobile,19
18 nov 2022,desktop,7
19 nov 2022,mobile,23
19 nov 2022,desktop,2
20 nov 2022,mobile,10
20 nov 2022,desktop,2
21 nov 2022,mobile,7
21 nov 2022,desktop,4
22 nov 2022,mobile,12
22 nov 2022,desktop,1
23 nov 2022,mobile,48
23 nov 2022,desktop,16
24 nov 2022,desktop,6
24 nov 2022,mobile,4
25 nov 2022,mobile,8
25 nov 2022,desktop,1
26 nov 2022,mobile,19
26 nov 2022,desktop,6
27 nov 2022,mobile,2
28 nov 2022,desktop,11
28 nov 2022,mobile,11
29 nov 2022,mobile,6
29 nov 2022,desktop,3
30 nov 2022,mobile,15
30 nov 2022,desktop,2
30 nov 2022,tablet,1
1 dic 2022,desktop,13
1 dic 2022,mobile,9
2 dic 2022,desktop,3
3 dic 2022,mobile,5
3 dic 2022,desktop,4
4 dic 2022,desktop,17
4 dic 2022,mobile,3
5 dic 2022,desktop,8
5 dic 2022,mobile,3
6 dic 2022,desktop,25
6 dic 2022,mobile,2
7 dic 2022,mobile,12
7 dic 2022,desktop,11
8 dic 2022,mobile,7
8 dic 2022,desktop,3
9 dic 2022,desktop,2
9 dic 2022,mobile,1
10 dic 2022,desktop,5
10 dic 2022,mobile,2
11 dic 2022,mobile,3
12 dic 2022,desktop,11
12 dic 2022,mobile,5
13 dic 2022,desktop,6
14 dic 2022,desktop,3
14 dic 2022,mobile,3
15 dic 2022,desktop,9
15 dic 2022,mobile,3
16 dic 2022,desktop,5
16 dic 2022,mobile,4
17 dic 2022,mobile,4
17 dic 2022,desktop,1
18 dic 2022,mobile,1
19 dic 2022,desktop,17
19 dic 2022,mobile,3
20 dic 2022,mobile,5
21 dic 2022,desktop,3
21 dic 2022,mobile,1
22 dic 2022,mobile,2
22 dic 2022,desktop,1
23 dic 2022,mobile,2
23 dic 2022,desktop,1
24 dic 2022,desktop,1
24 dic 2022,mobile,1
25 dic 2022,mobile,3
25 dic 2022,desktop,1
26 dic 2022,desktop,2
26 dic 2022,mobile,1
27 dic 2022,mobile,2
27 dic 2022,tablet,1
28 dic 2022,desktop,1
29 dic 2022,desktop,1
29 dic 2022,mobile,1
30 dic 2022,mobile,3
30 dic 2022,tablet,1
30 dic 2022,desktop,0
31 dic 2022,desktop,1
31 dic 2022,mobile,1
1 ene 2023,mobile,2
2 ene 2023,desktop,4
3 ene 2023,desktop,3
4 ene 2023,mobile,7
4 ene 2023,desktop,1
5 ene 2023,desktop,1
5 ene 2023,mobile,1
6 ene 2023,mobile,3
7 ene 2023,mobile,2
8 ene 2023,mobile,6
9 ene 2023,desktop,4
9 ene 2023,mobile,1
10 ene 2023,desktop,1
11 ene 2023,desktop,1
13 ene 2023,mobile,6
14 ene 2023,mobile,2
14 ene 2023,desktop,1
15 ene 2023,mobile,2
16 ene 2023,desktop,3
