Fecha,Categoría de dispositivo,Número de vistas de página
13 ago 2018,mobile,414
13 ago 2018,desktop,907
14 ago 2018,tablet,6
14 ago 2018,mobile,367
14 ago 2018,desktop,858
15 ago 2018,mobile,392
15 ago 2018,desktop,664
15 ago 2018,tablet,2
16 ago 2018,tablet,2
16 ago 2018,mobile,936
16 ago 2018,desktop,714
17 ago 2018,tablet,1
17 ago 2018,desktop,416
17 ago 2018,mobile,441
18 ago 2018,desktop,156
18 ago 2018,tablet,5
18 ago 2018,mobile,212
19 ago 2018,tablet,4
19 ago 2018,mobile,246
19 ago 2018,desktop,211
20 ago 2018,tablet,8
20 ago 2018,desktop,359
20 ago 2018,mobile,342
21 ago 2018,tablet,4
21 ago 2018,mobile,525
21 ago 2018,desktop,771
22 ago 2018,desktop,673
22 ago 2018,mobile,571
22 ago 2018,tablet,11
23 ago 2018,mobile,457
23 ago 2018,desktop,760
24 ago 2018,desktop,679
24 ago 2018,mobile,478
24 ago 2018,tablet,10
25 ago 2018,desktop,254
25 ago 2018,tablet,5
25 ago 2018,mobile,375
26 ago 2018,tablet,1
26 ago 2018,mobile,309
26 ago 2018,desktop,254
27 ago 2018,desktop,816
27 ago 2018,mobile,473
27 ago 2018,tablet,7
28 ago 2018,mobile,489
28 ago 2018,desktop,851
28 ago 2018,tablet,7
29 ago 2018,tablet,3
29 ago 2018,desktop,587
29 ago 2018,mobile,405
30 ago 2018,desktop,599
30 ago 2018,mobile,352
30 ago 2018,tablet,1
31 ago 2018,tablet,2
31 ago 2018,desktop,551
31 ago 2018,mobile,479
1 sept 2018,tablet,4
1 sept 2018,mobile,222
1 sept 2018,desktop,217
2 sept 2018,tablet,10
2 sept 2018,mobile,302
2 sept 2018,desktop,244
3 sept 2018,desktop,671
3 sept 2018,mobile,389
3 sept 2018,tablet,20
4 sept 2018,desktop,557
4 sept 2018,mobile,413
4 sept 2018,tablet,10
5 sept 2018,mobile,405
5 sept 2018,desktop,556
5 sept 2018,tablet,1
6 sept 2018,mobile,361
6 sept 2018,desktop,578
6 sept 2018,tablet,7
7 sept 2018,mobile,655
7 sept 2018,desktop,534
7 sept 2018,tablet,9
8 sept 2018,tablet,1
8 sept 2018,mobile,302
8 sept 2018,desktop,133
9 sept 2018,desktop,64
9 sept 2018,mobile,65
9 sept 2018,tablet,7
10 sept 2018,tablet,10
10 sept 2018,mobile,321
10 sept 2018,desktop,670
11 sept 2018,mobile,392
11 sept 2018,tablet,1
11 sept 2018,desktop,838
12 sept 2018,mobile,390
12 sept 2018,desktop,612
12 sept 2018,tablet,8
13 sept 2018,desktop,515
13 sept 2018,tablet,2
13 sept 2018,mobile,332
14 sept 2018,desktop,527
14 sept 2018,mobile,321
14 sept 2018,tablet,2
15 sept 2018,mobile,247
15 sept 2018,desktop,184
15 sept 2018,tablet,4
16 sept 2018,desktop,152
16 sept 2018,tablet,4
16 sept 2018,mobile,284
17 sept 2018,tablet,1
17 sept 2018,desktop,674
17 sept 2018,mobile,489
18 sept 2018,tablet,3
18 sept 2018,desktop,654
18 sept 2018,mobile,621
19 sept 2018,tablet,1
19 sept 2018,mobile,542
19 sept 2018,desktop,553
20 sept 2018,desktop,489
20 sept 2018,mobile,395
20 sept 2018,tablet,2
21 sept 2018,desktop,392
21 sept 2018,mobile,439
21 sept 2018,tablet,2
22 sept 2018,desktop,128
22 sept 2018,mobile,362
22 sept 2018,tablet,4
23 sept 2018,desktop,178
23 sept 2018,mobile,234
23 sept 2018,tablet,4
24 sept 2018,mobile,441
24 sept 2018,tablet,6
24 sept 2018,desktop,531
25 sept 2018,tablet,4
25 sept 2018,desktop,529
25 sept 2018,mobile,358
26 sept 2018,mobile,374
26 sept 2018,tablet,3
26 sept 2018,desktop,683
27 sept 2018,tablet,5
27 sept 2018,mobile,390
27 sept 2018,desktop,527
28 sept 2018,tablet,1
28 sept 2018,mobile,362
28 sept 2018,desktop,412
29 sept 2018,desktop,114
29 sept 2018,tablet,3
29 sept 2018,mobile,204
30 sept 2018,desktop,281
30 sept 2018,tablet,10
30 sept 2018,mobile,265
1 oct 2018,mobile,495
1 oct 2018,tablet,4
1 oct 2018,desktop,674
2 oct 2018,mobile,476
2 oct 2018,tablet,3
2 oct 2018,desktop,563
3 oct 2018,tablet,2
3 oct 2018,desktop,714
3 oct 2018,mobile,428
4 oct 2018,mobile,361
4 oct 2018,desktop,545
5 oct 2018,desktop,438
5 oct 2018,mobile,256
5 oct 2018,tablet,6
6 oct 2018,desktop,210
6 oct 2018,mobile,259
7 oct 2018,desktop,263
7 oct 2018,mobile,286
8 oct 2018,desktop,703
8 oct 2018,mobile,455
9 oct 2018,desktop,623
9 oct 2018,tablet,2
9 oct 2018,mobile,417
10 oct 2018,mobile,596
10 oct 2018,desktop,616
10 oct 2018,tablet,6
11 oct 2018,mobile,406
11 oct 2018,desktop,616
11 oct 2018,tablet,6
12 oct 2018,desktop,427
12 oct 2018,tablet,5
12 oct 2018,mobile,346
13 oct 2018,tablet,6
13 oct 2018,mobile,266
13 oct 2018,desktop,200
14 oct 2018,desktop,202
14 oct 2018,tablet,3
14 oct 2018,mobile,219
15 oct 2018,tablet,5
15 oct 2018,desktop,437
15 oct 2018,mobile,380
16 oct 2018,tablet,4
16 oct 2018,desktop,744
16 oct 2018,mobile,499
17 oct 2018,tablet,2
17 oct 2018,desktop,684
17 oct 2018,mobile,497
18 oct 2018,tablet,4
18 oct 2018,desktop,613
18 oct 2018,mobile,457
19 oct 2018,tablet,2
19 oct 2018,desktop,509
19 oct 2018,mobile,488
20 oct 2018,desktop,182
20 oct 2018,tablet,2
20 oct 2018,mobile,239
21 oct 2018,mobile,276
21 oct 2018,desktop,232
22 oct 2018,desktop,801
22 oct 2018,tablet,15
22 oct 2018,mobile,525
23 oct 2018,tablet,18
23 oct 2018,desktop,646
23 oct 2018,mobile,454
24 oct 2018,desktop,519
24 oct 2018,mobile,509
24 oct 2018,tablet,7
25 oct 2018,tablet,1
25 oct 2018,mobile,521
25 oct 2018,desktop,700
26 oct 2018,tablet,10
26 oct 2018,mobile,621
26 oct 2018,desktop,611
27 oct 2018,tablet,1
27 oct 2018,desktop,213
27 oct 2018,mobile,285
28 oct 2018,desktop,256
28 oct 2018,tablet,5
28 oct 2018,mobile,288
29 oct 2018,desktop,772
29 oct 2018,mobile,754
29 oct 2018,tablet,13
30 oct 2018,mobile,481
30 oct 2018,tablet,2
30 oct 2018,desktop,669
31 oct 2018,desktop,421
31 oct 2018,mobile,366
1 nov 2018,tablet,8
1 nov 2018,mobile,565
1 nov 2018,desktop,730
2 nov 2018,mobile,448
2 nov 2018,tablet,3
2 nov 2018,desktop,627
3 nov 2018,desktop,229
3 nov 2018,mobile,357
4 nov 2018,mobile,404
4 nov 2018,desktop,317
4 nov 2018,tablet,2
5 nov 2018,tablet,5
5 nov 2018,desktop,789
5 nov 2018,mobile,530
6 nov 2018,desktop,650
6 nov 2018,tablet,16
6 nov 2018,mobile,569
7 nov 2018,mobile,541
7 nov 2018,desktop,481
7 nov 2018,tablet,4
8 nov 2018,tablet,1
8 nov 2018,desktop,536
8 nov 2018,mobile,494
9 nov 2018,tablet,2
9 nov 2018,mobile,435
9 nov 2018,desktop,612
10 nov 2018,tablet,1
10 nov 2018,mobile,262
10 nov 2018,desktop,234
11 nov 2018,desktop,280
11 nov 2018,mobile,311
11 nov 2018,tablet,6
12 nov 2018,desktop,766
12 nov 2018,mobile,492
13 nov 2018,mobile,405
13 nov 2018,desktop,645
13 nov 2018,tablet,2
14 nov 2018,tablet,3
14 nov 2018,mobile,427
14 nov 2018,desktop,531
15 nov 2018,desktop,654
15 nov 2018,mobile,385
15 nov 2018,tablet,6
16 nov 2018,tablet,3
16 nov 2018,mobile,414
16 nov 2018,desktop,506
17 nov 2018,desktop,196
17 nov 2018,mobile,335
18 nov 2018,mobile,265
18 nov 2018,desktop,237
18 nov 2018,tablet,18
19 nov 2018,tablet,4
19 nov 2018,mobile,363
19 nov 2018,desktop,403
20 nov 2018,desktop,978
20 nov 2018,mobile,865
20 nov 2018,tablet,1
21 nov 2018,tablet,8
21 nov 2018,mobile,698
21 nov 2018,desktop,733
22 nov 2018,desktop,780
22 nov 2018,mobile,623
22 nov 2018,tablet,34
23 nov 2018,mobile,563
23 nov 2018,tablet,5
23 nov 2018,desktop,486
24 nov 2018,tablet,2
24 nov 2018,desktop,210
24 nov 2018,mobile,292
25 nov 2018,desktop,220
25 nov 2018,mobile,291
25 nov 2018,tablet,2
26 nov 2018,mobile,535
26 nov 2018,tablet,2
26 nov 2018,desktop,549
27 nov 2018,desktop,619
27 nov 2018,tablet,13
27 nov 2018,mobile,636
28 nov 2018,mobile,583
28 nov 2018,tablet,4
28 nov 2018,desktop,700
29 nov 2018,mobile,519
29 nov 2018,desktop,668
29 nov 2018,tablet,7
30 nov 2018,desktop,475
30 nov 2018,tablet,6
30 nov 2018,mobile,393
1 dic 2018,tablet,1
1 dic 2018,desktop,131
1 dic 2018,mobile,302
2 dic 2018,mobile,369
2 dic 2018,desktop,186
2 dic 2018,tablet,4
3 dic 2018,mobile,519
3 dic 2018,tablet,8
3 dic 2018,desktop,821
4 dic 2018,tablet,8
4 dic 2018,mobile,658
4 dic 2018,desktop,783
5 dic 2018,desktop,633
5 dic 2018,tablet,7
5 dic 2018,mobile,606
6 dic 2018,mobile,484
6 dic 2018,desktop,585
6 dic 2018,tablet,2
7 dic 2018,desktop,357
7 dic 2018,tablet,6
7 dic 2018,mobile,396
8 dic 2018,tablet,2
8 dic 2018,mobile,260
8 dic 2018,desktop,165
9 dic 2018,desktop,210
9 dic 2018,tablet,2
9 dic 2018,mobile,291
10 dic 2018,tablet,6
10 dic 2018,mobile,610
10 dic 2018,desktop,614
11 dic 2018,desktop,647
11 dic 2018,mobile,531
12 dic 2018,desktop,611
12 dic 2018,mobile,551
12 dic 2018,tablet,2
13 dic 2018,tablet,2
13 dic 2018,desktop,543
13 dic 2018,mobile,453
14 dic 2018,mobile,590
14 dic 2018,tablet,14
14 dic 2018,desktop,663
15 dic 2018,tablet,4
15 dic 2018,mobile,304
15 dic 2018,desktop,172
16 dic 2018,mobile,350
16 dic 2018,tablet,10
16 dic 2018,desktop,198
17 dic 2018,desktop,631
17 dic 2018,tablet,28
17 dic 2018,mobile,667
18 dic 2018,tablet,15
18 dic 2018,mobile,579
18 dic 2018,desktop,636
19 dic 2018,tablet,1
19 dic 2018,desktop,562
19 dic 2018,mobile,544
20 dic 2018,mobile,824
20 dic 2018,desktop,516
20 dic 2018,tablet,4
21 dic 2018,mobile,450
21 dic 2018,desktop,382
22 dic 2018,desktop,133
22 dic 2018,mobile,288
23 dic 2018,desktop,73
23 dic 2018,mobile,193
24 dic 2018,mobile,148
24 dic 2018,tablet,2
24 dic 2018,desktop,76
25 dic 2018,desktop,84
25 dic 2018,tablet,3
25 dic 2018,mobile,188
26 dic 2018,desktop,244
26 dic 2018,tablet,1
26 dic 2018,mobile,281
27 dic 2018,mobile,251
27 dic 2018,tablet,2
27 dic 2018,desktop,249
28 dic 2018,mobile,259
28 dic 2018,tablet,4
28 dic 2018,desktop,216
29 dic 2018,desktop,125
29 dic 2018,mobile,194
29 dic 2018,tablet,2
30 dic 2018,desktop,106
30 dic 2018,tablet,2
30 dic 2018,mobile,167
31 dic 2018,tablet,3
31 dic 2018,mobile,119
31 dic 2018,desktop,85
1 ene 2019,mobile,140
1 ene 2019,tablet,3
1 ene 2019,desktop,64
2 ene 2019,mobile,309
2 ene 2019,desktop,264
3 ene 2019,tablet,1
3 ene 2019,mobile,311
3 ene 2019,desktop,279
4 ene 2019,mobile,237
4 ene 2019,tablet,3
4 ene 2019,desktop,232
5 ene 2019,tablet,4
5 ene 2019,mobile,246
5 ene 2019,desktop,111
6 ene 2019,tablet,1
6 ene 2019,desktop,172
6 ene 2019,mobile,336
7 ene 2019,mobile,375
7 ene 2019,desktop,272
8 ene 2019,desktop,303
8 ene 2019,tablet,7
8 ene 2019,mobile,391
9 ene 2019,desktop,258
9 ene 2019,mobile,309
10 ene 2019,tablet,8
10 ene 2019,mobile,417
10 ene 2019,desktop,243
11 ene 2019,mobile,302
11 ene 2019,desktop,172
11 ene 2019,tablet,5
12 ene 2019,mobile,255
12 ene 2019,desktop,169
12 ene 2019,tablet,1
13 ene 2019,mobile,194
13 ene 2019,desktop,118
13 ene 2019,tablet,4
14 ene 2019,desktop,343
14 ene 2019,mobile,391
15 ene 2019,desktop,313
15 ene 2019,mobile,409
16 ene 2019,mobile,362
16 ene 2019,tablet,4
16 ene 2019,desktop,371
17 ene 2019,tablet,14
17 ene 2019,desktop,203
17 ene 2019,mobile,329
18 ene 2019,mobile,353
18 ene 2019,desktop,238
19 ene 2019,desktop,131
19 ene 2019,mobile,303
19 ene 2019,tablet,5
20 ene 2019,desktop,157
20 ene 2019,mobile,329
21 ene 2019,tablet,2
21 ene 2019,desktop,409
21 ene 2019,mobile,393
22 ene 2019,mobile,356
22 ene 2019,desktop,330
23 ene 2019,mobile,344
23 ene 2019,desktop,221
24 ene 2019,mobile,421
24 ene 2019,desktop,237
25 ene 2019,desktop,267
25 ene 2019,mobile,340
26 ene 2019,mobile,274
26 ene 2019,tablet,1
26 ene 2019,desktop,169
27 ene 2019,tablet,2
27 ene 2019,mobile,277
27 ene 2019,desktop,131
28 ene 2019,desktop,384
28 ene 2019,mobile,584
28 ene 2019,tablet,2
29 ene 2019,tablet,1
29 ene 2019,desktop,402
29 ene 2019,mobile,449
30 ene 2019,mobile,543
30 ene 2019,desktop,316
30 ene 2019,tablet,7
31 ene 2019,desktop,332
31 ene 2019,mobile,308
1 feb 2019,desktop,360
1 feb 2019,mobile,405
2 feb 2019,desktop,159
2 feb 2019,mobile,353
2 feb 2019,tablet,4
3 feb 2019,mobile,459
3 feb 2019,desktop,188
4 feb 2019,mobile,945
4 feb 2019,desktop,735
5 feb 2019,desktop,613
5 feb 2019,tablet,8
5 feb 2019,mobile,773
6 feb 2019,desktop,763
6 feb 2019,tablet,12
6 feb 2019,mobile,1288
7 feb 2019,tablet,16
7 feb 2019,desktop,1280
7 feb 2019,mobile,1336
8 feb 2019,desktop,581
8 feb 2019,mobile,1134
9 feb 2019,desktop,208
9 feb 2019,mobile,442
9 feb 2019,tablet,4
10 feb 2019,mobile,627
10 feb 2019,desktop,360
10 feb 2019,tablet,39
11 feb 2019,mobile,1179
11 feb 2019,tablet,11
11 feb 2019,desktop,907
12 feb 2019,tablet,6
12 feb 2019,desktop,900
12 feb 2019,mobile,993
13 feb 2019,mobile,942
13 feb 2019,desktop,742
13 feb 2019,tablet,5
14 feb 2019,tablet,7
14 feb 2019,desktop,730
14 feb 2019,mobile,1161
15 feb 2019,tablet,23
15 feb 2019,desktop,676
15 feb 2019,mobile,987
16 feb 2019,mobile,643
16 feb 2019,tablet,8
16 feb 2019,desktop,389
17 feb 2019,desktop,425
17 feb 2019,tablet,8
17 feb 2019,mobile,732
18 feb 2019,desktop,724
18 feb 2019,tablet,3
18 feb 2019,mobile,873
19 feb 2019,desktop,633
19 feb 2019,tablet,7
19 feb 2019,mobile,958
20 feb 2019,tablet,7
20 feb 2019,mobile,656
20 feb 2019,desktop,664
21 feb 2019,desktop,612
21 feb 2019,tablet,9
21 feb 2019,mobile,638
22 feb 2019,mobile,673
22 feb 2019,desktop,618
22 feb 2019,tablet,3
23 feb 2019,mobile,356
23 feb 2019,desktop,165
23 feb 2019,tablet,18
24 feb 2019,tablet,11
24 feb 2019,desktop,304
24 feb 2019,mobile,422
25 feb 2019,tablet,14
25 feb 2019,desktop,803
25 feb 2019,mobile,731
26 feb 2019,mobile,607
26 feb 2019,tablet,2
26 feb 2019,desktop,793
27 feb 2019,tablet,26
27 feb 2019,mobile,903
27 feb 2019,desktop,651
28 feb 2019,mobile,638
28 feb 2019,desktop,630
28 feb 2019,tablet,9
1 mar 2019,tablet,3
1 mar 2019,mobile,550
1 mar 2019,desktop,428
2 mar 2019,desktop,181
2 mar 2019,mobile,362
2 mar 2019,tablet,3
3 mar 2019,mobile,299
3 mar 2019,desktop,145
4 mar 2019,tablet,2
4 mar 2019,desktop,233
4 mar 2019,mobile,352
5 mar 2019,desktop,376
5 mar 2019,mobile,444
5 mar 2019,tablet,1
6 mar 2019,desktop,538
6 mar 2019,tablet,3
6 mar 2019,mobile,584
7 mar 2019,mobile,553
7 mar 2019,desktop,555
7 mar 2019,tablet,3
8 mar 2019,mobile,412
8 mar 2019,desktop,361
8 mar 2019,tablet,10
9 mar 2019,desktop,201
9 mar 2019,tablet,8
9 mar 2019,mobile,325
10 mar 2019,mobile,327
10 mar 2019,desktop,131
10 mar 2019,tablet,1
11 mar 2019,mobile,1530
11 mar 2019,desktop,854
11 mar 2019,tablet,2
12 mar 2019,tablet,5
12 mar 2019,mobile,903
12 mar 2019,desktop,918
13 mar 2019,tablet,2
13 mar 2019,desktop,642
13 mar 2019,mobile,622
14 mar 2019,mobile,648
14 mar 2019,tablet,5
