Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
15 sept 2018,435,166,227,1.118942731277533,254
16 sept 2018,440,192,242,1.078512396694215,261
17 sept 2018,1164,449,629,1.0731319554848966,675
18 sept 2018,1278,572,759,1.0909090909090908,828
19 sept 2018,1096,423,568,1.068661971830986,607
20 sept 2018,886,341,461,1.0715835140997831,494
21 sept 2018,833,321,423,1.0732860520094563,454
22 sept 2018,494,271,334,1.0748502994011977,359
23 sept 2018,416,191,237,1.0675105485232068,253
24 sept 2018,978,360,493,1.0872210953346857,536
25 sept 2018,891,343,431,1.0835266821345708,467
26 sept 2018,1060,328,479,1.1064718162839249,530
27 sept 2018,922,282,442,1.1153846153846154,493
28 sept 2018,775,266,382,1.0890052356020943,416
29 sept 2018,321,148,194,1.056701030927835,205
30 sept 2018,556,191,255,1.0509803921568628,268
1 oct 2018,1173,344,497,1.1207243460764587,557
2 oct 2018,1042,346,476,1.0987394957983194,523
3 oct 2018,1144,335,500,1.086,543
4 oct 2018,906,312,429,1.0909090909090908,468
5 oct 2018,700,242,354,1.1073446327683616,392
6 oct 2018,469,155,214,1.0841121495327102,232
7 oct 2018,549,192,260,1.0692307692307692,278
8 oct 2018,1158,403,549,1.092896174863388,600
9 oct 2018,1042,312,442,1.083710407239819,479
10 oct 2018,1218,422,592,1.070945945945946,634
11 oct 2018,1028,333,464,1.0991379310344827,510
12 oct 2018,778,254,368,1.111413043478261,409
13 oct 2018,472,168,230,1.0739130434782609,247
14 oct 2018,424,171,225,1.0355555555555556,233
15 oct 2018,822,295,397,1.1133501259445844,442
16 oct 2018,1247,394,583,1.0909090909090908,636
17 oct 2018,1183,378,532,1.1146616541353382,593
18 oct 2018,1074,381,532,1.0958646616541354,583
19 oct 2018,999,367,513,1.0994152046783625,564
20 oct 2018,423,187,241,1.045643153526971,252
21 oct 2018,508,186,237,1.0590717299578059,251
22 oct 2018,1341,424,580,1.1120689655172413,645
23 oct 2018,1118,338,500,1.094,547
24 oct 2018,1035,326,476,1.1260504201680672,536
25 oct 2018,1222,380,565,1.1185840707964603,632
26 oct 2018,1242,401,565,1.1309734513274337,639
27 oct 2018,499,189,260,1.0769230769230769,280
28 oct 2018,549,203,268,1.0708955223880596,287
29 oct 2018,1539,509,714,1.1134453781512605,795
30 oct 2018,1152,360,527,1.1081593927893738,584
31 oct 2018,787,274,398,1.0728643216080402,427
1 nov 2018,1303,382,561,1.1229946524064172,630
2 nov 2018,1078,318,475,1.1073684210526316,526
3 nov 2018,586,218,286,1.118881118881119,320
4 nov 2018,723,249,347,1.0979827089337175,381
5 nov 2018,1324,366,546,1.152014652014652,629
6 nov 2018,1235,426,615,1.1219512195121952,690
7 nov 2018,1026,394,564,1.0833333333333333,611
8 nov 2018,1031,324,482,1.1182572614107884,539
9 nov 2018,1049,347,495,1.0929292929292929,541
10 nov 2018,497,177,258,1.0968992248062015,283
11 nov 2018,597,194,272,1.0808823529411764,294
12 nov 2018,1258,372,557,1.1274685816876122,628
13 nov 2018,1052,354,501,1.089820359281437,546
14 nov 2018,961,359,488,1.0819672131147542,528
15 nov 2018,1045,299,469,1.1215351812366738,526
16 nov 2018,923,289,421,1.1045130641330165,465
17 nov 2018,531,172,255,1.0745098039215686,274
18 nov 2018,520,185,257,1.0700389105058365,275
19 nov 2018,770,259,349,1.0888252148997135,380
20 nov 2018,1844,631,862,1.1160092807424593,962
21 nov 2018,1439,485,686,1.097667638483965,753
22 nov 2018,1437,468,688,1.0959302325581395,754
23 nov 2018,1054,389,579,1.075993091537133,623
24 nov 2018,504,201,292,1.047945205479452,306
25 nov 2018,513,209,286,1.048951048951049,300
26 nov 2018,1086,366,512,1.095703125,561
27 nov 2018,1268,388,582,1.1099656357388317,646
28 nov 2018,1287,420,593,1.1247892074198989,667
29 nov 2018,1194,402,581,1.0998278829604131,639
30 nov 2018,874,279,398,1.135678391959799,452
