Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
19 ago 2022,mobile,10,3,5,1.25,5
20 ago 2022,desktop,6,1,3,1,3
20 ago 2022,mobile,7,3,4,1.6666666666666667,5
21 ago 2022,mobile,3,3,3,1,3
21 ago 2022,desktop,2,2,2,1.5,3
22 ago 2022,desktop,10,6,8,1.125,9
22 ago 2022,mobile,10,5,7,1.4285714285714286,10
23 ago 2022,desktop,7,1,5,2,6
23 ago 2022,mobile,8,3,3,1,3
24 ago 2022,desktop,15,10,10,1,10
24 ago 2022,mobile,87,22,24,1.5217391304347827,35
25 ago 2022,desktop,24,9,12,1.1666666666666667,14
25 ago 2022,mobile,21,6,10,2,12
26 ago 2022,desktop,15,4,7,1.1666666666666667,7
26 ago 2022,mobile,13,6,8,1.5,9
27 ago 2022,mobile,11,5,7,1.1666666666666667,7
27 ago 2022,desktop,17,3,4,1.25,5
28 ago 2022,desktop,16,8,9,1.1111111111111112,10
28 ago 2022,mobile,10,6,7,1.3333333333333333,8
29 ago 2022,desktop,41,6,7,1,7
29 ago 2022,mobile,8,4,5,1.5,6
30 ago 2022,desktop,84,5,9,1.4444444444444444,13
30 ago 2022,mobile,5,3,3,1,3
31 ago 2022,desktop,22,4,7,1.3333333333333333,8
1 sept 2022,desktop,12,5,8,1.125,9
1 sept 2022,mobile,5,3,3,1,3
2 sept 2022,mobile,13,4,5,1.6,8
2 sept 2022,desktop,18,1,1,4,4
3 sept 2022,desktop,17,4,5,1.75,7
3 sept 2022,mobile,5,4,4,1,4
4 sept 2022,mobile,2,0,1,1,1
4 sept 2022,desktop,2,1,2,3,3
5 sept 2022,desktop,13,3,7,1.1428571428571428,8
5 sept 2022,mobile,13,6,6,1,6
6 sept 2022,mobile,29,10,10,1.5,15
6 sept 2022,desktop,16,6,8,1.125,9
7 sept 2022,mobile,34,12,15,1.5714285714285714,22
7 sept 2022,desktop,11,6,9,1.1111111111111112,10
8 sept 2022,desktop,45,12,17,1.4,21
8 sept 2022,mobile,27,9,13,1.4545454545454546,16
9 sept 2022,desktop,15,6,8,1.25,10
9 sept 2022,mobile,11,5,8,1.3333333333333333,8
10 sept 2022,mobile,23,7,12,1.4444444444444444,13
10 sept 2022,desktop,11,4,6,1,6
11 sept 2022,desktop,3,3,3,1,3
11 sept 2022,mobile,4,2,2,1,2
12 sept 2022,mobile,8,6,7,1.1666666666666667,7
12 sept 2022,desktop,5,2,5,1.25,5
13 sept 2022,mobile,13,8,10,1.3333333333333333,12
13 sept 2022,desktop,26,5,6,1.4,7
14 sept 2022,desktop,10,5,8,1.125,9
14 sept 2022,mobile,9,7,7,1.1428571428571428,8
15 sept 2022,mobile,38,19,20,1.05,21
15 sept 2022,desktop,34,12,16,1.2,18
16 sept 2022,mobile,18,7,12,1.4444444444444444,13
16 sept 2022,desktop,4,3,4,1,4
17 sept 2022,mobile,15,8,8,1,8
17 sept 2022,desktop,2,1,1,1,1
18 sept 2022,mobile,2,1,2,3,3
18 sept 2022,tablet,2,1,1,2,2
19 sept 2022,desktop,19,8,11,1.2727272727272727,14
19 sept 2022,mobile,14,5,7,1.1666666666666667,7
20 sept 2022,desktop,24,10,10,1.1,11
20 sept 2022,mobile,12,4,6,1.4,7
21 sept 2022,mobile,41,13,16,1.2,18
21 sept 2022,desktop,9,2,5,1.25,5
22 sept 2022,mobile,4,4,4,1.25,5
22 sept 2022,desktop,3,2,3,2,4
23 sept 2022,desktop,3,2,3,1.5,3
23 sept 2022,mobile,3,1,2,2,2
24 sept 2022,mobile,4,2,3,2,4
25 sept 2022,desktop,5,3,3,1,3
25 sept 2022,mobile,10,1,3,4,4
26 sept 2022,mobile,34,11,12,1.0909090909090908,12
26 sept 2022,desktop,11,7,8,1.125,9
27 sept 2022,desktop,13,11,13,1.1666666666666667,14
27 sept 2022,mobile,2,2,2,1,2
28 sept 2022,mobile,33,8,15,1.2142857142857142,17
28 sept 2022,desktop,28,11,13,1.0769230769230769,14
29 sept 2022,desktop,22,12,14,1.2857142857142858,18
29 sept 2022,mobile,32,8,12,1.0909090909090908,12
30 sept 2022,desktop,29,5,9,1.5,12
30 sept 2022,mobile,11,3,8,1.6,8
1 oct 2022,mobile,4,2,4,1.3333333333333333,4
1 oct 2022,desktop,1,1,3,3,3
2 oct 2022,desktop,3,2,3,1,3
2 oct 2022,mobile,5,3,3,1,3
3 oct 2022,mobile,24,6,7,1.4285714285714286,10
