Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
10 abr 2023,desktop,4,3,3,1,3
10 abr 2023,mobile,1,1,1,1,1
11 abr 2023,desktop,4,3,6,1.5,6
11 abr 2023,mobile,2,2,2,1,2
12 abr 2023,mobile,32,17,21,1.0476190476190477,22
12 abr 2023,desktop,26,11,14,1.6153846153846154,21
13 abr 2023,mobile,24,8,11,1.1,11
13 abr 2023,desktop,6,5,6,1.1666666666666667,7
14 abr 2023,desktop,9,3,10,1.2222222222222223,11
14 abr 2023,mobile,9,6,6,1.1666666666666667,7
15 abr 2023,mobile,8,4,4,1,4
15 abr 2023,desktop,2,0,2,1,2
16 abr 2023,mobile,15,10,11,1,11
16 abr 2023,desktop,2,2,3,1,3
17 abr 2023,mobile,15,8,10,1.375,11
17 abr 2023,desktop,6,5,5,1,5
17 abr 2023,tablet,1,1,1,1,1
18 abr 2023,mobile,20,8,9,1,9
18 abr 2023,desktop,3,3,3,1,3
19 abr 2023,desktop,12,9,9,1,9
19 abr 2023,mobile,10,5,6,1.2,6
20 abr 2023,desktop,38,6,11,1.4,14
20 abr 2023,mobile,3,3,3,1,3
21 abr 2023,mobile,9,5,6,1.4,7
21 abr 2023,desktop,18,1,2,1.5,3
22 abr 2023,mobile,13,6,7,1,7
22 abr 2023,desktop,26,3,3,1.6666666666666667,5
22 abr 2023,tablet,1,1,1,1,1
23 abr 2023,mobile,13,7,9,1.2222222222222223,11
23 abr 2023,desktop,38,6,8,1.375,11
23 abr 2023,smart tv,1,1,1,1,1
24 abr 2023,desktop,12,5,9,1.375,11
24 abr 2023,mobile,15,7,9,1.4285714285714286,10
25 abr 2023,mobile,8,7,7,1,7
25 abr 2023,desktop,3,1,2,4,4
26 abr 2023,desktop,13,7,9,1.25,10
26 abr 2023,mobile,28,4,7,1.3333333333333333,8
27 abr 2023,mobile,26,17,19,1.0555555555555556,19
27 abr 2023,desktop,63,10,13,1.4615384615384615,19
28 abr 2023,desktop,11,4,8,1.8333333333333333,11
28 abr 2023,mobile,16,5,6,1.1666666666666667,7
29 abr 2023,mobile,30,11,13,1.2307692307692308,16
29 abr 2023,desktop,12,6,9,2,14
30 abr 2023,mobile,16,5,9,2,12
30 abr 2023,desktop,15,1,3,2,4
1 may 2023,mobile,11,2,3,1.3333333333333333,4
1 may 2023,desktop,3,1,3,1.5,3
2 may 2023,mobile,41,14,19,1.411764705882353,24
2 may 2023,desktop,23,9,10,1.5555555555555556,14
3 may 2023,mobile,64,22,28,1.3461538461538463,35
3 may 2023,desktop,44,10,19,1.875,30
4 may 2023,mobile,70,19,30,1.7083333333333333,41
4 may 2023,desktop,17,5,11,1.875,15
5 may 2023,mobile,20,5,14,1.6666666666666667,15
5 may 2023,desktop,23,3,9,2,14
6 may 2023,mobile,66,27,30,1.0689655172413792,31
6 may 2023,desktop,28,5,9,1.5714285714285714,11
7 may 2023,desktop,16,7,8,1.4285714285714286,10
7 may 2023,mobile,21,6,13,2.5714285714285716,18
8 may 2023,mobile,44,15,19,1.5294117647058822,26
8 may 2023,desktop,23,10,15,1.8181818181818181,20
9 may 2023,mobile,35,22,29,1.5454545454545454,34
9 may 2023,desktop,19,6,12,2.5714285714285716,18
10 may 2023,mobile,54,21,28,1.36,34
10 may 2023,desktop,22,8,14,1.3846153846153846,18
11 may 2023,mobile,49,21,30,1.4583333333333333,35
11 may 2023,desktop,35,8,15,1.5714285714285714,22
11 may 2023,tablet,1,0,1,1,1
12 may 2023,mobile,37,9,19,1.8,27
12 may 2023,desktop,19,6,11,2.125,17
13 may 2023,mobile,77,32,39,1.5,51
13 may 2023,desktop,23,5,10,1.875,15
14 may 2023,mobile,33,12,23,1.7058823529411764,29
14 may 2023,desktop,4,1,2,1,2
14 may 2023,tablet,1,1,1,1,1
15 may 2023,mobile,20,7,13,1.6666666666666667,15
15 may 2023,desktop,16,5,13,2.375,19
