Fecha,Categoría de dispositivo,Número de vistas de página
12 dic 2018,mobile,6
12 dic 2018,desktop,15
13 dic 2018,desktop,14
13 dic 2018,mobile,2
14 dic 2018,desktop,29
14 dic 2018,mobile,12
15 dic 2018,desktop,4
15 dic 2018,mobile,14
16 dic 2018,mobile,3
16 dic 2018,desktop,2
17 dic 2018,mobile,9
17 dic 2018,desktop,24
18 dic 2018,desktop,14
18 dic 2018,mobile,1
19 dic 2018,desktop,17
20 dic 2018,mobile,4
20 dic 2018,desktop,2
21 dic 2018,mobile,6
21 dic 2018,desktop,19
22 dic 2018,desktop,6
22 dic 2018,mobile,42
23 dic 2018,desktop,1
23 dic 2018,mobile,2
24 dic 2018,mobile,8
24 dic 2018,desktop,1
25 dic 2018,desktop,3
26 dic 2018,mobile,3
26 dic 2018,desktop,15
27 dic 2018,desktop,16
27 dic 2018,mobile,9
28 dic 2018,desktop,78
28 dic 2018,tablet,1
28 dic 2018,mobile,3
29 dic 2018,mobile,10
29 dic 2018,desktop,47
30 dic 2018,desktop,1
30 dic 2018,mobile,2
31 dic 2018,desktop,18
1 ene 2019,desktop,2
2 ene 2019,mobile,3
2 ene 2019,desktop,18
3 ene 2019,mobile,2
3 ene 2019,desktop,54
4 ene 2019,desktop,5
4 ene 2019,mobile,1
5 ene 2019,desktop,6
5 ene 2019,mobile,1
6 ene 2019,mobile,5
6 ene 2019,desktop,7
7 ene 2019,desktop,10
8 ene 2019,desktop,18
8 ene 2019,mobile,1
9 ene 2019,mobile,2
9 ene 2019,desktop,7
10 ene 2019,desktop,1
11 ene 2019,desktop,6
11 ene 2019,mobile,4
12 ene 2019,desktop,11
13 ene 2019,mobile,2
13 ene 2019,desktop,8
14 ene 2019,desktop,27
14 ene 2019,mobile,4
15 ene 2019,desktop,49
15 ene 2019,mobile,3
16 ene 2019,mobile,2
16 ene 2019,desktop,16
17 ene 2019,mobile,2
17 ene 2019,desktop,49
18 ene 2019,mobile,4
18 ene 2019,desktop,29
19 ene 2019,desktop,1
19 ene 2019,mobile,12
20 ene 2019,mobile,3
20 ene 2019,desktop,8
21 ene 2019,desktop,13
21 ene 2019,mobile,2
22 ene 2019,desktop,47
22 ene 2019,mobile,6
23 ene 2019,desktop,10
23 ene 2019,mobile,11
23 ene 2019,tablet,5
24 ene 2019,desktop,33
24 ene 2019,mobile,5
25 ene 2019,mobile,12
25 ene 2019,desktop,6
26 ene 2019,mobile,5
26 ene 2019,desktop,6
27 ene 2019,mobile,4
28 ene 2019,mobile,18
28 ene 2019,desktop,8
29 ene 2019,mobile,7
29 ene 2019,desktop,16
30 ene 2019,desktop,5
30 ene 2019,mobile,9
31 ene 2019,mobile,5
31 ene 2019,desktop,2
1 feb 2019,mobile,15
1 feb 2019,desktop,9
2 feb 2019,desktop,1
2 feb 2019,mobile,11
3 feb 2019,desktop,1
3 feb 2019,mobile,2
4 feb 2019,desktop,30
4 feb 2019,mobile,14
5 feb 2019,mobile,8
5 feb 2019,desktop,4
6 feb 2019,mobile,5
6 feb 2019,desktop,16
7 feb 2019,mobile,2
7 feb 2019,desktop,115
8 feb 2019,mobile,8
8 feb 2019,desktop,10
9 feb 2019,desktop,9
9 feb 2019,mobile,8
10 feb 2019,mobile,4
10 feb 2019,desktop,8
11 feb 2019,mobile,4
11 feb 2019,desktop,17
12 feb 2019,desktop,18
12 feb 2019,mobile,5
13 feb 2019,mobile,2
13 feb 2019,tablet,2
13 feb 2019,desktop,8
14 feb 2019,mobile,6
14 feb 2019,desktop,10
15 feb 2019,tablet,1
15 feb 2019,mobile,11
15 feb 2019,desktop,9
16 feb 2019,mobile,7
16 feb 2019,desktop,7
17 feb 2019,mobile,6
17 feb 2019,desktop,6
18 feb 2019,mobile,11
18 feb 2019,desktop,20
19 feb 2019,tablet,2
19 feb 2019,desktop,10
