Fecha,Agrupación de canales predeterminada,Número de vistas de página
26 dic 2018,Direct,5
27 dic 2018,Direct,32
27 dic 2018,Organic Search,12
28 dic 2018,Organic Search,12
29 dic 2018,Direct,2
29 dic 2018,Organic Search,8
30 dic 2018,Organic Search,26
31 dic 2018,Organic Search,1
1 ene 2019,Organic Search,11
2 ene 2019,Direct,6
2 ene 2019,Organic Search,3
3 ene 2019,Organic Search,3
4 ene 2019,Organic Search,9
4 ene 2019,Direct,1
5 ene 2019,Organic Search,4
6 ene 2019,Organic Search,8
7 ene 2019,Organic Search,5
8 ene 2019,Direct,1
8 ene 2019,Organic Search,25
9 ene 2019,Organic Search,10
10 ene 2019,Organic Search,16
11 ene 2019,Organic Search,38
12 ene 2019,Organic Search,6
12 ene 2019,Direct,2
13 ene 2019,Direct,4
13 ene 2019,Organic Search,7
14 ene 2019,Direct,1
14 ene 2019,Organic Search,5
15 ene 2019,Referral,1
15 ene 2019,Organic Search,5
16 ene 2019,Organic Search,39
16 ene 2019,Direct,5
17 ene 2019,Organic Search,56
18 ene 2019,Organic Search,36
18 ene 2019,Direct,1
19 ene 2019,Referral,1
19 ene 2019,Organic Search,33
20 ene 2019,Organic Search,33
21 ene 2019,Organic Search,20
21 ene 2019,Direct,1
22 ene 2019,Direct,1
22 ene 2019,Organic Search,7
23 ene 2019,Organic Search,7
23 ene 2019,Direct,1
24 ene 2019,Referral,1
24 ene 2019,Organic Search,56
24 ene 2019,Direct,20
25 ene 2019,Organic Search,86
25 ene 2019,Direct,1
26 ene 2019,Organic Search,16
27 ene 2019,Social,1
28 ene 2019,Direct,3
28 ene 2019,Organic Search,20
29 ene 2019,Organic Search,40
29 ene 2019,Social,20
30 ene 2019,Organic Search,26
30 ene 2019,Social,5
31 ene 2019,Social,7
31 ene 2019,Organic Search,50
31 ene 2019,Direct,2
1 feb 2019,Organic Search,10
1 feb 2019,Direct,6
1 feb 2019,Social,1
2 feb 2019,Organic Search,76
3 feb 2019,Organic Search,14
3 feb 2019,Direct,20
4 feb 2019,Organic Search,16
5 feb 2019,Organic Search,8
6 feb 2019,Direct,1
6 feb 2019,Organic Search,56
7 feb 2019,Referral,3
7 feb 2019,Direct,2
7 feb 2019,Social,1
7 feb 2019,Organic Search,16
8 feb 2019,Organic Search,19
8 feb 2019,Direct,1
9 feb 2019,Referral,1
9 feb 2019,Organic Search,17
9 feb 2019,Social,1
10 feb 2019,Organic Search,4
11 feb 2019,Direct,3
11 feb 2019,Organic Search,60
11 feb 2019,Social,226
11 feb 2019,Referral,5
12 feb 2019,Referral,17
12 feb 2019,Organic Search,57
12 feb 2019,Direct,27
12 feb 2019,Social,75
13 feb 2019,Social,172
13 feb 2019,Referral,21
13 feb 2019,Direct,14
13 feb 2019,Organic Search,16
14 feb 2019,Organic Search,30
14 feb 2019,Direct,17
14 feb 2019,Social,8
15 feb 2019,Direct,1
15 feb 2019,Social,57
15 feb 2019,Organic Search,15
16 feb 2019,Social,2
16 feb 2019,Direct,1
16 feb 2019,Organic Search,27
17 feb 2019,Direct,1
17 feb 2019,Organic Search,27
18 feb 2019,Organic Search,20
18 feb 2019,Social,1
18 feb 2019,Direct,6
18 feb 2019,Referral,20
19 feb 2019,Direct,2
19 feb 2019,Organic Search,55
20 feb 2019,Social,14
20 feb 2019,Referral,8
20 feb 2019,Organic Search,60
20 feb 2019,Direct,28
21 feb 2019,Direct,6
21 feb 2019,Organic Search,90
21 feb 2019,Referral,1
22 feb 2019,Social,13
22 feb 2019,Direct,7
22 feb 2019,Organic Search,57
22 feb 2019,Referral,2
23 feb 2019,Organic Search,30
23 feb 2019,Social,3
24 feb 2019,Direct,4
24 feb 2019,Social,2
24 feb 2019,Organic Search,71
25 feb 2019,Organic Search,25
25 feb 2019,Social,2
25 feb 2019,Referral,13
25 feb 2019,Direct,20
26 feb 2019,Referral,7
26 feb 2019,Organic Search,53
26 feb 2019,Direct,9
26 feb 2019,Social,8
27 feb 2019,Direct,19
27 feb 2019,Referral,2
27 feb 2019,Organic Search,74
28 feb 2019,Organic Search,69
28 feb 2019,Social,1
28 feb 2019,Direct,10
1 mar 2019,Direct,12
1 mar 2019,Organic Search,37
2 mar 2019,Organic Search,4
3 mar 2019,Organic Search,15
4 mar 2019,Organic Search,10
4 mar 2019,Direct,11
5 mar 2019,Organic Search,34
5 mar 2019,Direct,1
5 mar 2019,Referral,1
6 mar 2019,Social,11
6 mar 2019,Referral,3
6 mar 2019,Organic Search,26
6 mar 2019,Direct,10
7 mar 2019,Organic Search,53
7 mar 2019,Social,10
7 mar 2019,Direct,7
7 mar 2019,Referral,1
8 mar 2019,Referral,5
8 mar 2019,Direct,8
8 mar 2019,Organic Search,97
8 mar 2019,Social,4
9 mar 2019,Organic Search,46
9 mar 2019,Direct,15
9 mar 2019,Social,4
10 mar 2019,Referral,1
10 mar 2019,Organic Search,53
10 mar 2019,Direct,4
11 mar 2019,Referral,2
11 mar 2019,Direct,9
11 mar 2019,Organic Search,78
11 mar 2019,Social,76
12 mar 2019,Social,71
12 mar 2019,Organic Search,58
12 mar 2019,Direct,12
12 mar 2019,Referral,5
13 mar 2019,Direct,5
13 mar 2019,Referral,24
13 mar 2019,Organic Search,74
14 mar 2019,Organic Search,83
14 mar 2019,Direct,7
14 mar 2019,Social,2
14 mar 2019,Referral,1
15 mar 2019,Organic Search,55
15 mar 2019,Direct,6
15 mar 2019,Social,20
15 mar 2019,Referral,48
16 mar 2019,Organic Search,9
16 mar 2019,Social,1
16 mar 2019,Direct,3
16 mar 2019,Referral,1
17 mar 2019,Organic Search,42
17 mar 2019,Social,2
18 mar 2019,Direct,3
18 mar 2019,Referral,5
18 mar 2019,Social,19
18 mar 2019,Organic Search,57
19 mar 2019,Direct,11
19 mar 2019,Social,46
19 mar 2019,Organic Search,45
20 mar 2019,Referral,5
20 mar 2019,Social,8
20 mar 2019,Direct,13
20 mar 2019,Organic Search,133
21 mar 2019,Social,4
21 mar 2019,Referral,82
21 mar 2019,Organic Search,141
21 mar 2019,Direct,38
22 mar 2019,Social,13
22 mar 2019,Referral,31
22 mar 2019,Organic Search,182
22 mar 2019,Direct,50
23 mar 2019,Organic Search,13
23 mar 2019,Social,9
23 mar 2019,Direct,6
24 mar 2019,Direct,31
24 mar 2019,Organic Search,56
24 mar 2019,Referral,3
24 mar 2019,Social,8
25 mar 2019,Referral,7
25 mar 2019,Social,12
25 mar 2019,Organic Search,155
25 mar 2019,Direct,12
26 mar 2019,Social,3
26 mar 2019,Referral,23
26 mar 2019,Direct,48
26 mar 2019,Organic Search,174
27 mar 2019,Social,3
27 mar 2019,Referral,8
27 mar 2019,Direct,21
27 mar 2019,Organic Search,73
28 mar 2019,Referral,12
28 mar 2019,Social,39
28 mar 2019,Organic Search,122
28 mar 2019,Direct,17
29 mar 2019,Social,21
29 mar 2019,Referral,5
29 mar 2019,Organic Search,52
29 mar 2019,Direct,81
30 mar 2019,Direct,13
30 mar 2019,Organic Search,35
30 mar 2019,Social,6
31 mar 2019,Social,8
31 mar 2019,Direct,13
31 mar 2019,Organic Search,29
1 abr 2019,Referral,44
1 abr 2019,Organic Search,93
1 abr 2019,Direct,29
1 abr 2019,Social,17
2 abr 2019,Direct,49
2 abr 2019,Social,3
2 abr 2019,Organic Search,40
2 abr 2019,Referral,5
3 abr 2019,Direct,46
3 abr 2019,Social,21
3 abr 2019,Referral,129
3 abr 2019,Organic Search,113
4 abr 2019,Organic Search,93
4 abr 2019,Direct,28
4 abr 2019,Referral,46
4 abr 2019,Social,9
5 abr 2019,Direct,231
5 abr 2019,Social,1
5 abr 2019,Referral,86
5 abr 2019,Organic Search,65
6 abr 2019,Referral,5
6 abr 2019,Social,2
6 abr 2019,Direct,23
6 abr 2019,Organic Search,55
7 abr 2019,Direct,6
7 abr 2019,Social,4
7 abr 2019,Organic Search,71
7 abr 2019,Referral,3
8 abr 2019,Direct,6
8 abr 2019,Organic Search,91
8 abr 2019,Referral,9
8 abr 2019,Social,9
9 abr 2019,Direct,30
9 abr 2019,Social,17
9 abr 2019,Referral,23
9 abr 2019,Organic Search,169
10 abr 2019,Social,18
10 abr 2019,Direct,20
10 abr 2019,Organic Search,114
10 abr 2019,Referral,4
11 abr 2019,Direct,26
11 abr 2019,Organic Search,161
11 abr 2019,Referral,7
11 abr 2019,Social,14
12 abr 2019,Social,15
12 abr 2019,Organic Search,175
12 abr 2019,Direct,15
12 abr 2019,Referral,4
13 abr 2019,Organic Search,89
13 abr 2019,Social,2
13 abr 2019,Direct,3
14 abr 2019,Organic Search,65
14 abr 2019,Social,2
14 abr 2019,Direct,10
15 abr 2019,Social,6
15 abr 2019,Organic Search,157
15 abr 2019,Referral,12
15 abr 2019,Direct,11
16 abr 2019,Social,14
16 abr 2019,Direct,2
16 abr 2019,Organic Search,117
17 abr 2019,Social,3
17 abr 2019,Organic Search,40
17 abr 2019,Direct,57
17 abr 2019,Referral,11
18 abr 2019,Direct,18
18 abr 2019,Social,1
18 abr 2019,Organic Search,29
19 abr 2019,Organic Search,107
19 abr 2019,Direct,4
20 abr 2019,Organic Search,33
20 abr 2019,Direct,12
20 abr 2019,Referral,1
21 abr 2019,Direct,6
21 abr 2019,Organic Search,41
21 abr 2019,Social,5
22 abr 2019,Organic Search,219
22 abr 2019,Social,5
22 abr 2019,Direct,7
22 abr 2019,Referral,3
23 abr 2019,Direct,39
23 abr 2019,Social,3
23 abr 2019,Referral,3
23 abr 2019,Organic Search,113
24 abr 2019,Social,12
24 abr 2019,Direct,24
24 abr 2019,Organic Search,71
25 abr 2019,Direct,25
25 abr 2019,Organic Search,68
25 abr 2019,Social,5
26 abr 2019,Referral,4
26 abr 2019,Organic Search,89
26 abr 2019,Direct,12
26 abr 2019,Social,6
27 abr 2019,Direct,1
27 abr 2019,Social,2
27 abr 2019,Organic Search,54
28 abr 2019,Organic Search,86
28 abr 2019,Social,16
28 abr 2019,Direct,6
29 abr 2019,Referral,3
29 abr 2019,Social,30
29 abr 2019,Direct,21
29 abr 2019,Organic Search,81
30 abr 2019,Organic Search,53
30 abr 2019,Referral,27
30 abr 2019,Social,9
1 may 2019,Referral,4
1 may 2019,Organic Search,33
1 may 2019,Direct,1
1 may 2019,Social,2
2 may 2019,Referral,31
2 may 2019,Organic Search,109
2 may 2019,Direct,13
2 may 2019,Social,9
3 may 2019,Social,33
3 may 2019,Organic Search,89
3 may 2019,Referral,3
3 may 2019,Direct,86
4 may 2019,Social,11
4 may 2019,Direct,8
4 may 2019,Organic Search,43
4 may 2019,Referral,1
5 may 2019,Organic Search,58
5 may 2019,Social,3
5 may 2019,Referral,9
6 may 2019,Social,84
6 may 2019,Organic Search,131
6 may 2019,Referral,3
6 may 2019,Direct,47
7 may 2019,Social,8
7 may 2019,Organic Search,84
7 may 2019,Referral,33
7 may 2019,Direct,25
8 may 2019,Referral,10
8 may 2019,Direct,16
8 may 2019,Social,4
8 may 2019,Organic Search,118
9 may 2019,Organic Search,101
9 may 2019,Referral,4
