,Unnamed: 0.1,Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones,mobile Vistas,mobile Usuarios nuevos,mobile Total de usuarios,mobile Sesiones por usuario,mobile Sesiones,desktop Vistas,desktop Usuarios nuevos,desktop Total de usuarios,desktop Sesiones por usuario,desktop Sesiones,tablet Vistas,tablet Usuarios nuevos,tablet Total de usuarios,tablet Sesiones por usuario,tablet Sesiones
62,62,23 oct 2018,112,36,45,2.2142857142857144,50,77.0,18.0,24.0,1.1666666666666667,28.0,35.0,18.0,21.0,1.0476190476190477,22.0,,,,,
63,63,24 oct 2018,40,11,16,2.3650793650793656,19,25.0,6.0,9.0,1.2222222222222223,11.0,15.0,5.0,7.0,1.1428571428571428,8.0,,,,,
64,64,25 oct 2018,42,11,18,2.1,19,18.0,5.0,8.0,1.0,8.0,24.0,6.0,10.0,1.1,11.0,,,,,
65,65,26 oct 2018,73,14,24,2.1333333333333333,26,28.0,6.0,9.0,1.0,9.0,45.0,8.0,15.0,1.1333333333333333,17.0,,,,,
66,66,27 oct 2018,37,7,15,2.5357142857142856,19,23.0,3.0,7.0,1.2857142857142858,9.0,14.0,4.0,8.0,1.25,10.0,,,,,
67,67,28 oct 2018,26,6,13,2.25,15,19.0,2.0,8.0,1.25,10.0,7.0,4.0,5.0,1.0,5.0,,,,,
68,68,29 oct 2018,25,12,16,2.142857142857143,17,12.0,5.0,7.0,1.1428571428571428,8.0,13.0,7.0,9.0,1.0,9.0,,,,,
69,69,30 oct 2018,116,26,38,2.5658263305322127,48,70.0,13.0,17.0,1.4705882352941178,25.0,46.0,13.0,21.0,1.0952380952380951,23.0,,,,,
70,70,31 oct 2018,23,4,6,3.25,9,8.0,1.0,2.0,2.0,4.0,15.0,3.0,4.0,1.25,5.0,,,,,
71,71,1 nov 2018,71,22,31,2.130434782608696,34,20.0,5.0,8.0,1.0,8.0,51.0,17.0,23.0,1.1304347826086956,26.0,,,,,
72,72,2 nov 2018,55,11,19,2.6333333333333333,25,17.0,7.0,9.0,1.3333333333333333,12.0,38.0,4.0,10.0,1.3,13.0,,,,,
73,73,3 nov 2018,78,28,36,2.269230769230769,43,62.0,22.0,26.0,1.2692307692307692,33.0,16.0,6.0,10.0,1.0,10.0,,,,,
74,74,4 nov 2018,17,7,9,2.166666666666667,10,9.0,4.0,6.0,1.1666666666666667,7.0,8.0,3.0,3.0,1.0,3.0,,,,,
75,75,5 nov 2018,112,22,36,3.265151515151516,40,17.0,7.0,11.0,1.181818181818182,13.0,94.0,14.0,24.0,1.0833333333333333,26.0,1.0,1.0,1.0,1.0,1.0
76,76,6 nov 2018,92,21,36,2.250836120401338,41,52.0,11.0,23.0,1.173913043478261,27.0,40.0,10.0,13.0,1.0769230769230769,14.0,,,,,
77,77,7 nov 2018,34,12,21,2.083333333333333,22,14.0,3.0,9.0,1.0,9.0,20.0,9.0,12.0,1.0833333333333333,13.0,,,,,
78,78,8 nov 2018,18,8,12,2.0,12,4.0,2.0,3.0,1.0,3.0,14.0,6.0,9.0,1.0,9.0,,,,,
79,79,9 nov 2018,24,7,9,2.45,11,9.0,2.0,4.0,1.25,5.0,15.0,5.0,5.0,1.2,6.0,,,,,
80,80,10 nov 2018,25,5,8,2.533333333333333,10,20.0,3.0,5.0,1.2,6.0,5.0,2.0,3.0,1.3333333333333333,4.0,,,,,
81,81,11 nov 2018,9,6,8,2.0,8,3.0,1.0,2.0,1.0,2.0,6.0,5.0,6.0,1.0,6.0,,,,,
82,82,12 nov 2018,30,18,22,2.0625,23,10.0,4.0,6.0,1.0,6.0,20.0,14.0,16.0,1.0625,17.0,,,,,
83,83,13 nov 2018,94,21,29,2.271428571428572,33,43.0,11.0,14.0,1.0714285714285714,15.0,51.0,10.0,15.0,1.2,18.0,,,,,
84,84,14 nov 2018,48,17,22,2.1875,25,20.0,5.0,6.0,1.0,6.0,28.0,12.0,16.0,1.1875,19.0,,,,,
85,85,15 nov 2018,24,10,18,2.0,18,8.0,2.0,5.0,1.0,5.0,16.0,8.0,13.0,1.0,13.0,,,,,
86,86,16 nov 2018,40,17,22,2.3214285714285707,25,14.0,8.0,8.0,1.25,10.0,26.0,9.0,14.0,1.0714285714285714,15.0,,,,,
87,87,17 nov 2018,27,7,11,2.0,11,25.0,6.0,9.0,1.0,9.0,2.0,1.0,2.0,1.0,2.0,,,,,
88,88,18 nov 2018,24,9,14,2.4285714285714293,17,13.0,4.0,7.0,1.2857142857142858,9.0,11.0,5.0,7.0,1.1428571428571428,8.0,,,,,
89,89,19 nov 2018,20,4,8,2.0,8,11.0,3.0,6.0,1.0,6.0,9.0,1.0,2.0,1.0,2.0,,,,,
90,90,20 nov 2018,72,20,27,2.21978021978022,30,40.0,11.0,14.0,1.1428571428571428,16.0,32.0,9.0,13.0,1.0769230769230769,14.0,,,,,
91,91,21 nov 2018,68,8,15,2.6,19,22.0,2.0,5.0,1.4,7.0,46.0,6.0,10.0,1.2,12.0,,,,,
92,92,22 nov 2018,41,15,23,2.083333333333333,24,20.0,9.0,11.0,1.0,11.0,21.0,6.0,12.0,1.0833333333333333,13.0,,,,,
93,93,23 nov 2018,53,17,25,2.090909090909091,26,22.0,11.0,14.0,1.0,14.0,31.0,6.0,11.0,1.0909090909090908,12.0,,,,,
94,94,24 nov 2018,33,6,11,2.7142857142857144,16,25.0,3.0,7.0,1.7142857142857142,12.0,8.0,3.0,4.0,1.0,4.0,,,,,
95,95,25 nov 2018,12,2,7,3.0,12,2.0,0.0,2.0,1.0,2.0,10.0,2.0,5.0,2.0,10.0,,,,,
96,96,26 nov 2018,33,10,17,2.3611111111111107,20,15.0,5.0,8.0,1.25,10.0,18.0,5.0,9.0,1.1111111111111112,10.0,,,,,
97,97,27 nov 2018,53,10,21,2.0769230769230766,22,28.0,4.0,8.0,1.0,8.0,25.0,6.0,13.0,1.0769230769230769,14.0,,,,,
98,98,28 nov 2018,24,9,14,2.0,14,6.0,2.0,4.0,1.0,4.0,18.0,7.0,10.0,1.0,10.0,,,,,
99,99,29 nov 2018,29,12,16,2.0,16,15.0,6.0,7.0,1.0,7.0,14.0,6.0,9.0,1.0,9.0,,,,,
100,100,30 nov 2018,28,9,17,2.1818181818181817,19,18.0,5.0,11.0,1.181818181818182,13.0,10.0,4.0,6.0,1.0,6.0,,,,,
101,101,1 dic 2018,13,3,9,2.2,10,9.0,1.0,5.0,1.2,6.0,4.0,2.0,4.0,1.0,4.0,,,,,
102,102,2 dic 2018,15,2,8,2.0,8,10.0,1.0,5.0,1.0,5.0,5.0,1.0,3.0,1.0,3.0,,,,,
103,103,3 dic 2018,57,24,31,2.0625,32,37.0,12.0,16.0,1.0625,17.0,20.0,12.0,15.0,1.0,15.0,,,,,
104,104,4 dic 2018,27,8,15,2.2857142857142856,17,8.0,5.0,8.0,1.0,8.0,19.0,3.0,7.0,1.2857142857142858,9.0,,,,,
105,105,5 dic 2018,19,8,13,2.0,13,2.0,1.0,2.0,1.0,2.0,17.0,7.0,11.0,1.0,11.0,,,,,
106,106,6 dic 2018,11,7,7,1.0,7,,,,,,11.0,7.0,7.0,1.0,7.0,,,,,
107,107,7 dic 2018,29,14,19,2.25,21,17.0,7.0,8.0,1.25,10.0,12.0,7.0,11.0,1.0,11.0,,,,,
108,108,8 dic 2018,23,8,14,2.125,15,13.0,4.0,8.0,1.125,9.0,10.0,4.0,6.0,1.0,6.0,,,,,
109,109,9 dic 2018,19,7,12,2.125,13,15.0,5.0,8.0,1.125,9.0,4.0,2.0,4.0,1.0,4.0,,,,,
110,110,10 dic 2018,48,8,15,2.1,16,8.0,2.0,5.0,1.0,5.0,40.0,6.0,10.0,1.1,11.0,,,,,
111,111,11 dic 2018,145,16,21,2.117647058823529,23,5.0,4.0,4.0,1.0,4.0,140.0,12.0,17.0,1.1176470588235294,19.0,,,,,
112,112,12 dic 2018,21,8,11,3.111111111111111,14,6.0,2.0,2.0,2.0,4.0,15.0,6.0,9.0,1.1111111111111112,10.0,,,,,
113,113,13 dic 2018,16,9,12,2.2,14,2.0,2.0,2.0,1.0,2.0,14.0,7.0,10.0,1.2,12.0,,,,,
114,114,14 dic 2018,41,13,21,2.2142857142857144,23,12.0,5.0,7.0,1.1428571428571428,8.0,29.0,8.0,14.0,1.0714285714285714,15.0,,,,,
115,115,15 dic 2018,18,5,10,2.5,13,14.0,2.0,6.0,1.5,9.0,4.0,3.0,4.0,1.0,4.0,,,,,
116,116,16 dic 2018,5,3,5,2.0,5,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,,
117,117,17 dic 2018,33,13,18,2.1111111111111107,19,9.0,8.0,9.0,1.0,9.0,24.0,5.0,9.0,1.1111111111111112,10.0,,,,,
118,118,18 dic 2018,15,10,10,2.0,10,1.0,1.0,1.0,1.0,1.0,14.0,9.0,9.0,1.0,9.0,,,,,
119,119,19 dic 2018,17,8,11,1.181818181818182,13,,,,,,17.0,8.0,11.0,1.181818181818182,13.0,,,,,
120,120,20 dic 2018,6,4,5,2.0,5,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,,
121,121,21 dic 2018,25,7,8,2.0,8,6.0,3.0,3.0,1.0,3.0,19.0,4.0,5.0,1.0,5.0,,,,,
122,122,22 dic 2018,48,16,17,2.166666666666667,19,42.0,11.0,12.0,1.1666666666666667,14.0,6.0,5.0,5.0,1.0,5.0,,,,,
123,123,23 dic 2018,3,2,3,2.0,3,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,,,,,
124,124,24 dic 2018,9,3,4,2.0,4,8.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
125,125,25 dic 2018,3,1,2,1.0,2,,,,,,3.0,1.0,2.0,1.0,2.0,,,,,
126,126,26 dic 2018,18,6,8,2.333333333333333,10,3.0,2.0,2.0,1.0,2.0,15.0,4.0,6.0,1.3333333333333333,8.0,,,,,
127,127,27 dic 2018,25,8,9,2.0,9,9.0,4.0,5.0,1.0,5.0,16.0,4.0,4.0,1.0,4.0,,,,,
128,128,28 dic 2018,82,7,11,3.1428571428571432,12,3.0,3.0,3.0,1.0,3.0,78.0,3.0,7.0,1.1428571428571428,8.0,1.0,1.0,1.0,1.0,1.0
129,129,29 dic 2018,57,5,8,3.0,11,10.0,2.0,5.0,1.0,5.0,47.0,3.0,3.0,2.0,6.0,,,,,
130,130,30 dic 2018,3,1,3,2.0,3,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
131,131,31 dic 2018,18,3,5,1.0,5,,,,,,18.0,3.0,5.0,1.0,5.0,,,,,
132,132,1 ene 2019,2,1,1,1.0,1,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,
133,133,2 ene 2019,21,9,10,2.142857142857143,11,3.0,2.0,3.0,1.0,3.0,18.0,7.0,7.0,1.1428571428571428,8.0,,,,,
134,134,3 ene 2019,56,9,11,2.1111111111111107,12,2.0,1.0,2.0,1.0,2.0,54.0,8.0,9.0,1.1111111111111112,10.0,,,,,
135,135,4 ene 2019,6,3,5,2.0,5,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,4.0,,,,,
136,136,5 ene 2019,7,5,5,2.0,5,1.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,4.0,,,,,
137,137,6 ene 2019,12,4,6,2.0,6,5.0,1.0,3.0,1.0,3.0,7.0,3.0,3.0,1.0,3.0,,,,,
138,138,7 ene 2019,10,7,8,1.0,8,,,,,,10.0,7.0,8.0,1.0,8.0,,,,,
139,139,8 ene 2019,19,5,7,2.166666666666667,8,1.0,1.0,1.0,1.0,1.0,18.0,4.0,6.0,1.1666666666666667,7.0,,,,,
140,140,9 ene 2019,9,7,7,2.0,7,2.0,2.0,2.0,1.0,2.0,7.0,5.0,5.0,1.0,5.0,,,,,
141,141,10 ene 2019,1,0,1,1.0,1,,,,,,1.0,0.0,1.0,1.0,1.0,,,,,
142,142,11 ene 2019,10,6,8,2.5,10,4.0,2.0,4.0,1.0,4.0,6.0,4.0,4.0,1.5,6.0,,,,,
143,143,12 ene 2019,11,2,3,2.0,6,,,,,,11.0,2.0,3.0,2.0,6.0,,,,,
144,144,13 ene 2019,10,3,7,2.4,9,2.0,1.0,2.0,1.0,2.0,8.0,2.0,5.0,1.4,7.0,,,,,
145,145,14 ene 2019,31,8,9,3.7142857142857135,16,4.0,2.0,2.0,2.0,4.0,27.0,6.0,7.0,1.7142857142857142,12.0,,,,,
146,146,15 ene 2019,52,7,10,2.2857142857142856,12,3.0,2.0,3.0,1.0,3.0,49.0,5.0,7.0,1.2857142857142858,9.0,,,,,
147,147,16 ene 2019,18,3,6,3.0,10,2.0,1.0,2.0,1.0,2.0,16.0,2.0,4.0,2.0,8.0,,,,,
148,148,17 ene 2019,51,3,6,2.2,7,2.0,1.0,1.0,1.0,1.0,49.0,2.0,5.0,1.2,6.0,,,,,
149,149,18 ene 2019,33,11,15,2.25,18,4.0,3.0,3.0,1.0,3.0,29.0,8.0,12.0,1.25,15.0,,,,,
150,150,19 ene 2019,13,3,6,2.0,6,12.0,3.0,5.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,,,,,
151,151,20 ene 2019,11,3,5,2.333333333333333,6,3.0,1.0,2.0,1.0,2.0,8.0,2.0,3.0,1.3333333333333333,4.0,,,,,
152,152,21 ene 2019,15,5,9,2.142857142857143,10,2.0,0.0,2.0,1.0,2.0,13.0,5.0,7.0,1.1428571428571428,8.0,,,,,
153,153,22 ene 2019,53,6,10,2.0,10,6.0,2.0,4.0,1.0,4.0,47.0,4.0,6.0,1.0,6.0,,,,,
154,154,23 ene 2019,26,5,9,3.2,10,11.0,1.0,3.0,1.0,3.0,10.0,3.0,5.0,1.2,6.0,5.0,1.0,1.0,1.0,1.0
155,155,24 ene 2019,38,4,8,3.166666666666667,13,5.0,1.0,2.0,1.5,3.0,33.0,3.0,6.0,1.6666666666666667,10.0,,,,,
156,156,25 ene 2019,18,7,8,2.2,9,12.0,3.0,3.0,1.0,3.0,6.0,4.0,5.0,1.2,6.0,,,,,
157,157,26 ene 2019,11,2,7,2.0,7,5.0,0.0,2.0,1.0,2.0,6.0,2.0,5.0,1.0,5.0,,,,,
158,158,27 ene 2019,4,3,3,1.0,3,4.0,3.0,3.0,1.0,3.0,,,,,,,,,,
159,159,28 ene 2019,26,6,10,3.6,18,18.0,4.0,5.0,2.4,12.0,8.0,2.0,5.0,1.2,6.0,,,,,
160,160,29 ene 2019,23,7,12,2.25,13,7.0,1.0,4.0,1.25,5.0,16.0,6.0,8.0,1.0,8.0,,,,,
161,161,30 ene 2019,14,5,7,2.25,8,9.0,2.0,4.0,1.25,5.0,5.0,3.0,3.0,1.0,3.0,,,,,
162,162,31 ene 2019,7,2,5,2.0,5,5.0,2.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,,,,,
163,163,1 feb 2019,24,5,11,2.0,11,15.0,3.0,6.0,1.0,6.0,9.0,2.0,5.0,1.0,5.0,,,,,
164,164,2 feb 2019,12,2,4,2.333333333333333,5,11.0,1.0,3.0,1.3333333333333333,4.0,1.0,1.0,1.0,1.0,1.0,,,,,
165,165,3 feb 2019,3,2,3,2.0,3,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,,,,,
166,166,4 feb 2019,44,14,20,2.0,20,14.0,7.0,9.0,1.0,9.0,30.0,7.0,11.0,1.0,11.0,,,,,
167,167,5 feb 2019,12,7,9,2.333333333333333,10,8.0,5.0,6.0,1.0,6.0,4.0,2.0,3.0,1.3333333333333333,4.0,,,,,
168,168,6 feb 2019,21,7,10,2.0,10,5.0,3.0,3.0,1.0,3.0,16.0,4.0,7.0,1.0,7.0,,,,,
169,169,7 feb 2019,117,9,11,2.2,13,2.0,1.0,1.0,1.0,1.0,115.0,8.0,10.0,1.2,12.0,,,,,
170,170,8 feb 2019,18,10,12,2.0,12,8.0,5.0,5.0,1.0,5.0,10.0,5.0,7.0,1.0,7.0,,,,,
171,171,9 feb 2019,17,10,12,2.0,12,8.0,4.0,5.0,1.0,5.0,9.0,6.0,7.0,1.0,7.0,,,,,
172,172,10 feb 2019,12,6,7,2.333333333333333,8,4.0,2.0,3.0,1.3333333333333333,4.0,8.0,4.0,4.0,1.0,4.0,,,,,
173,173,11 feb 2019,21,8,14,2.0,14,4.0,2.0,3.0,1.0,3.0,17.0,6.0,11.0,1.0,11.0,,,,,
174,174,12 feb 2019,23,16,20,2.0,20,5.0,5.0,5.0,1.0,5.0,18.0,11.0,15.0,1.0,15.0,,,,,
175,175,13 feb 2019,12,8,10,4.142857142857142,12,2.0,1.0,2.0,1.0,2.0,8.0,6.0,7.0,1.1428571428571428,8.0,2.0,1.0,1.0,2.0,2.0
176,176,14 feb 2019,16,3,10,2.761904761904762,14,6.0,2.0,3.0,1.3333333333333333,4.0,10.0,1.0,7.0,1.4285714285714286,10.0,,,,,
177,177,15 feb 2019,21,7,12,3.333333333333333,13,11.0,3.0,3.0,1.3333333333333333,4.0,9.0,3.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0
178,178,16 feb 2019,14,6,8,2.0,8,7.0,1.0,2.0,1.0,2.0,7.0,5.0,6.0,1.0,6.0,,,,,
179,179,17 feb 2019,12,6,8,2.0,8,6.0,2.0,4.0,1.0,4.0,6.0,4.0,4.0,1.0,4.0,,,,,
180,180,18 feb 2019,31,17,21,2.0,21,11.0,9.0,11.0,1.0,11.0,20.0,8.0,10.0,1.0,10.0,,,,,
181,181,19 feb 2019,14,8,12,3.111111111111111,13,2.0,2.0,2.0,1.0,2.0,10.0,5.0,9.0,1.1111111111111112,10.0,2.0,1.0,1.0,1.0,1.0
182,182,20 feb 2019,20,14,17,2.0,17,7.0,5.0,5.0,1.0,5.0,13.0,9.0,12.0,1.0,12.0,,,,,
