,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,BlackBerry,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
266,15 may 2019,18,6,9,1.0,9,17,1,7,11,0,6.0,4.546060565661952,11,7,0,0,0,0,0,0,0,0,1.8,3.7094473981982814,15,0,3,0,4.5,6.1846584384264895
267,16 may 2019,38,12,19,1.0,19,38,0,11,27,0,12.666666666666664,11.08552609887726,22,11,0,5,0,0,0,0,0,0,3.8,6.968500556073737,25,1,11,1,9.5,9.836157786453
268,17 may 2019,68,21,33,1.0303030303030305,34,66,2,7,61,0,22.66666666666667,27.25598812901284,53,6,7,1,0,1,0,0,0,0,6.8,15.599999999999996,58,0,10,0,17.0,24.020824298928627
269,18 may 2019,10,6,7,1.0,7,10,0,7,3,0,3.333333333333333,2.867441755680876,3,7,0,0,0,0,0,0,0,0,1.0,2.1908902300206643,9,0,1,0,2.5,3.7749172176353754
270,19 may 2019,29,7,11,1.0909090909090908,12,29,0,8,19,2,9.666666666666666,7.039570693980958,17,8,2,0,0,2,0,0,0,0,2.9,5.262128846769149,20,0,9,0,7.25,8.227241335952167
271,20 may 2019,62,17,24,1.1666666666666667,28,62,0,15,45,2,20.666666666666668,18.006171781426012,39,13,2,4,0,4,0,0,0,0,6.2,11.582745788456206,35,4,23,0,15.5,14.221462653327892
272,21 may 2019,131,19,29,1.1379310344827591,33,119,12,66,65,0,43.66666666666666,30.879694874715906,64,66,0,1,0,0,0,0,0,0,13.1,25.95553890790942,108,2,21,0,32.75,44.21184795956849
273,22 may 2019,147,19,28,1.0714285714285714,30,145,2,22,125,0,49.0,54.48547206977899,125,20,0,0,0,2,0,0,0,0,14.7,37.239897959043866,122,2,21,2,36.75,49.826574235040475
274,23 may 2019,35,13,18,1.2222222222222223,22,34,1,25,10,0,11.666666666666664,10.274023338281626,8,24,1,1,0,0,0,0,1,0,3.5,7.214568594171102,14,2,19,0,8.75,7.980444849756184
275,24 may 2019,229,27,35,1.0,35,221,8,26,203,0,76.33333333333333,90.19361889229687,201,18,2,0,0,8,0,0,0,0,22.9,59.62289828580963,203,3,22,1,57.25,84.54695440996086
276,25 may 2019,38,11,16,1.1875,19,35,3,16,22,0,12.666666666666664,9.285592184789412,16,11,6,0,0,5,0,0,0,0,3.8,5.418486873657626,20,5,13,0,9.5,7.632168761236874
277,26 may 2019,16,2,6,1.6666666666666667,10,16,0,1,14,1,5.333333333333333,6.128258770283412,14,1,0,0,0,1,0,0,0,0,1.6,4.1521078984053394,12,1,3,0,4.0,4.743416490252568
278,27 may 2019,32,6,16,1.1875,19,31,1,2,30,0,10.666666666666666,13.695092389449425,25,1,1,4,0,1,0,0,0,0,3.2,7.359347797189638,19,4,9,0,8.0,7.106335201775948
279,28 may 2019,77,31,45,1.2,54,72,5,51,26,0,25.66666666666667,20.82199691565522,20,39,5,0,1,12,0,0,0,0,7.7,12.23968953854631,39,18,20,0,19.25,13.808964479641476
280,29 may 2019,25,6,8,1.25,10,25,0,13,12,0,8.333333333333334,5.9066817155564495,9,4,0,3,0,9,0,0,0,0,2.5,3.52845575287547,22,0,3,0,6.25,9.175374651751284
281,30 may 2019,102,22,30,1.2,36,95,7,46,56,0,34.0,24.385788210895843,51,37,2,3,0,9,0,0,0,0,10.2,17.388501948126528,61,17,24,0,25.5,22.276669409945463
282,31 may 2019,81,9,23,1.2608695652173914,29,80,1,7,74,0,27.0,33.35665850571167,72,7,2,0,0,0,0,0,0,0,8.1,21.403037167654496,67,0,14,0,20.25,27.58962667380623
