,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,BlackBerry,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
456,21 nov 2019,40,9,14,1.0714285714285714,15,40,0,23,17,0,13.333333333333336,9.741092797468305,16,23,1,0,0,0,0,0,0,0,4.0,7.912016177940992,30,2,6,2,10.0,11.6619037896906
457,22 nov 2019,22,13,17,1.0588235294117647,18,16,6,17,4,1,7.333333333333332,6.944222218666552,4,13,0,0,0,5,0,0,0,0,2.2,4.019950248448357,15,0,7,0,5.5,6.1846584384264895
458,23 nov 2019,29,10,12,1.25,15,17,12,21,8,0,9.666666666666666,8.65383665716478,7,21,0,1,0,0,0,0,0,0,2.9,6.3788713735268265,7,0,22,0,7.25,8.982622111610839
459,24 nov 2019,3,2,2,1.0,2,3,0,0,3,0,1.0,1.4142135623730951,3,0,0,0,0,0,0,0,0,0,0.3,0.9,1,0,2,0,0.75,0.82915619758885
460,25 nov 2019,8,5,8,1.0,8,8,0,3,5,0,2.6666666666666665,2.0548046676563256,4,3,1,0,0,0,0,0,0,0,0.8,1.4,6,0,2,0,2.0,2.449489742783178
461,26 nov 2019,17,7,7,1.1428571428571428,8,16,1,12,5,0,5.666666666666668,4.9216076867444665,4,12,1,0,0,0,0,0,0,0,1.7,3.6345563690772495,11,2,4,0,4.25,4.14578098794425
462,27 nov 2019,9,2,6,1.0,6,9,0,5,4,0,3.0,2.160246899469287,3,4,1,0,0,1,0,0,0,0,0.9,1.3747727084867518,5,0,4,0,2.25,2.2776083947860752
463,28 nov 2019,38,6,10,1.2,12,38,0,8,30,0,12.666666666666664,12.684198393626964,30,7,0,0,0,1,0,0,0,0,3.8,8.97552226892675,32,0,6,0,9.5,13.219304066402286
464,29 nov 2019,35,13,18,1.0555555555555556,19,32,3,27,8,0,11.666666666666664,11.323525167642016,7,26,1,0,0,1,0,0,0,0,3.5,7.774959806970066,6,1,26,2,8.75,10.133484099755623
465,30 nov 2019,14,7,9,1.1111111111111112,10,13,1,4,10,0,4.666666666666667,4.109609335312651,8,4,0,1,1,0,0,0,0,0,1.4,2.4979991993593598,8,2,4,0,3.5,2.9580398915498085
466,1 dic 2019,10,3,4,1.0,4,10,0,10,0,0,3.333333333333333,4.714045207910317,0,10,0,0,0,0,0,0,0,0,1.0,3.0,3,0,7,0,2.5,2.8722813232690143
467,2 dic 2019,31,9,14,1.0714285714285714,15,31,0,18,13,0,10.333333333333334,7.586537784494028,13,18,0,0,0,0,0,0,0,0,3.1,6.300000000000002,17,3,11,0,7.75,6.684870978560469
468,3 dic 2019,42,10,15,1.0666666666666669,16,42,0,6,35,1,14.0,14.98888477061141,34,6,0,1,0,1,0,0,0,0,4.2,10.087616170334794,29,0,13,0,10.5,11.926860441876563
469,4 dic 2019,35,18,21,1.0952380952380951,23,34,1,18,17,0,11.666666666666664,8.259674462242577,16,12,1,0,0,6,0,0,0,0,3.5,5.608029957123982,18,0,17,0,8.75,8.757139944068497
470,5 dic 2019,8,5,8,1.0,8,7,1,4,4,0,2.6666666666666665,1.8856180831641267,3,3,0,1,0,1,0,0,0,0,0.8,1.1661903789690602,1,0,6,1,2.0,2.345207879911715
471,6 dic 2019,33,15,23,1.0869565217391304,25,26,7,18,15,0,11.0,7.874007874011811,13,17,1,1,0,1,0,0,0,0,3.3,5.933801479658718,14,9,9,1,8.25,4.656984002549289
472,7 dic 2019,14,7,9,1.0,9,12,2,8,6,0,4.666666666666667,3.39934634239519,4,8,0,1,1,0,0,0,0,0,1.4,2.4979991993593598,6,4,4,0,3.5,2.179449471770337
473,8 dic 2019,4,2,4,1.0,4,3,1,3,1,0,1.3333333333333333,1.247219128924647,1,3,0,0,0,0,0,0,0,0,0.4,0.916515138991168,2,0,2,0,1.0,1.0
474,9 dic 2019,11,7,9,1.2222222222222223,11,9,2,2,9,0,3.6666666666666665,3.858612300930076,6,2,1,1,1,0,0,0,0,0,1.1,1.7578395831246951,3,1,7,0,2.75,2.680951323690902
475,10 dic 2019,18,7,7,1.0,7,18,0,1,17,0,6.0,7.788880963698615,17,1,0,0,0,0,0,0,0,0,1.8,5.075431016179809,7,0,2,9,4.5,3.6400549446402586
476,11 dic 2019,16,6,7,1.0,7,15,1,0,16,0,5.333333333333333,7.542472332656508,16,0,0,0,0,0,0,0,0,0,1.6,4.800000000000002,12,0,4,0,4.0,4.898979485566356
477,12 dic 2019,11,5,8,1.0,8,10,1,0,11,0,3.6666666666666665,5.1854497287013475,10,0,0,0,1,0,0,0,0,0,1.1,2.9816103031751138,7,1,3,0,2.75,2.680951323690902
478,13 dic 2019,11,5,8,1.0,8,10,1,2,9,0,3.6666666666666665,3.858612300930076,4,1,5,0,0,1,0,0,0,0,1.1,1.757839583124695,5,0,6,0,2.75,2.7726341266023544
479,14 dic 2019,18,8,9,1.0,9,16,2,2,16,0,6.0,7.118052168020874,14,2,0,0,2,0,0,0,0,0,1.8,4.1424630354415966,10,2,6,0,4.5,3.8405728739343035
480,15 dic 2019,8,4,5,1.0,5,7,1,3,5,0,2.6666666666666665,2.0548046676563256,4,3,1,0,0,0,0,0,0,0,0.8,1.4,2,0,3,3,2.0,1.224744871391589
481,16 dic 2019,17,8,11,1.0909090909090908,12,16,1,4,13,0,5.666666666666668,5.436502143433364,11,4,2,0,0,0,0,0,0,0,1.7,3.348133808556641,3,1,10,3,4.25,3.418698582794337
482,17 dic 2019,15,5,9,1.0,9,14,1,3,12,0,5.0,5.0990195135927845,8,3,3,0,1,0,0,0,0,0,1.5,2.4596747752497685,6,1,4,4,3.75,1.7853571071357126
483,18 dic 2019,18,6,8,1.0,8,17,1,1,17,0,6.0,7.788880963698615,17,1,0,0,0,0,0,0,0,0,1.8,5.075431016179809,10,0,8,0,4.5,4.5552167895721505
484,19 dic 2019,31,12,16,1.0,16,22,9,2,29,0,10.333333333333334,13.224556283251582,21,2,0,0,8,0,0,0,0,0,3.1,6.4257295305669375,12,0,17,2,7.75,7.013380069552769
485,20 dic 2019,16,6,7,1.2857142857142858,9,14,2,2,14,0,5.333333333333333,6.18241233033047,12,0,1,1,0,2,0,0,0,0,1.6,3.5270384177096803,0,0,16,0,4.0,6.92820323027551
486,21 dic 2019,10,6,7,1.0,7,10,0,5,5,0,3.333333333333333,2.3570226039551585,5,5,0,0,0,0,0,0,0,0,1.0,2.0,6,2,2,0,2.5,2.179449471770337
487,22 dic 2019,5,3,5,1.0,5,4,1,3,2,0,1.6666666666666667,1.247219128924647,2,3,0,0,0,0,0,0,0,0,0.5,1.02469507659596,2,0,3,0,1.25,1.299038105676658
488,23 dic 2019,19,4,7,1.0,7,16,3,0,19,0,6.333333333333332,8.956685895029603,15,0,3,0,1,0,0,0,0,0,1.9,4.459820624195553,15,1,3,0,4.75,6.015604707757982
489,24 dic 2019,1,1,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,1,0,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,0,0,1,0,0.25,0.4330127018922193
490,25 dic 2019,1,1,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,1,0,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,1,0,0,0,0.25,0.4330127018922193
491,26 dic 2019,7,5,5,1.2,6,6,1,2,4,1,2.333333333333333,1.247219128924647,4,2,0,0,0,1,0,0,0,0,0.7,1.2688577540449522,1,0,6,0,1.75,2.48746859276655
492,27 dic 2019,9,8,8,1.0,8,7,2,3,6,0,3.0,2.449489742783178,5,2,0,1,0,1,0,0,0,0,0.9,1.5132745950421556,2,0,5,2,2.25,1.7853571071357126
493,28 dic 2019,7,1,5,1.2,6,7,0,6,1,0,2.333333333333333,2.6246692913372702,1,6,0,0,0,0,0,0,0,0,0.7,1.791647286716891,3,0,4,0,1.75,1.7853571071357126
494,29 dic 2019,3,1,3,1.0,3,3,0,1,2,0,1.0,0.8164965809277259,2,0,0,0,0,1,0,0,0,0,0.3,0.6403124237432848,2,0,1,0,0.75,0.82915619758885
495,30 dic 2019,13,6,7,1.1428571428571428,8,12,1,5,8,0,4.333333333333333,3.2998316455372216,8,5,0,0,0,0,0,0,0,0,1.3,2.6851443164195095,2,0,11,0,3.25,4.548351349665063
496,31 dic 2019,3,3,3,1.0,3,0,3,1,2,0,1.0,0.8164965809277259,0,1,0,0,2,0,0,0,0,0,0.3,0.6403124237432848,0,2,1,0,0.75,0.82915619758885
497,1 ene 2020,2,2,2,1.0,2,2,0,1,1,0,0.6666666666666666,0.4714045207910317,1,1,0,0,0,0,0,0,0,0,0.2,0.4000000000000001,1,0,0,1,0.5,0.5
498,2 ene 2020,44,4,6,1.6666666666666667,10,43,1,2,42,0,14.666666666666664,19.344824171395878,41,2,1,0,0,0,0,0,0,0,4.4,12.21638244326036,40,0,3,1,11.0,16.777961735562517
499,3 ene 2020,36,5,9,1.1111111111111112,10,31,5,5,31,0,12.0,13.589211407093005,28,4,3,0,0,1,0,0,0,0,3.6,8.248636250920512,30,0,6,0,9.0,12.369316876852979
500,4 ene 2020,6,2,2,1.0,2,6,0,5,1,0,2.0,2.160246899469287,1,5,0,0,0,0,0,0,0,0,0.6,1.4966629547095764,1,0,5,0,1.5,2.0615528128088303
501,5 ene 2020,23,4,7,1.2857142857142858,9,11,12,14,9,0,7.666666666666668,5.792715732327589,8,14,0,0,1,0,0,0,0,0,2.3,4.561797891182817,10,12,1,0,5.75,5.3091901453988255
502,6 ene 2020,28,4,5,1.2,6,28,0,2,26,0,9.333333333333334,11.813363431112899,26,2,0,0,0,0,0,0,0,0,2.8,7.756287771866129,9,0,19,0,7.0,7.842193570679061
503,7 ene 2020,4,2,2,1.5,3,3,1,0,4,0,1.3333333333333333,1.8856180831641267,3,0,0,0,1,0,0,0,0,0,0.4,0.916515138991168,0,1,3,0,1.0,1.224744871391589
504,8 ene 2020,38,5,6,1.3333333333333333,8,6,32,33,5,0,12.666666666666664,14.522013940527975,5,32,0,0,0,1,0,0,0,0,3.8,9.516301802696258,3,1,34,0,9.5,14.186260959111106
505,9 ene 2020,12,7,8,1.125,9,8,4,4,8,0,4.0,3.2659863237109037,8,4,0,0,0,0,0,0,0,0,1.2,2.561249694973139,1,3,7,1,3.0,2.449489742783178
506,10 ene 2020,3,3,3,1.0,3,3,0,0,3,0,1.0,1.4142135623730951,2,0,0,1,0,0,0,0,0,0,0.3,0.6403124237432848,1,0,2,0,0.75,0.82915619758885
507,11 ene 2020,9,1,2,1.5,3,1,8,8,1,0,3.0,3.559026084010437,1,8,0,0,0,0,0,0,0,0,0.9,2.3853720883753127,0,0,9,0,2.25,3.897114317029974
508,12 ene 2020,24,1,4,1.75,7,18,6,18,6,0,8.0,7.483314773547883,6,18,0,0,0,0,0,0,0,0,2.4,5.499090833947006,18,0,6,0,6.0,7.3484692283495345
509,13 ene 2020,7,4,6,1.1666666666666667,7,4,3,3,4,0,2.333333333333333,1.699673171197595,4,3,0,0,0,0,0,0,0,0,0.7,1.4177446878757822,1,0,6,0,1.75,2.48746859276655
510,14 ene 2020,14,4,5,1.0,5,14,0,10,4,0,4.666666666666667,4.109609335312651,4,10,0,0,0,0,0,0,0,0,1.4,3.104834939252004,10,0,4,0,3.5,4.092676385936225
511,15 ene 2020,9,3,5,1.2,6,8,1,3,6,0,3.0,2.449489742783178,5,3,1,0,0,0,0,0,0,0,0.9,1.6401219466856722,6,0,3,0,2.25,2.48746859276655
512,16 ene 2020,10,5,5,1.0,5,10,0,2,8,0,3.333333333333333,3.39934634239519,8,2,0,0,0,0,0,0,0,0,1.0,2.4083189157584592,10,0,0,0,2.5,4.330127018922194
513,17 ene 2020,5,2,3,1.3333333333333333,4,4,1,1,4,0,1.6666666666666667,1.699673171197595,4,1,0,0,0,0,0,0,0,0,0.5,1.2041594578792296,0,0,5,0,1.25,2.165063509461097
514,18 ene 2020,8,2,4,1.5,6,5,3,7,1,0,2.6666666666666665,3.091206165165235,1,4,0,0,0,3,0,0,0,0,0.8,1.4,5,0,3,0,2.0,2.1213203435596424
515,19 ene 2020,2,1,2,1.0,2,1,1,2,0,0,0.6666666666666666,0.9428090415820634,0,2,0,0,0,0,0,0,0,0,0.2,0.6000000000000001,0,0,1,1,0.5,0.5
516,20 ene 2020,6,3,4,1.0,4,6,0,4,2,0,2.0,1.6329931618554518,2,4,0,0,0,0,0,0,0,0,0.6,1.2806248474865696,4,0,1,1,1.5,1.5
517,21 ene 2020,85,9,10,1.2,12,25,60,70,15,0,28.33333333333333,30.092450142112984,15,70,0,0,0,0,0,0,0,0,8.5,20.982135258357285,5,5,74,1,21.25,30.498975392625894
518,22 ene 2020,29,10,12,1.0833333333333333,13,14,15,20,9,0,9.666666666666666,8.178562764256865,1,20,0,0,8,0,0,0,0,0,2.9,6.17170964968379,13,1,15,0,7.25,6.796138609534093
519,23 ene 2020,8,3,3,1.0,3,7,1,4,4,0,2.6666666666666665,1.8856180831641267,4,4,0,0,0,0,0,0,0,0,0.8,1.6000000000000003,4,0,1,3,2.0,1.5811388300841898
520,24 ene 2020,27,3,6,1.0,6,17,10,24,3,0,9.0,10.677078252031311,3,24,0,0,0,0,0,0,0,0,2.7,7.156116265125939,16,0,11,0,6.75,6.9776428684764324
521,25 ene 2020,16,2,4,1.75,7,15,1,13,3,0,5.333333333333333,5.557777333511021,2,11,0,0,1,2,0,0,0,0,1.6,3.2310988842807027,2,1,13,0,4.0,5.244044240850758
522,26 ene 2020,2,1,1,1.0,1,2,0,0,2,0,0.6666666666666666,0.9428090415820634,2,0,0,0,0,0,0,0,0,0,0.2,0.6000000000000001,0,0,2,0,0.5,0.8660254037844386
523,27 ene 2020,10,5,6,1.0,6,10,0,0,10,0,3.333333333333333,4.714045207910317,10,0,0,0,0,0,0,0,0,0,1.0,3.0,7,0,3,0,2.5,2.8722813232690143
524,28 ene 2020,7,2,3,1.0,3,7,0,1,6,0,2.333333333333333,2.6246692913372702,6,1,0,0,0,0,0,0,0,0,0.7,1.791647286716891,6,0,1,0,1.75,2.48746859276655
525,29 ene 2020,13,5,6,1.0,6,13,0,5,8,0,4.333333333333333,3.2998316455372216,7,5,0,1,0,0,0,0,0,0,1.3,2.41039415863879,5,0,8,0,3.25,3.418698582794337
526,30 ene 2020,4,4,4,1.0,4,3,1,4,0,0,1.3333333333333333,1.8856180831641267,0,4,0,0,0,0,0,0,0,0,0.4,1.2000000000000002,0,0,4,0,1.0,1.7320508075688772
527,31 ene 2020,4,4,4,1.0,4,0,4,1,3,0,1.3333333333333333,1.247219128924647,0,0,2,0,1,1,0,0,0,0,0.4,0.6633249580710799,0,0,3,1,1.0,1.224744871391589
528,1 feb 2020,12,6,10,1.0,10,11,1,6,6,0,4.0,2.8284271247461903,5,5,0,1,0,1,0,0,0,0,1.2,1.9390719429665315,8,1,3,0,3.0,3.0822070014844885
529,2 feb 2020,4,2,2,1.0,2,4,0,0,4,0,1.3333333333333333,1.8856180831641267,4,0,0,0,0,0,0,0,0,0,0.4,1.2000000000000002,4,0,0,0,1.0,1.7320508075688772
530,3 feb 2020,13,7,10,1.1,11,13,0,5,8,0,4.333333333333333,3.2998316455372216,8,5,0,0,0,0,0,0,0,0,1.3,2.6851443164195095,5,1,7,0,3.25,2.8613807855648994
531,4 feb 2020,9,4,6,1.3333333333333333,8,9,0,2,6,1,3.0,2.160246899469287,4,3,2,0,0,0,0,0,0,0,0.9,1.445683229480096,5,0,4,0,2.25,2.2776083947860752
532,5 feb 2020,5,5,5,1.0,5,5,0,2,3,0,1.6666666666666667,1.247219128924647,3,2,0,0,0,0,0,0,0,0,0.5,1.02469507659596,0,0,5,0,1.25,2.165063509461097
533,6 feb 2020,3,3,3,1.0,3,3,0,1,2,0,1.0,0.8164965809277259,2,1,0,0,0,0,0,0,0,0,0.3,0.6403124237432848,1,0,2,0,0.75,0.82915619758885
534,7 feb 2020,13,3,3,1.0,3,13,0,10,3,0,4.333333333333333,4.189935029992179,0,10,0,3,0,0,0,0,0,0,1.3,3.034798181098703,0,0,13,0,3.25,5.629165124598851
535,8 feb 2020,35,4,6,1.3333333333333333,8,8,27,29,6,0,11.666666666666664,12.498888839501786,6,28,0,0,0,1,0,0,0,0,3.5,8.357631243360764,3,0,32,0,8.75,13.479150566708569
536,9 feb 2020,14,8,8,1.0,8,14,0,9,5,0,4.666666666666667,3.6817870057290873,4,9,0,1,0,0,0,0,0,0,1.4,2.799999999999999,2,4,8,0,3.5,2.9580398915498085
537,10 feb 2020,30,10,15,1.0666666666666669,16,29,1,21,9,0,10.0,8.602325267042627,9,21,0,0,0,0,0,0,0,0,3.0,6.572670690061994,18,0,11,1,7.5,7.433034373659253
538,11 feb 2020,30,10,12,1.0833333333333333,13,29,1,16,14,0,10.0,7.118052168020874,10,13,3,1,0,3,0,0,0,0,3.0,4.449719092257398,21,0,9,0,7.5,8.616843969807043
539,12 feb 2020,54,21,22,1.0,22,44,10,20,34,0,18.0,13.9522996909709,34,18,0,0,0,2,0,0,0,0,5.4,10.919706955774961,9,12,32,1,13.5,11.412712210513327
540,13 feb 2020,40,7,11,1.181818181818182,13,35,5,4,36,0,13.333333333333336,16.110727964792762,30,4,3,0,3,0,0,0,0,0,4.0,8.79772697916911,2,3,35,0,10.0,14.474114826130128
541,14 feb 2020,8,8,8,1.0,8,6,2,5,3,0,2.6666666666666665,2.0548046676563256,2,4,1,0,0,1,0,0,0,0,0.8,1.2489995996796797,2,1,5,0,2.0,1.8708286933869709
542,15 feb 2020,10,8,9,1.0,9,7,3,5,5,0,3.333333333333333,2.3570226039551585,2,4,0,1,2,1,0,0,0,0,1.0,1.2649110640673518,3,2,5,0,2.5,1.8027756377319943
543,16 feb 2020,8,6,8,1.0,8,5,3,2,6,0,2.6666666666666665,2.494438257849294,2,2,0,1,3,0,0,0,0,0,0.8,1.077032961426901,2,3,3,0,2.0,1.224744871391589
544,17 feb 2020,37,11,17,1.1176470588235294,19,36,1,10,27,0,12.333333333333336,11.145502331533658,27,9,0,0,0,1,0,0,0,0,3.7,8.210359310042408,9,1,27,0,9.25,10.825317547305485
545,18 feb 2020,17,8,13,1.0,13,15,2,4,13,0,5.666666666666668,5.436502143433364,11,4,0,0,2,0,0,0,0,0,1.7,3.348133808556641,3,2,12,0,4.25,4.602988159880492
546,19 feb 2020,35,17,20,1.05,21,30,5,8,27,0,11.666666666666664,11.323525167642016,20,8,3,0,4,0,0,0,0,0,3.5,6.053924347066125,8,5,21,1,8.75,7.495832175282475
547,20 feb 2020,29,14,17,1.0,17,22,7,4,25,0,9.666666666666666,10.964589468932349,18,4,0,0,7,0,0,0,0,0,2.9,5.5217750769114105,5,7,17,0,7.25,6.179603547154138
548,21 feb 2020,42,9,11,1.0909090909090908,12,39,3,10,32,0,14.0,13.36662510384228,28,9,2,0,2,1,0,0,0,0,4.2,8.35224520712844,9,2,31,0,10.5,12.298373876248846
549,22 feb 2020,8,5,7,1.1428571428571428,8,4,4,2,6,0,2.6666666666666665,2.494438257849294,2,1,0,0,4,1,0,0,0,0,0.8,1.2489995996796797,2,4,2,0,2.0,1.4142135623730951
550,23 feb 2020,9,6,8,1.0,8,4,5,2,7,0,3.0,2.943920288775949,3,2,0,0,4,0,0,0,0,0,0.9,1.445683229480096,2,4,3,0,2.25,1.4790199457749043
551,24 feb 2020,5,5,5,1.0,5,4,1,1,4,0,1.6666666666666667,1.699673171197595,4,1,0,0,0,0,0,0,0,0,0.5,1.2041594578792296,1,0,2,2,1.25,0.82915619758885
552,25 feb 2020,12,7,7,1.0,7,11,1,4,8,0,4.0,3.2659863237109037,7,4,1,0,0,0,0,0,0,0,1.2,2.2715633383201093,4,0,8,0,3.0,3.3166247903554
553,26 feb 2020,18,12,12,1.0833333333333333,13,17,1,12,6,0,6.0,4.898979485566356,6,12,0,0,0,0,0,0,0,0,1.8,3.8418745424597103,2,0,16,0,4.5,6.689544080129826
554,27 feb 2020,14,10,12,1.0,12,14,0,6,8,0,4.666666666666667,3.39934634239519,3,6,5,0,0,0,0,0,0,0,1.4,2.2449944320643653,3,0,11,0,3.5,4.5
555,28 feb 2020,17,10,11,1.0909090909090908,12,16,1,4,13,0,5.666666666666668,5.436502143433364,12,4,1,0,0,0,0,0,0,0,1.7,3.6345563690772495,8,0,7,2,4.25,3.344772040064913
556,29 feb 2020,11,3,7,1.0,7,11,0,1,9,1,3.6666666666666665,3.771236166328253,4,2,0,5,0,0,0,0,0,0,1.1,1.8138357147217052,3,0,7,1,2.75,2.680951323690902
557,1 mar 2020,4,1,2,1.0,2,4,0,0,3,1,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0,0,0,0,0.4,0.916515138991168,3,0,1,0,1.0,1.224744871391589
558,2 mar 2020,34,14,15,1.0666666666666669,16,34,0,7,27,0,11.333333333333336,11.440668201153677,23,6,4,0,0,1,0,0,0,0,3.4,6.82934843158555,20,0,14,0,8.5,8.760707733967617
559,3 mar 2020,39,19,23,1.0869565217391304,25,37,2,16,22,1,13.0,8.831760866327848,21,13,1,0,0,4,0,0,0,0,3.9,6.89129886160802,14,0,25,0,9.75,10.497023387608508
560,4 mar 2020,49,11,17,1.2352941176470589,21,49,0,11,38,0,16.333333333333332,15.965240019770729,38,11,0,0,0,0,0,0,0,0,4.9,11.510430052782564,8,0,41,0,12.25,16.917077170717167
561,5 mar 2020,15,7,11,1.0909090909090908,12,15,0,3,12,0,5.0,5.0990195135927845,12,3,0,0,0,0,0,0,0,0,1.5,3.6124783736376886,8,0,7,0,3.75,3.7666297933298414
562,6 mar 2020,17,7,10,1.1,11,15,2,7,10,0,5.666666666666668,4.189935029992179,8,5,2,0,0,2,0,0,0,0,1.7,2.6095976701399777,9,5,3,0,4.25,3.2691742076555053
563,7 mar 2020,10,7,8,1.0,8,7,3,6,4,0,3.333333333333333,2.494438257849294,4,3,0,0,0,3,0,0,0,0,1.0,1.5491933384829668,5,1,4,0,2.5,2.0615528128088303
564,8 mar 2020,14,8,8,1.125,9,10,4,3,11,0,4.666666666666667,4.642796092394708,9,3,0,2,0,0,0,0,0,0,1.4,2.7276363393971703,8,1,5,0,3.5,3.2015621187164243
565,9 mar 2020,27,10,13,1.1538461538461535,15,16,11,5,22,0,9.0,9.41629792788369,22,5,0,0,0,0,0,0,0,0,2.7,6.6037867924396245,6,0,20,1,6.75,7.980444849756184
566,10 mar 2020,26,8,12,1.1666666666666667,14,24,2,9,16,1,8.666666666666666,6.128258770283412,16,10,0,0,0,0,0,0,0,0,2.6,5.370288632839019,16,2,7,1,6.5,5.937171043518957
567,11 mar 2020,36,10,18,1.1111111111111112,20,36,0,15,21,0,12.0,8.831760866327848,18,15,3,0,0,0,0,0,0,0,3.6,6.545227268781427,25,5,6,0,9.0,9.513148795220225
568,12 mar 2020,37,14,17,1.2352941176470589,21,36,1,25,12,0,12.333333333333336,10.208928554075703,11,25,0,1,0,0,0,0,0,0,3.7,7.810889834071406,27,0,10,0,9.25,11.031205736455105
569,13 mar 2020,16,9,12,1.1666666666666667,14,15,1,9,7,0,5.333333333333333,3.858612300930076,7,9,0,0,0,0,0,0,0,0,1.6,3.2310988842807027,9,0,7,0,4.0,4.0620192023179795
570,14 mar 2020,14,8,9,1.1111111111111112,10,12,2,9,5,0,4.666666666666667,3.6817870057290873,5,9,0,0,0,0,0,0,0,0,1.4,2.939387691339813,7,0,7,0,3.5,3.5
571,15 mar 2020,11,4,4,1.0,4,11,0,9,2,0,3.6666666666666665,3.858612300930076,2,9,0,0,0,0,0,0,0,0,1.1,2.6999999999999997,8,0,3,0,2.75,3.2691742076555053
572,16 mar 2020,15,13,13,1.0769230769230769,14,15,0,8,7,0,5.0,3.559026084010437,7,8,0,0,0,0,0,0,0,0,1.5,3.0083217912982647,4,3,8,0,3.75,2.8613807855648994
573,17 mar 2020,16,9,11,1.0,11,15,1,3,13,0,5.333333333333333,5.557777333511021,13,3,0,0,0,0,0,0,0,0,1.6,3.9038442591886273,10,0,6,0,4.0,4.242640687119285
574,18 mar 2020,16,3,7,1.4285714285714286,10,14,2,4,12,0,5.333333333333333,4.988876515698588,12,4,0,0,0,0,0,0,0,0,1.6,3.666060555964672,3,1,12,0,4.0,4.743416490252568
575,19 mar 2020,10,4,6,1.3333333333333333,8,10,0,5,5,0,3.333333333333333,2.3570226039551585,5,5,0,0,0,0,0,0,0,0,1.0,2.0,3,0,7,0,2.5,2.8722813232690143
576,20 mar 2020,29,10,12,1.0,12,25,4,11,18,0,9.666666666666666,7.4087035902976215,18,11,0,0,0,0,0,0,0,0,2.9,6.007495318350237,22,0,7,0,7.25,8.982622111610839
577,21 mar 2020,15,8,11,1.181818181818182,13,14,1,10,5,0,5.0,4.08248290463863,5,10,0,0,0,0,0,0,0,0,1.5,3.2015621187164243,10,1,4,0,3.75,3.897114317029974
578,22 mar 2020,39,9,11,1.0909090909090908,12,38,1,11,28,0,13.0,11.51810169544733,28,11,0,0,0,0,0,0,0,0,3.9,8.676981041814027,20,0,19,0,9.75,9.756408150543928
579,23 mar 2020,16,9,11,1.0909090909090908,12,16,0,10,6,0,5.333333333333333,4.109609335312651,5,10,0,1,0,0,0,0,0,0,1.6,3.1685959035509725,13,0,3,0,4.0,5.338539126015656
580,24 mar 2020,20,7,10,1.0,10,20,0,5,15,0,6.666666666666668,6.236095644623235,15,4,0,0,0,1,0,0,0,0,2.0,4.494441010848846,4,0,16,0,5.0,6.5574385243019995
581,25 mar 2020,14,8,10,1.0,10,10,4,4,10,0,4.666666666666667,4.109609335312651,10,4,0,0,0,0,0,0,0,0,1.4,3.104834939252004,8,0,5,1,3.5,3.2015621187164243
582,26 mar 2020,21,7,11,1.0909090909090908,12,18,3,3,17,1,7.0,7.118052168020874,16,3,1,0,0,1,0,0,0,0,2.1,4.72122865364515,8,0,13,0,5.25,5.539629951540085
583,27 mar 2020,70,11,13,1.1538461538461535,15,62,8,4,66,0,23.33333333333333,30.214051182999096,17,3,49,0,0,1,0,0,0,0,7.0,14.866068747318506,10,1,54,5,17.5,21.313141485947114
584,28 mar 2020,161,8,13,1.6153846153846154,21,160,1,15,146,0,53.66666666666666,65.576079649688,9,15,137,0,0,0,0,0,0,0,16.1,40.59913792188203,51,1,109,0,40.25,44.72904537322477
585,29 mar 2020,1014,62,73,1.2328767123287672,90,1002,12,215,799,0,338.0,337.5865321168288,625,196,173,1,0,19,0,0,0,0,101.4,188.81535954471505,805,0,209,0,253.5,329.6426095030799
586,30 mar 2020,170,31,44,1.2954545454545454,57,166,4,78,92,0,56.66666666666666,40.4749579644281,64,72,21,7,0,6,0,0,0,0,17.0,26.298288917722388,43,3,117,7,42.5,45.74658457196559
587,31 mar 2020,252,66,78,1.1153846153846154,87,251,1,169,83,0,84.0,68.99758449878276,72,161,8,3,0,8,0,0,0,0,25.2,49.89148223895538,22,48,182,0,63.0,70.77428911688197
588,1 abr 2020,58,14,19,1.1052631578947372,21,57,1,16,42,0,19.33333333333333,17.30767331432956,36,15,1,5,0,1,0,0,0,0,5.8,11.007270324653614,22,10,26,0,14.5,10.23474474522936
589,2 abr 2020,155,20,28,1.1785714285714286,33,150,5,45,104,6,51.66666666666666,40.28509512076258,83,51,12,9,0,0,0,0,0,0,15.5,27.041634565979923,57,18,76,4,38.75,28.977361853695374
590,3 abr 2020,47,10,17,1.2352941176470589,21,44,3,15,32,0,15.666666666666664,13.072447700751722,30,15,2,0,0,0,0,0,0,0,4.7,9.529428104561156,27,1,19,0,11.75,11.605494388435162
