,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
23,31 oct 2018,337,14,18,1.3333333333333333,24,336,1,300,37,0,112.33333333333331,133.55731187604653,58,36,1,235,7,0,0,0,0,0,0,30.63636363636364,67.15690274854,96,165,76,0,0,67.4,62.45510387470346
24,1 nov 2018,620,9,16,1.625,26,600,20,591,29,0,206.66666666666663,272.0224663924328,14,29,0,577,0,0,0,0,0,0,0,56.36363636363637,164.87475837863482,82,381,157,0,0,124.0,141.17648529411687
25,2 nov 2018,179,13,20,1.4,28,178,1,145,34,0,59.66666666666666,61.91571331702121,19,30,4,125,1,0,0,0,0,0,0,16.272727272727273,35.66279168466487,35,93,51,0,0,35.8,34.83331738436637
26,3 nov 2018,17,8,8,1.0,8,13,4,11,6,0,5.666666666666668,4.496912521077348,0,6,0,10,1,0,0,0,0,0,0,1.5454545454545454,3.1727142484754816,9,8,0,0,0,3.4,4.17612260356422
27,4 nov 2018,7,4,4,1.0,4,7,0,7,0,0,2.333333333333333,3.2998316455372216,0,0,0,7,0,0,0,0,0,0,0,0.6363636363636364,2.0123585110162407,2,5,0,0,0,1.4,1.9595917942265424
28,5 nov 2018,301,25,35,1.3142857142857145,46,301,0,245,56,0,100.33333333333331,104.81836141100895,56,56,0,189,0,0,0,0,0,0,0,27.363636363636363,55.396541945360916,82,130,89,0,0,60.2,51.81659965686672
29,6 nov 2018,424,12,21,1.4285714285714286,30,422,2,420,4,0,141.33333333333334,197.0538561465424,193,4,0,227,0,0,0,0,0,0,0,38.54545454545455,81.1568219687422,234,68,122,0,0,84.8,87.5314800514649
30,7 nov 2018,384,43,52,1.0769230769230769,56,382,2,286,98,0,128.0,118.67041192591634,109,96,2,177,0,0,0,0,0,0,0,34.90909090909091,59.5627317058617,148,116,80,40,0,76.8,52.66649789002492
31,8 nov 2018,290,23,28,1.25,35,277,13,256,34,0,96.66666666666669,113.51749742758699,32,34,0,224,0,0,0,0,0,0,0,26.363636363636363,63.754176657865436,61,123,91,15,0,58.0,45.904248169423276
32,9 nov 2018,280,8,15,1.3333333333333333,20,279,1,272,8,0,93.33333333333331,126.37861985144305,166,7,1,106,0,0,0,0,0,0,0,25.45454545454545,53.69503724547911,168,51,61,0,0,56.0,61.426378698406104
